	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
fert	-0.0636***	-0.0631***	-0.0412*	-0.0412*	-0.0393*	-0.0385	-0.0108	-0.0108	-0.0949***	-0.0939***	-0.0599**	-0.0599**	-0.0536**	-0.0535**	-0.0218	-0.0218	-0.110***	-0.106***	-0.0829***	-0.0837***	-0.00654	-0.00640	0.0217	0.0217	-0.0971***	-0.0933***	-0.0570**	-0.0570**	0.00451	0.00587	0.0347	0.0347
	(0.0217)	(0.0216)	(0.0212)	(0.0212)	(0.0236)	(0.0237)	(0.0236)	(0.0236)	(0.0255)	(0.0255)	(0.0247)	(0.0247)	(0.0244)	(0.0244)	(0.0242)	(0.0242)	(0.0276)	(0.0272)	(0.0271)	(0.0271)	(0.0291)	(0.0292)	(0.0294)	(0.0294)	(0.0266)	(0.0267)	(0.0274)	(0.0274)	(0.0291)	(0.0291)	(0.0288)	(0.0287)
motherage	-0.784	-0.844	-0.636	-0.636	-1.189*	-1.222*	-0.892	-0.892	-1.619*	-1.669*	-1.277	-1.277	-0.246	-0.278	0.0526	0.0526	-1.851*	-1.958*	-1.693*	-1.639*	-0.363	-0.429	-0.104	-0.135	-1.799	-1.913	-1.602	-1.595	1.021	0.949	1.222	1.172
	(0.771)	(0.755)	(0.720)	(0.720)	(0.701)	(0.699)	(0.671)	(0.671)	(0.878)	(0.859)	(0.813)	(0.813)	(0.663)	(0.662)	(0.640)	(0.640)	(1.072)	(1.056)	(0.995)	(0.987)	(1.014)	(1.007)	(0.945)	(0.947)	(1.235)	(1.188)	(1.131)	(1.128)	(1.010)	(0.994)	(0.910)	(0.914)
motheragesq	0.0211	0.0234	0.0154	0.0154	0.0429	0.0443*	0.0319	0.0319	0.0568*	0.0588*	0.0438	0.0438	0.00675	0.00793	-0.00493	-0.00493	0.0614	0.0650*	0.0540	0.0522	0.0155	0.0177	0.00535	0.00642	0.0624	0.0666	0.0544	0.0542	-0.0409	-0.0382	-0.0491	-0.0474
	(0.0280)	(0.0275)	(0.0262)	(0.0262)	(0.0261)	(0.0260)	(0.0249)	(0.0249)	(0.0318)	(0.0312)	(0.0296)	(0.0296)	(0.0246)	(0.0246)	(0.0237)	(0.0237)	(0.0387)	(0.0382)	(0.0359)	(0.0356)	(0.0365)	(0.0362)	(0.0339)	(0.0340)	(0.0443)	(0.0427)	(0.0406)	(0.0405)	(0.0364)	(0.0359)	(0.0330)	(0.0331)
motheragecub	-0.000171	-0.000199	-0.000100	-0.000100	-0.000493	-0.000511	-0.000359	-0.000359	-0.000640*	-0.000666*	-0.000480	-0.000480	-5.47e-05	-6.92e-05	9.14e-05	9.14e-05	-0.000658	-0.000697	-0.000555	-0.000534	-0.000213	-0.000234	-8.38e-05	-9.62e-05	-0.000702	-0.000748	-0.000597	-0.000594	0.000519	0.000488	0.000625	0.000605
	(0.000331)	(0.000326)	(0.000312)	(0.000312)	(0.000314)	(0.000313)	(0.000298)	(0.000298)	(0.000374)	(0.000368)	(0.000349)	(0.000349)	(0.000293)	(0.000293)	(0.000283)	(0.000283)	(0.000453)	(0.000448)	(0.000421)	(0.000417)	(0.000426)	(0.000423)	(0.000396)	(0.000397)	(0.000517)	(0.000500)	(0.000475)	(0.000474)	(0.000425)	(0.000420)	(0.000386)	(0.000388)
