	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
	(0.000600)	(0.000605)	(0.000609)	(0.000609)	(0.000620)	(0.000625)	(0.000649)	(0.000649)	(0.000508)	(0.000507)	(0.000503)	(0.000503)	(0.000632)	(0.000631)	(0.000645)	(0.000645)	(0.000748)	(0.000748)	(0.000766)	(0.000766)	(0.000697)	(0.000697)	(0.000703)	(0.000703)	(0.000571)	(0.000572)	(0.000585)	(0.000585)	(0.000659)	(0.000655)	(0.000652)	(0.000653)	(0.000703)	(0.000704)	(0.000699)	(0.000698)	(0.000668)	(0.000663)	(0.000637)	(0.000639)	(0.000731)	(0.000720)	(0.000718)	(0.000718)	(0.000765)	(0.000767)	(0.000745)	(0.000749)	(0.000760)	(0.000755)	(0.000735)	(0.000734)	(0.000857)	(0.000862)	(0.000842)	(0.000847)
agefirstbirth	0.0289***	0.0242***	0.00814	0.00814	0.0297***	0.0274***	0.0171**	0.0171**	0.0383***	0.0345***	0.0223***	0.0223***	0.0200***	0.0150**	0.00472	0.00472	-0.0138*	-0.0165**	-0.0130	-0.0130	-0.0151*	-0.0118	-0.00952	-0.00952	0.0110*	0.0114*	0.00308	0.00308	0.0266***	0.0202**	0.00537	0.00506	0.0433***	0.0386***	0.0204**	0.0195**	0.0456***	0.0407***	0.0253***	0.0224***	0.0382***	0.0297***	0.0165*	0.0164*	-0.00439	-0.00356	-0.00615	-0.00846	-0.0161*	-0.0112	-0.0117	-0.0145	0.00219	0.00135	-0.00755	-0.00452
	(0.00621)	(0.00640)	(0.00688)	(0.00688)	(0.00662)	(0.00686)	(0.00750)	(0.00750)	(0.00600)	(0.00607)	(0.00640)	(0.00640)	(0.00660)	(0.00680)	(0.00747)	(0.00747)	(0.00778)	(0.00821)	(0.00877)	(0.00877)	(0.00784)	(0.00836)	(0.00880)	(0.00880)	(0.00589)	(0.00645)	(0.00691)	(0.00691)	(0.00745)	(0.00803)	(0.00822)	(0.00823)	(0.00724)	(0.00789)	(0.00831)	(0.00840)	(0.00675)	(0.00695)	(0.00744)	(0.00740)	(0.00904)	(0.0100)	(0.00952)	(0.00942)	(0.00839)	(0.00895)	(0.00969)	(0.00978)	(0.00853)	(0.00921)	(0.00949)	(0.00961)	(0.00869)	(0.00919)	(0.00934)	(0.00943)
_mother_edu1			0.398*	0.398*			-0.402	-0.402			-0.237	-0.237			0.282	0.282			0.535**	0.535**			0.0756	0.0756			-0.524*	-0.524*			0.0536	0.0520			-0.368*	-0.372*			-0.0261	-0.0373			0.0306	0.0304			0.436**	0.426**			0.0576	0.0465			-0.141	-0.128
			(0.225)	(0.225)			(0.257)	(0.257)			(0.188)	(0.188)			(0.193)	(0.193)			(0.260)	(0.260)			(0.252)	(0.252)			(0.301)	(0.301)			(0.187)	(0.187)			(0.218)	(0.217)			(0.205)	(0.199)			(0.179)	(0.180)			(0.197)	(0.197)			(0.225)	(0.225)			(0.264)	(0.266)
_mother_edu2			0.429**	0.429**			-0.219	-0.219			-0.193	-0.193			0.403**	0.403**			0.527**	0.527**			-0.00751	-0.00751			-0.561*	-0.561*			0.0751	0.0742			-0.213	-0.214			0.0647	0.0619			0.392***	0.392***			0.286*	0.284*			-0.0564	-0.0591			-0.335	-0.332
			(0.210)	(0.210)			(0.241)	(0.241)			(0.165)	(0.165)			(0.183)	(0.183)			(0.232)	(0.232)			(0.220)	(0.220)			(0.295)	(0.295)			(0.171)	(0.172)			(0.198)	(0.197)			(0.189)	(0.184)			(0.146)	(0.146)			(0.173)	(0.171)			(0.200)	(0.200)			(0.248)	(0.249)
_mother_edu3			0.513**	0.513**			-0.0395	-0.0395			-0.131	-0.131			0.494***	0.494***			0.501**	0.501**			0.164	0.164			-0.529*	-0.529*			0.248	0.247			-0.180	-0.181			0.0103	0.00665			0.379**	0.378**			0.466***	0.462***			0.0721	0.0678			-0.129	-0.124
			(0.219)	(0.219)			(0.240)	(0.240)			(0.173)	(0.173)			(0.191)	(0.191)			(0.241)	(0.241)			(0.232)	(0.232)			(0.298)	(0.298)			(0.177)	(0.177)			(0.195)	(0.193)			(0.194)	(0.189)			(0.153)	(0.153)			(0.180)	(0.179)			(0.211)	(0.211)			(0.250)	(0.252)
_mother_edu4			0.682***	0.682***			-0.00144	-0.00144			-0.0536	-0.0536			0.642***	0.642***			0.486**	0.486**			0.126	0.126			-0.417	-0.417			0.290*	0.289			0.00466	0.00276			0.125	0.119			0.456***	0.456***			0.284	0.279			0.116	0.110			-0.159	-0.152
