	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
_mother_edu2			0.0602	0.0602			0.0673	0.0673			0.227	0.227			0.247	0.247			0.318**	0.313*			0.362*	0.367*			0.403**	0.407**			0.282	0.291
			(0.210)	(0.210)			(0.178)	(0.178)			(0.241)	(0.241)			(0.176)	(0.176)			(0.161)	(0.162)			(0.193)	(0.193)			(0.184)	(0.183)			(0.213)	(0.215)
_mother_edu3			0.268	0.268			-0.0654	-0.0654			0.278	0.278			0.412**	0.412**			0.500***	0.496***			0.251	0.253			0.415**	0.417**			0.323	0.326
			(0.219)	(0.219)			(0.190)	(0.190)			(0.249)	(0.249)			(0.185)	(0.185)			(0.172)	(0.173)			(0.199)	(0.199)			(0.186)	(0.185)			(0.219)	(0.221)
_mother_edu4			0.244	0.244			0.293	0.293			0.519**	0.519**			0.389**	0.389**			0.590***	0.585***			0.454**	0.461**			0.646***	0.651***			0.580***	0.593***
			(0.212)	(0.212)			(0.182)	(0.182)			(0.244)	(0.244)			(0.180)	(0.180)			(0.164)	(0.165)			(0.196)	(0.196)			(0.192)	(0.191)			(0.217)	(0.219)
_mother_edu5			0.256	0.256			0.337	0.337			0.467*	0.467*			0.603***	0.603***			0.469**	0.463**			0.246	0.251			0.437*	0.441*			0.714***	0.723***
			(0.231)	(0.231)			(0.232)	(0.232)			(0.277)	(0.277)			(0.220)	(0.220)			(0.196)	(0.197)			(0.256)	(0.256)			(0.245)	(0.243)			(0.260)	(0.263)
_inc1			-0.397***	-0.397***			-0.350***	-0.350***			-0.499***	-0.499***			-0.239*	-0.239*			-0.342***	-0.345***			-0.443***	-0.436***			-0.634***	-0.629***			-0.00722	0.00476
			(0.126)	(0.126)			(0.132)	(0.132)			(0.142)	(0.142)			(0.138)	(0.138)			(0.125)	(0.125)			(0.125)	(0.126)			(0.143)	(0.143)			(0.137)	(0.137)
_inc2			-0.387***	-0.387***			-0.370***	-0.370***			-0.364***	-0.364***			-0.353***	-0.353***			-0.377***	-0.381***			-0.404***	-0.398***			-0.536***	-0.533***			-0.0696	-0.0600
			(0.113)	(0.113)			(0.120)	(0.120)			(0.124)	(0.124)			(0.135)	(0.135)			(0.111)	(0.111)			(0.116)	(0.117)			(0.129)	(0.129)			(0.126)	(0.125)
_inc3			-0.190*	-0.190*			-0.208**	-0.208**			-0.0603	-0.0603			-0.167	-0.167			-0.277***	-0.278***			-0.448***	-0.449***			-0.347***	-0.348***			-0.114	-0.115
			(0.0983)	(0.0983)			(0.105)	(0.105)			(0.103)	(0.103)			(0.110)	(0.110)			(0.102)	(0.102)			(0.109)	(0.109)			(0.117)	(0.117)			(0.116)	(0.116)
_inc4			-0.173**	-0.173**			-0.203**	-0.203**			-0.229**	-0.229**			-0.139	-0.139			-0.115	-0.115			-0.284***	-0.286***			-0.301***	-0.302***			-0.0508	-0.0531
			(0.0865)	(0.0865)			(0.0999)	(0.0999)			(0.101)	(0.101)			(0.101)	(0.101)			(0.0998)	(0.0997)			(0.103)	(0.103)			(0.112)	(0.112)			(0.116)	(0.115)
height		1.239***	1.046**	1.046**		0.545	0.206	0.206		0.846	0.528	0.528		0.982*	0.854	0.854		0.620	0.282	0.317		0.282	0.0296	-0.0305		0.923*	0.630	0.593		0.596	0.377	0.283
		(0.456)	(0.447)	(0.447)		(0.523)	(0.511)	(0.511)		(0.516)	(0.501)	(0.501)		(0.544)	(0.535)	(0.535)		(0.495)	(0.485)	(0.487)		(0.537)	(0.530)	(0.529)		(0.545)	(0.545)	(0.544)		(0.537)	(0.528)	(0.528)
daily_cig_before_preg		-0.00531	0.00121	0.00121		-0.00732	0.000503	0.000503		-0.0120**	-0.00250	-0.00250		0.00473	0.0104**	0.0104**		-0.00359	0.00389	0.00352		-0.00229	0.00288	0.00347		-0.0137***	-0.00583	-0.00545		-0.00290	-0.000201	0.000774
		(0.00454)	(0.00476)	(0.00476)		(0.00460)	(0.00440)	(0.00440)		(0.00528)	(0.00532)	(0.00532)		(0.00491)	(0.00503)	(0.00503)		(0.00495)	(0.00504)	(0.00510)		(0.00516)	(0.00497)	(0.00502)		(0.00514)	(0.00497)	(0.00499)		(0.00510)	(0.00518)	(0.00524)
weekly_alcohol_b_preg		0.00349	0.00444	0.00444		0.000726	0.00186	0.00186		0.00612	0.00850	0.00850		0.00161	0.00255	0.00255		0.00818**	0.00735**	0.00742**		-3.93e-05	-0.000987	-0.00118		-0.00104	-0.00190	-0.00201		0.00531	0.00445	0.00415
		(0.00547)	(0.00551)	(0.00551)		(0.00567)	(0.00558)	(0.00558)		(0.00612)	(0.00606)	(0.00606)		(0.00762)	(0.00756)	(0.00756)		(0.00350)	(0.00352)	(0.00351)		(0.00412)	(0.00415)	(0.00417)		(0.00429)	(0.00420)	(0.00423)		(0.00455)	(0.00451)	(0.00458)
complications_during_preg		-0.0166	-0.00889	-0.00889		-0.125*	-0.107	-0.107		-0.0260	-0.00147	-0.00147		-0.0566	-0.0448	-0.0448		-0.0197	-0.0198	-0.0209		-0.0397	-0.0197	-0.0168		-0.0320	-0.0146	-0.0131		-0.141*	-0.138*	-0.134*
		(0.0620)	(0.0609)	(0.0609)		(0.0665)	(0.0650)	(0.0650)		(0.0700)	(0.0681)	(0.0681)		(0.0681)	(0.0681)	(0.0681)		(0.0672)	(0.0652)	(0.0653)		(0.0724)	(0.0719)	(0.0716)		(0.0721)	(0.0709)	(0.0709)		(0.0749)	(0.0745)	(0.0743)
Constant	2.059	-2.108	-2.705	-2.705	3.037	-0.346	-0.226	-0.226	12.78	9.588	9.443	9.443	-20.03	-24.67*	-23.43*	-23.43*	3.723	-0.133	-0.274	-0.917	-13.00	-14.20	-9.678	-9.099	15.24	12.11	16.69	17.23	-23.16	-26.71*	-26.26*	-25.21*
	(13.08)	(13.31)	(12.59)	(12.59)	(16.04)	(15.78)	(14.79)	(14.79)	(15.27)	(15.51)	(15.28)	(15.28)	(12.75)	(13.03)	(13.14)	(13.14)	(14.73)	(15.01)	(14.04)	(14.03)	(15.82)	(15.99)	(15.46)	(15.47)	(18.61)	(18.76)	(18.34)	(18.43)	(14.78)	(15.29)	(15.09)	(15.10)
																																
Observations	1,251	1,251	1,251	1,251	1,165	1,165	1,165	1,165	1,150	1,150	1,150	1,150	1,159	1,159	1,159	1,159	1,227	1,227	1,227	1,227	1,134	1,134	1,134	1,134	1,114	1,114	1,114	1,114	1,124	1,124	1,124	1,124
R-squared	0.131	0.139	0.173	0.173	0.107	0.115	0.163	0.163	0.150	0.159	0.205	0.205	0.098	0.104	0.130	0.130	0.122	0.128	0.180	0.180	0.131	0.131	0.168	0.169	0.190	0.201	0.246	0.246	0.098	0.106	0.126	0.129
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
