	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
daily_cig_before_preg		-0.00219	0.00283	0.00283		-0.00308	0.00214	0.00214		-0.00330	0.00254	0.00254		-0.00275	0.00285	0.00285		-0.00304	-0.00267	-0.00267		0.00201	0.000426	0.000426		0.00145	0.00334	0.00334		-0.00592*	0.000565	0.000225		-0.00562	0.000456	0.000626		-0.00953***	-0.00248	-0.00288		-0.00754**	-0.00237	-0.00209		0.000684	0.00149	0.00116		0.00319	0.00185	0.00115		0.00278	0.00567	0.00538
		(0.00282)	(0.00288)	(0.00288)		(0.00290)	(0.00292)	(0.00292)		(0.00291)	(0.00292)	(0.00292)		(0.00301)	(0.00308)	(0.00308)		(0.00327)	(0.00337)	(0.00337)		(0.00339)	(0.00350)	(0.00350)		(0.00339)	(0.00344)	(0.00344)		(0.00325)	(0.00335)	(0.00336)		(0.00375)	(0.00379)	(0.00379)		(0.00338)	(0.00349)	(0.00349)		(0.00333)	(0.00342)	(0.00342)		(0.00370)	(0.00381)	(0.00380)		(0.00364)	(0.00377)	(0.00378)		(0.00403)	(0.00419)	(0.00418)
weekly_alcohol_b_preg		-0.00689**	-0.00587*	-0.00587*		-0.00137	-0.000173	-0.000173		-0.000960	0.000587	0.000587		-0.00619*	-0.00442	-0.00442		-0.00470	-0.00420	-0.00420		-0.000520	-0.000737	-0.000737		-0.00712***	-0.00660***	-0.00660***		0.000518	0.00126	0.00136		0.000688	0.000712	0.000634		-0.00295	-0.00293	-0.00275		0.000524	0.000771	0.000653		-0.00374	-0.00312	-0.00297		-8.88e-05	-0.000199	0.000130		-0.00122	-0.000726	-0.000591
		(0.00307)	(0.00301)	(0.00301)		(0.00255)	(0.00263)	(0.00263)		(0.00263)	(0.00256)	(0.00256)		(0.00366)	(0.00356)	(0.00356)		(0.00290)	(0.00289)	(0.00289)		(0.00301)	(0.00304)	(0.00304)		(0.00243)	(0.00242)	(0.00242)		(0.00283)	(0.00275)	(0.00277)		(0.00278)	(0.00278)	(0.00277)		(0.00293)	(0.00289)	(0.00289)		(0.00370)	(0.00351)	(0.00350)		(0.00300)	(0.00303)	(0.00302)		(0.00326)	(0.00332)	(0.00329)		(0.00403)	(0.00400)	(0.00401)
complications_during_preg		-0.0314	-0.0324	-0.0324		-0.0415	-0.0465	-0.0465		-0.00305	-0.00971	-0.00971		-0.0259	-0.0355	-0.0355		0.0243	0.0184	0.0184		0.123***	0.123***	0.123***		0.0910**	0.0956**	0.0956**		-0.0249	-0.0374	-0.0376		-0.0286	-0.0307	-0.0306		-0.0530	-0.0573	-0.0575		-0.0367	-0.0473	-0.0471		0.0294	0.0241	0.0239		0.0984**	0.101**	0.100**		0.0675	0.0607	0.0605
		(0.0412)	(0.0405)	(0.0405)		(0.0389)	(0.0381)	(0.0381)		(0.0387)	(0.0381)	(0.0381)		(0.0396)	(0.0387)	(0.0387)		(0.0428)	(0.0428)	(0.0428)		(0.0420)	(0.0421)	(0.0421)		(0.0460)	(0.0460)	(0.0460)		(0.0473)	(0.0461)	(0.0462)		(0.0476)	(0.0470)	(0.0470)		(0.0467)	(0.0461)	(0.0461)		(0.0466)	(0.0460)	(0.0459)		(0.0487)	(0.0490)	(0.0491)		(0.0477)	(0.0479)	(0.0477)		(0.0533)	(0.0527)	(0.0528)
miss_height		0.425	0.197	0.197		0.384	0.162	0.162		0.748	0.513	0.513		0.465	0.233	0.233		-0.222	-0.207	-0.207		0.244	0.328	0.328		-0.0825	-0.207	-0.207		0.589	0.214	0.235		0.0825	-0.255	-0.268		0.881	0.489	0.521		0.996*	0.720	0.700		0.463	0.445	0.467		0.352	0.429	0.475		-0.687	-0.811	-0.792
		(0.500)	(0.489)	(0.489)		(0.478)	(0.467)	(0.467)		(0.477)	(0.470)	(0.470)		(0.490)	(0.475)	(0.475)		(0.508)	(0.503)	(0.503)		(0.507)	(0.506)	(0.506)		(0.499)	(0.498)	(0.498)		(0.569)	(0.553)	(0.553)		(0.573)	(0.566)	(0.567)		(0.557)	(0.552)	(0.551)		(0.536)	(0.526)	(0.524)		(0.579)	(0.581)	(0.582)		(0.574)	(0.566)	(0.568)		(0.605)	(0.601)	(0.601)
miss_daily_cig_before_preg		-0.810***	-0.822***	-0.822***		-0.453**	-0.586***	-0.586***		0.607***	0.453***	0.453***		-0.499***	-0.593***	-0.593***		-1.475***	-1.553***	-1.553***		-1.460***	-1.429***	-1.429***		-0.478**	-0.535***	-0.535***		0.0837	0.0808	0.0706		0.616	0.564	0.570		0.114	0.0825	0.0692		-0.0671	-0.0866	-0.0778		-0.0225	-0.0608	-0.0703		0.0259	-0.0361	-0.0564		0.495***	0.485***	0.477***
		(0.146)	(0.147)	(0.147)		(0.205)	(0.192)	(0.192)		(0.141)	(0.140)	(0.140)		(0.153)	(0.147)	(0.147)		(0.147)	(0.154)	(0.154)		(0.151)	(0.155)	(0.155)		(0.193)	(0.202)	(0.202)		(0.220)	(0.219)	(0.208)		(0.409)	(0.396)	(0.400)		(0.263)	(0.235)	(0.228)		(0.517)	(0.493)	(0.495)		(0.482)	(0.468)	(0.466)		(0.386)	(0.360)	(0.354)		(0.175)	(0.185)	(0.185)
miss_weekly_alcohol_b_preg		0.256	0.384	0.384		0.162	0.267	0.267		-1.086***	-0.918***	-0.918***		0.176	0.315	0.315		1.892***	1.959***	1.959***		1.703***	1.644***	1.644***		0.785***	1.000***	1.000***		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0.282)	(0.279)	(0.279)		(0.424)	(0.412)	(0.412)		(0.333)	(0.306)	(0.306)		(0.391)	(0.393)	(0.393)		(0.354)	(0.361)	(0.361)		(0.346)	(0.354)	(0.354)		(0.245)	(0.261)	(0.261)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	14.02**	13.60**	13.45**	13.45**	15.65***	15.40***	15.28***	15.28***	5.066	4.507	4.067	4.067	8.461*	8.324*	8.322*	8.322*	-4.333	-3.853	-4.379	-4.379	-4.710	-4.817	-4.595	-4.595	13.67***	13.96***	13.13***	13.13***	20.66*	20.54*	20.37*	20.03*	7.167	7.220	5.636	5.678	10.39	10.32	9.242	9.273	0.0861	0.180	0.00403	0.0381	13.50	12.73	13.27	13.23	-4.084	-4.441	-3.705	-3.804	11.99	12.18	14.30	14.26
	(6.317)	(5.917)	(5.780)	(5.780)	(4.929)	(4.935)	(4.836)	(4.836)	(5.353)	(5.302)	(5.343)	(5.343)	(4.428)	(4.537)	(4.495)	(4.495)	(4.789)	(4.773)	(4.756)	(4.756)	(4.882)	(4.927)	(4.908)	(4.908)	(4.980)	(4.837)	(4.743)	(4.743)	(11.51)	(11.02)	(11.05)	(11.11)	(9.530)	(9.535)	(9.290)	(9.296)	(9.156)	(8.979)	(9.085)	(9.114)	(9.648)	(9.688)	(9.304)	(9.273)	(10.22)	(10.27)	(10.15)	(10.14)	(9.451)	(9.534)	(9.510)	(9.390)	(10.42)	(10.41)	(10.32)	(10.31)
																																																								
Observations	3,664	3,664	3,664	3,664	3,394	3,394	3,394	3,394	3,352	3,352	3,352	3,352	3,384	3,384	3,384	3,384	3,448	3,448	3,448	3,448	3,448	3,448	3,448	3,448	3,448	3,448	3,448	3,448	2,793	2,793	2,793	2,793	2,561	2,561	2,561	2,561	2,524	2,524	2,524	2,524	2,550	2,550	2,550	2,550	2,608	2,608	2,608	2,608	2,608	2,608	2,608	2,608	2,608	2,608	2,608	2,608
R-squared	0.103	0.111	0.141	0.141	0.101	0.103	0.137	0.137	0.113	0.117	0.154	0.154	0.105	0.110	0.145	0.145	0.027	0.030	0.038	0.038	0.045	0.050	0.054	0.054	0.030	0.034	0.044	0.044	0.108	0.117	0.160	0.161	0.108	0.112	0.147	0.148	0.140	0.148	0.192	0.194	0.108	0.113	0.141	0.142	0.032	0.034	0.041	0.043	0.046	0.049	0.055	0.061	0.028	0.031	0.042	0.042
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
