	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
	(0.000240)	(0.000232)	(0.000228)	(0.000228)	(0.000208)	(0.000207)	(0.000203)	(0.000203)	(0.000228)	(0.000227)	(0.000225)	(0.000225)	(0.000205)	(0.000206)	(0.000201)	(0.000201)	(0.000224)	(0.000224)	(0.000223)	(0.000223)	(0.000224)	(0.000225)	(0.000224)	(0.000224)	(0.000223)	(0.000220)	(0.000217)	(0.000217)	(0.000545)	(0.000528)	(0.000531)	(0.000533)	(0.000504)	(0.000501)	(0.000493)	(0.000493)	(0.000499)	(0.000491)	(0.000497)	(0.000499)	(0.000472)	(0.000470)	(0.000453)	(0.000451)	(0.000505)	(0.000506)	(0.000499)	(0.000498)	(0.000449)	(0.000450)	(0.000451)	(0.000444)	(0.000506)	(0.000503)	(0.000497)	(0.000497)
agefirstbirth	-0.0106	-0.0108	-0.0116	-0.0116	0.00421	0.00328	0.00488	0.00488	0.00631	0.00466	0.00422	0.00422	0.00676	0.00587	0.00632	0.00632	0.00645	0.00682	0.00498	0.00498	-0.000232	-7.51e-06	0.000385	0.000385	-0.00680	-0.00584	-0.00948	-0.00948	0.0311***	0.0275***	0.00687	-0.00367	0.0341***	0.0313***	0.0133*	0.0178**	0.0465***	0.0410***	0.0213***	0.0105	0.0250***	0.0202***	0.00612	0.0132*	0.00698	0.00683	0.00739	-0.00107	0.00464	0.00603	0.00828	-0.00992	0.000933	0.00329	-0.00391	-0.0114
	(0.0126)	(0.0122)	(0.0121)	(0.0121)	(0.0108)	(0.0105)	(0.00977)	(0.00977)	(0.0108)	(0.0108)	(0.0104)	(0.0104)	(0.0118)	(0.0115)	(0.0114)	(0.0114)	(0.0131)	(0.0130)	(0.0130)	(0.0130)	(0.0116)	(0.0115)	(0.0116)	(0.0116)	(0.0152)	(0.0152)	(0.0151)	(0.0151)	(0.00725)	(0.00731)	(0.00753)	(0.00856)	(0.00769)	(0.00776)	(0.00779)	(0.00867)	(0.00758)	(0.00772)	(0.00807)	(0.00920)	(0.00686)	(0.00687)	(0.00692)	(0.00795)	(0.00805)	(0.00815)	(0.00841)	(0.00971)	(0.00809)	(0.00827)	(0.00854)	(0.00999)	(0.00901)	(0.00905)	(0.00909)	(0.0107)
miss_motherage	-11.87*	-12.40**	-11.41*	-11.41*	-13.85***	-14.17***	-13.05***	-13.05***	-6.056	-6.543	-4.946	-4.946	-7.188	-7.739*	-6.371	-6.371	2.152	1.777	2.393	2.393	5.342	5.271	4.966	4.966	-10.14**	-10.46**	-9.541*	-9.541*	-19.81*	-20.86**	-19.34*	-18.98*	-10.71	-11.44	-8.275	-8.329	-13.30	-14.32	-11.56	-11.42	0.610	-0.509	0.817	0.754	-15.26	-15.07	-15.71*	-15.54*	3.760	3.790	3.031	3.397	-10.31	-10.23	-11.76	-11.61
	(6.369)	(6.089)	(5.937)	(5.937)	(5.039)	(5.023)	(4.907)	(4.907)	(5.340)	(5.301)	(5.311)	(5.311)	(4.523)	(4.589)	(4.551)	(4.551)	(4.889)	(4.880)	(4.861)	(4.861)	(5.039)	(5.071)	(5.044)	(5.044)	(5.170)	(5.026)	(4.952)	(4.952)	(10.78)	(10.43)	(10.37)	(10.43)	(10.21)	(10.18)	(9.900)	(9.906)	(9.769)	(9.595)	(9.712)	(9.745)	(9.098)	(9.105)	(8.737)	(8.712)	(9.460)	(9.509)	(9.411)	(9.415)	(8.900)	(8.985)	(8.951)	(8.856)	(9.732)	(9.677)	(9.614)	(9.618)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-0.533***	-0.533***			-0.702***	-0.702***			-0.671***	-0.671***			-0.797***	-0.797***			0.235*	0.235*			0.153	0.153			-0.0219	-0.0219			-0.585***	-0.567***			-0.516***	-0.524***			-0.371***	-0.351***			-0.580***	-0.593***			0.198	0.213			0.0375	0.0696			-0.118	-0.105
			(0.118)	(0.118)			(0.123)	(0.123)			(0.108)	(0.108)			(0.121)	(0.121)			(0.122)	(0.122)			(0.125)	(0.125)			(0.131)	(0.131)			(0.114)	(0.114)			(0.127)	(0.128)			(0.134)	(0.134)			(0.131)	(0.131)			(0.136)	(0.136)			(0.127)	(0.127)			(0.134)	(0.135)
_mother_edu2			-0.517***	-0.517***			-0.633***	-0.633***			-0.565***	-0.565***			-0.644***	-0.644***			0.302**	0.302**			0.236**	0.236**			-0.0381	-0.0381			-0.499***	-0.482***			-0.524***	-0.532***			-0.379***	-0.360***			-0.482***	-0.495***			0.188	0.204			0.141	0.176			0.0898	0.104
