	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
	(0.000273)	(0.000270)	(0.000267)	(0.000267)	(0.000276)	(0.000276)	(0.000273)	(0.000273)	(0.000257)	(0.000256)	(0.000252)	(0.000252)	(0.000297)	(0.000301)	(0.000294)	(0.000294)	(0.000307)	(0.000307)	(0.000311)	(0.000311)	(0.000309)	(0.000312)	(0.000312)	(0.000312)	(0.000294)	(0.000289)	(0.000291)	(0.000291)	(0.000594)	(0.000594)	(0.000614)	(0.000614)	(0.000659)	(0.000661)	(0.000664)	(0.000665)	(0.000597)	(0.000595)	(0.000598)	(0.000605)	(0.000668)	(0.000662)	(0.000650)	(0.000648)	(0.000728)	(0.000730)	(0.000724)	(0.000723)	(0.000683)	(0.000685)	(0.000686)	(0.000679)	(0.000683)	(0.000681)	(0.000676)	(0.000676)
agefirstbirth	-0.00683	-0.00517	-0.00522	-0.00522	-0.0194	-0.0185	-0.0107	-0.0107	0.000294	0.00111	0.00569	0.00569	-0.0194	-0.0186	-0.0105	-0.0105	0.0120	0.0106	0.0132	0.0132	-0.00438	-0.00548	-0.00554	-0.00554	-0.0111	-0.0101	-0.0153	-0.0153	0.0302***	0.0286***	0.0142	0.0176	0.0320***	0.0291**	0.0123	0.0119	0.0519***	0.0470***	0.0294***	0.0157	0.0295***	0.0237**	0.0109	0.0161	0.00858	0.00823	0.00498	-0.00950	-0.00921	-0.00785	-0.00790	-0.0298**	-0.00425	-0.00252	-0.0124	-0.0126
	(0.0166)	(0.0162)	(0.0160)	(0.0160)	(0.0165)	(0.0160)	(0.0156)	(0.0156)	(0.0150)	(0.0143)	(0.0144)	(0.0144)	(0.0173)	(0.0169)	(0.0171)	(0.0171)	(0.0195)	(0.0196)	(0.0193)	(0.0193)	(0.0191)	(0.0188)	(0.0185)	(0.0185)	(0.0123)	(0.0124)	(0.0119)	(0.0119)	(0.00994)	(0.00992)	(0.01000)	(0.0117)	(0.0112)	(0.0115)	(0.0112)	(0.0128)	(0.0106)	(0.0106)	(0.0101)	(0.0118)	(0.00923)	(0.00937)	(0.00955)	(0.0109)	(0.0115)	(0.0117)	(0.0120)	(0.0140)	(0.0117)	(0.0119)	(0.0120)	(0.0133)	(0.0103)	(0.0105)	(0.0106)	(0.0120)
miss_motherage	5.858	4.631	6.277	6.277	-2.579	-3.482	-3.582	-3.582	1.829	1.107	2.205	2.205	-0.871	-1.877	-0.826	-0.826	-2.156	-2.047	-0.732	-0.732	1.308	2.164	2.938	2.938	-7.692	-9.124	-6.762	-6.762	-10.33	-11.93	-10.01	-10.27	-20.42	-21.55	-17.42	-17.42	-22.29*	-24.63**	-21.13*	-21.08*	1.751	0.225	2.009	2.015	-1.369	-2.075	-2.201	-1.878	2.618	2.961	0.266	0.757	-8.611	-8.556	-10.81	-10.80
	(6.274)	(6.180)	(6.164)	(6.164)	(6.596)	(6.584)	(6.485)	(6.485)	(6.095)	(6.128)	(6.123)	(6.123)	(6.527)	(6.740)	(6.681)	(6.681)	(6.976)	(6.910)	(6.965)	(6.965)	(6.681)	(6.866)	(6.883)	(6.883)	(6.281)	(6.134)	(6.021)	(6.021)	(11.14)	(11.18)	(11.41)	(11.43)	(13.64)	(13.67)	(13.70)	(13.70)	(11.95)	(11.92)	(12.07)	(12.19)	(13.58)	(13.53)	(13.23)	(13.18)	(13.47)	(13.56)	(13.46)	(13.43)	(13.27)	(13.36)	(13.29)	(13.16)	(14.23)	(14.21)	(14.12)	(14.14)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-0.495***	-0.495***			-0.731***	-0.731***			-0.546***	-0.546***			-0.664***	-0.664***			0.213	0.213			0.138	0.138			-0.136	-0.136			-0.589***	-0.596***			-0.533***	-0.532***			-0.402**	-0.371**			-0.363**	-0.376**			0.0211	0.0541			-0.117	-0.0671			-0.195	-0.195
			(0.151)	(0.151)			(0.151)	(0.151)			(0.134)	(0.134)			(0.160)	(0.160)			(0.173)	(0.173)			(0.182)	(0.182)			(0.200)	(0.200)			(0.153)	(0.155)			(0.161)	(0.162)			(0.157)	(0.158)			(0.180)	(0.180)			(0.191)	(0.190)			(0.182)	(0.180)			(0.201)	(0.202)
_mother_edu2			-0.408***	-0.408***			-0.580***	-0.580***			-0.419***	-0.419***			-0.459***	-0.459***			0.277	0.277			0.118	0.118			-0.335*	-0.335*			-0.577***	-0.584***			-0.545***	-0.544***			-0.396**	-0.361**			-0.405**	-0.418**			0.167	0.204			0.0955	0.153			-0.0802	-0.0797
			(0.136)	(0.136)			(0.141)	(0.141)			(0.131)	(0.131)			(0.132)	(0.132)			(0.179)	(0.179)			(0.171)	(0.171)			(0.174)	(0.174)			(0.155)	(0.157)			(0.169)	(0.171)			(0.160)	(0.161)			(0.164)	(0.164)			(0.200)	(0.199)			(0.194)	(0.192)			(0.191)	(0.191)
_mother_edu3			-0.451***	-0.451***			-0.400***	-0.400***			-0.306***	-0.306***			-0.443***	-0.443***			0.188	0.188			-0.0202	-0.0202			-0.293*	-0.293*			-0.455***	-0.460***			-0.453***	-0.452***			-0.288**	-0.262**			-0.170	-0.180			0.00231	0.0295			-0.0987	-0.0574			-0.0741	-0.0737
			(0.109)	(0.109)			(0.107)	(0.107)			(0.0976)	(0.0976)			(0.111)	(0.111)			(0.146)	(0.146)			(0.138)	(0.138)			(0.161)	(0.161)			(0.135)	(0.136)			(0.127)	(0.129)			(0.128)	(0.129)			(0.142)	(0.143)			(0.172)	(0.171)			(0.153)	(0.152)			(0.176)	(0.177)
_mother_edu4			-0.332***	-0.332***			-0.242**	-0.242**			-0.185*	-0.185*			-0.268**	-0.268**			0.158	0.158			-0.00947	-0.00947			-0.300*	-0.300*			-0.344**	-0.348**			-0.400***	-0.400***			-0.266*	-0.241*			-0.103	-0.112			0.194	0.220			0.0165	0.0570			0.0360	0.0364
			(0.113)	(0.113)			(0.112)	(0.112)			(0.0999)	(0.0999)			(0.112)	(0.112)			(0.153)	(0.153)			(0.143)	(0.143)			(0.163)	(0.163)			(0.140)	(0.141)			(0.128)	(0.130)			(0.136)	(0.137)			(0.149)	(0.150)			(0.180)	(0.179)			(0.162)	(0.159)			(0.192)	(0.192)
_mother_edu5			-0.263***	-0.263***			-0.212**	-0.212**			-0.107	-0.107			-0.174*	-0.174*			0.219	0.219			-0.0122	-0.0122			-0.0657	-0.0657			-0.309**	-0.311**			-0.194*	-0.194*			-0.136	-0.125			-0.103	-0.107			-0.00379	0.00751			0.0588	0.0759			0.114	0.114
			(0.0977)	(0.0977)			(0.0974)	(0.0974)			(0.0856)	(0.0856)			(0.0936)	(0.0936)			(0.136)	(0.136)			(0.126)	(0.126)			(0.155)	(0.155)			(0.123)	(0.124)			(0.112)	(0.113)			(0.115)	(0.116)			(0.129)	(0.128)			(0.160)	(0.158)			(0.144)	(0.141)			(0.167)	(0.167)
_mother_edu7			-0.562**	-0.562**			-0.337*	-0.337*			-0.299	-0.299			-0.610***	-0.610***			-0.261	-0.261			-0.214	-0.214			0.0500	0.0500			-0.679***	-0.687***			-0.459**	-0.458**			-0.426**	-0.387**			-0.470***	-0.485***			-0.190	-0.149			-0.0399	0.0226			0.178	0.179
			(0.227)	(0.227)			(0.185)	(0.185)			(0.183)	(0.183)			(0.177)	(0.177)			(0.211)	(0.211)			(0.236)	(0.236)			(0.301)	(0.301)			(0.209)	(0.211)			(0.181)	(0.183)			(0.194)	(0.195)			(0.174)	(0.175)			(0.218)	(0.218)			(0.207)	(0.205)			(0.294)	(0.295)
_inc1			0.387	0.387			-0.235	-0.235			-0.00641	-0.00641			0.273	0.273			-0.771***	-0.771***			-0.889***	-0.889***			0.622	0.622			-0.234	-0.231			-0.0712	-0.0716			0.0550	0.0437			0.517	0.521			-0.662**	-0.676**			-0.868***	-0.890***			0.644	0.644
			(0.388)	(0.388)			(0.268)	(0.268)			(0.218)	(0.218)			(0.314)	(0.314)			(0.222)	(0.222)			(0.174)	(0.174)			(0.574)	(0.574)			(0.270)	(0.267)			(0.381)	(0.382)			(0.334)	(0.318)			(0.395)	(0.394)			(0.298)	(0.328)			(0.248)	(0.239)			(0.745)	(0.745)
_inc2			-0.437***	-0.437***			-0.0823	-0.0823			-0.315***	-0.315***			-0.258**	-0.258**			-0.0995	-0.0995			0.137	0.137			-0.199*	-0.199*			-0.222*	-0.225*			-0.169	-0.168			-0.351***	-0.336***			-0.164	-0.170			-0.274**	-0.259**			0.134	0.156			-0.0393	-0.0391
			(0.106)	(0.106)			(0.107)	(0.107)			(0.0920)	(0.0920)			(0.113)	(0.113)			(0.112)	(0.112)			(0.123)	(0.123)			(0.106)	(0.106)			(0.118)	(0.118)			(0.120)	(0.120)			(0.109)	(0.109)			(0.116)	(0.116)			(0.127)	(0.127)			(0.125)	(0.124)			(0.143)	(0.143)
_inc3			-0.269***	-0.269***			-0.00567	-0.00567			-0.242***	-0.242***			-0.254**	-0.254**			-0.161	-0.161			0.0585	0.0585			-0.179*	-0.179*			-0.240**	-0.242**			-0.180*	-0.179*			-0.319***	-0.309***			-0.175*	-0.179*			-0.110	-0.0998			0.0555	0.0711			-0.254**	-0.254**
			(0.0939)	(0.0939)			(0.0936)	(0.0936)			(0.0831)	(0.0831)			(0.102)	(0.102)			(0.103)	(0.103)			(0.106)	(0.106)			(0.0969)	(0.0969)			(0.105)	(0.104)			(0.0988)	(0.0989)			(0.0979)	(0.0972)			(0.0945)	(0.0941)			(0.117)	(0.117)			(0.109)	(0.109)			(0.120)	(0.120)
_inc4			-0.0751	-0.0751			-0.0974	-0.0974			-0.1000	-0.1000			-0.0663	-0.0663			0.0315	0.0315			0.00355	0.00355			-0.0320	-0.0320			-0.109	-0.109			-0.138	-0.138			-0.104	-0.107			-0.0552	-0.0541			-0.0139	-0.0171			0.0514	0.0466			-0.162	-0.162
			(0.0815)	(0.0815)			(0.0722)	(0.0722)			(0.0681)	(0.0681)			(0.0762)	(0.0762)			(0.0927)	(0.0927)			(0.0915)	(0.0915)			(0.102)	(0.102)			(0.0992)	(0.0994)			(0.0952)	(0.0953)			(0.0976)	(0.0965)			(0.0915)	(0.0918)			(0.109)	(0.109)			(0.105)	(0.105)			(0.132)	(0.132)
