	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
miss_daily_cig_before_preg		-0.676***	-0.831***	-0.831***		-0.185	-0.286	-0.286		0.818***	0.650***	0.650***		-0.502**	-0.634***	-0.634***		-1.332***	-1.448***	-1.448***		-1.664***	-1.606***	-1.606***		-0.580**	-0.713***	-0.713***		0.0387	0.131	0.137		-0.234	-0.112	-0.113		-0.116	-0.00770	-0.0323		-1.077**	-1.007**	-0.997**		0.558	0.532	0.510		0.184	0.142	0.109		0.305	0.300	0.300
		(0.187)	(0.192)	(0.192)		(0.335)	(0.291)	(0.291)		(0.175)	(0.172)	(0.172)		(0.211)	(0.198)	(0.198)		(0.214)	(0.215)	(0.215)		(0.223)	(0.229)	(0.229)		(0.280)	(0.275)	(0.275)		(0.431)	(0.412)	(0.427)		(0.377)	(0.425)	(0.424)		(0.314)	(0.319)	(0.270)		(0.478)	(0.485)	(0.486)		(0.361)	(0.419)	(0.407)		(0.381)	(0.352)	(0.333)		(0.216)	(0.260)	(0.260)
miss_weekly_alcohol_b_preg		0.176	0.588*	0.588*		-0.235	-0.125	-0.125		-1.390***	-1.057***	-1.057***		-0.168	0.219	0.219		2.136***	2.120***	2.120***		2.393***	2.097***	2.097***		0.634*	1.050***	1.050***		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0.280)	(0.324)	(0.324)		(0.471)	(0.526)	(0.526)		(0.355)	(0.398)	(0.398)		(0.328)	(0.443)	(0.443)		(0.393)	(0.498)	(0.498)		(0.403)	(0.477)	(0.477)		(0.330)	(0.377)	(0.377)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	-5.259	-4.030	-5.367	-5.367	1.708	2.396	2.474	2.474	-2.564	-1.820	-2.429	-2.429	2.247	3.744	3.568	3.568	2.037	1.185	0.182	0.182	0.947	-0.881	-1.319	-1.319	7.874	9.299	7.163	7.163	10.47	11.83	11.09	11.34	23.11	24.25*	20.71	20.71	22.24*	24.30*	21.57*	21.55*	-2.440	-0.768	-2.466	-2.020	-1.743	-1.676	-1.605	-1.792	-1.080	-1.800	0.564	0.280	6.826	7.178	9.598	9.595
	(5.855)	(5.813)	(5.742)	(5.742)	(6.104)	(6.129)	(6.021)	(6.021)	(5.503)	(5.578)	(5.516)	(5.516)	(6.057)	(6.398)	(6.353)	(6.353)	(6.583)	(6.532)	(6.569)	(6.569)	(6.246)	(6.456)	(6.490)	(6.490)	(5.861)	(5.732)	(5.616)	(5.616)	(12.05)	(12.11)	(12.41)	(12.43)	(14.22)	(14.31)	(14.42)	(14.43)	(12.58)	(12.61)	(12.76)	(12.90)	(12.62)	(14.27)	(12.40)	(13.90)	(12.64)	(12.76)	(12.64)	(12.62)	(12.41)	(12.50)	(12.41)	(12.29)	(13.25)	(13.24)	(13.16)	(13.17)
																																																								
Observations	1,796	1,796	1,796	1,796	1,686	1,686	1,686	1,686	1,664	1,664	1,664	1,664	1,680	1,680	1,680	1,680	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,365	1,365	1,365	1,365	1,268	1,268	1,268	1,268	1,251	1,251	1,251	1,251	1,263	1,263	1,263	1,263	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284
R-squared	0.108	0.118	0.160	0.160	0.106	0.112	0.143	0.143	0.118	0.135	0.173	0.173	0.123	0.129	0.162	0.162	0.047	0.053	0.065	0.065	0.060	0.067	0.075	0.075	0.043	0.048	0.070	0.070	0.141	0.148	0.176	0.176	0.134	0.141	0.175	0.175	0.174	0.191	0.230	0.234	0.141	0.155	0.182	0.182	0.058	0.062	0.078	0.082	0.091	0.093	0.102	0.111	0.040	0.042	0.061	0.061
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
