	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	0.0448	0.0466	0.0432	0.0432	0.0148	0.0122	0.00481	0.00481	0.00438	0.00280	-0.00166	-0.00166	-0.0266	-0.0249	-0.0328	-0.0328	-0.0570	-0.0643	-0.0571	-0.0571	-0.0907*	-0.0943*	-0.0961*	-0.0961*	0.0733	0.0730	0.0595	0.0595	-0.108*	-0.0933*	-0.0631	-0.0606	-0.0607	-0.0508	-0.0371	-0.0366	-0.181***	-0.160***	-0.125**	-0.110**	-0.0514	-0.0430	-0.0159	-0.0220	0.0170	0.0104	0.0441	0.0508	-0.0816	-0.0886	-0.0858	-0.0733	0.0883	0.0901	0.0987	0.0991
	(0.0436)	(0.0436)	(0.0436)	(0.0436)	(0.0445)	(0.0446)	(0.0443)	(0.0443)	(0.0430)	(0.0427)	(0.0426)	(0.0426)	(0.0464)	(0.0459)	(0.0458)	(0.0458)	(0.0474)	(0.0473)	(0.0483)	(0.0483)	(0.0497)	(0.0497)	(0.0503)	(0.0503)	(0.0545)	(0.0550)	(0.0559)	(0.0559)	(0.0552)	(0.0549)	(0.0546)	(0.0547)	(0.0607)	(0.0597)	(0.0596)	(0.0599)	(0.0527)	(0.0520)	(0.0533)	(0.0532)	(0.0570)	(0.0562)	(0.0566)	(0.0569)	(0.0638)	(0.0632)	(0.0649)	(0.0653)	(0.0634)	(0.0631)	(0.0635)	(0.0642)	(0.0712)	(0.0702)	(0.0716)	(0.0722)
motherage	0.290	0.374	0.675	0.675	0.299	0.302	0.509	0.509	0.0877	0.0630	0.364	0.364	-0.279	-0.291	-0.0417	-0.0417	-0.232	-0.311	-0.464	-0.464	-1.501	-1.523	-1.590	-1.590	-0.573	-0.530	-0.158	-0.158	-1.612	-1.849	-1.335	-1.352	-3.517*	-3.681**	-2.914	-2.920	-4.824***	-5.086***	-4.453***	-4.617***	-2.503	-2.727*	-2.288	-2.216	1.363	1.457	1.942	1.874	1.661	1.724	1.656	1.528	0.0852	0.0689	-0.0100	-0.0141
	(1.160)	(1.164)	(1.181)	(1.181)	(1.233)	(1.227)	(1.240)	(1.240)	(1.041)	(1.040)	(1.050)	(1.050)	(1.206)	(1.206)	(1.224)	(1.224)	(1.274)	(1.272)	(1.284)	(1.284)	(1.334)	(1.334)	(1.359)	(1.359)	(1.083)	(1.084)	(1.039)	(1.039)	(1.493)	(1.463)	(1.502)	(1.504)	(1.833)	(1.825)	(1.817)	(1.822)	(1.520)	(1.493)	(1.503)	(1.507)	(1.531)	(1.490)	(1.504)	(1.497)	(1.946)	(1.959)	(1.891)	(1.898)	(1.787)	(1.794)	(1.779)	(1.785)	(1.914)	(1.926)	(1.920)	(1.918)
motheragesq	-0.00336	-0.00698	-0.0199	-0.0199	-0.0135	-0.0143	-0.0232	-0.0232	0.00331	0.00374	-0.00922	-0.00922	0.0141	0.0134	0.00188	0.00188	0.00390	0.00723	0.0125	0.0125	0.0549	0.0569	0.0590	0.0590	0.0245	0.0226	0.00828	0.00828	0.0694	0.0780	0.0564	0.0571	0.134**	0.140**	0.110*	0.110*	0.182***	0.191***	0.166***	0.172***	0.0926	0.100*	0.0830	0.0801	-0.0504	-0.0533	-0.0723	-0.0695	-0.0624	-0.0646	-0.0628	-0.0576	-0.00722	-0.00674	-0.00549	-0.00533
	(0.0439)	(0.0440)	(0.0446)	(0.0446)	(0.0444)	(0.0442)	(0.0447)	(0.0447)	(0.0380)	(0.0379)	(0.0383)	(0.0383)	(0.0453)	(0.0451)	(0.0455)	(0.0455)	(0.0484)	(0.0483)	(0.0487)	(0.0487)	(0.0503)	(0.0502)	(0.0511)	(0.0511)	(0.0408)	(0.0408)	(0.0395)	(0.0395)	(0.0552)	(0.0540)	(0.0560)	(0.0561)	(0.0663)	(0.0660)	(0.0657)	(0.0659)	(0.0558)	(0.0548)	(0.0552)	(0.0554)	(0.0568)	(0.0551)	(0.0558)	(0.0554)	(0.0731)	(0.0735)	(0.0711)	(0.0713)	(0.0667)	(0.0669)	(0.0665)	(0.0666)	(0.0691)	(0.0695)	(0.0692)	(0.0692)
motheragecub	-4.27e-05	8.90e-06	0.000173	0.000173	0.000174	0.000194	0.000307	0.000307	-0.000106	-0.000103	6.18e-05	6.18e-05	-0.000184	-0.000160	-9.69e-06	-9.69e-06	-4.17e-05	-8.57e-05	-0.000145	-0.000145	-0.000668	-0.000705	-0.000729	-0.000729	-0.000301	-0.000273	-9.97e-05	-9.97e-05	-0.000968	-0.00106	-0.000784	-0.000792	-0.00167**	-0.00173**	-0.00136*	-0.00136*	-0.00220***	-0.00229***	-0.00198***	-0.00205***	-0.00112	-0.00120*	-0.000984	-0.000951	0.000540	0.000573	0.000805	0.000773	0.000661	0.000684	0.000670	0.000610	0.000127	0.000121	0.000123	0.000121
