	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	0.0126	0.0103	0.0144	0.0144	-0.0198	-0.0234	-0.0257	-0.0257	0.0151	0.0120	0.0122	0.0122	-0.0231	-0.0266	-0.0280	-0.0280	-0.0241	-0.0250	-0.0227	-0.0227	-0.0569*	-0.0546	-0.0543	-0.0543	0.0655*	0.0660*	0.0644	0.0644	-0.118***	-0.120***	-0.0934**	-0.0820**	0.00108	0.00402	0.0310	0.0274	-0.107***	-0.0997**	-0.0584	-0.0431	-0.0319	-0.0320	-0.0105	-0.0183	-0.0224	-0.0230	-0.0125	-0.00113	-0.0328	-0.0364	-0.0499	-0.0305	-0.0227	-0.0255	-0.00627	0.000903
	(0.0313)	(0.0313)	(0.0310)	(0.0310)	(0.0310)	(0.0313)	(0.0307)	(0.0307)	(0.0323)	(0.0324)	(0.0321)	(0.0321)	(0.0326)	(0.0327)	(0.0325)	(0.0325)	(0.0340)	(0.0340)	(0.0347)	(0.0347)	(0.0339)	(0.0340)	(0.0344)	(0.0344)	(0.0385)	(0.0388)	(0.0395)	(0.0395)	(0.0392)	(0.0392)	(0.0388)	(0.0389)	(0.0424)	(0.0423)	(0.0425)	(0.0428)	(0.0399)	(0.0397)	(0.0402)	(0.0404)	(0.0409)	(0.0408)	(0.0407)	(0.0412)	(0.0423)	(0.0423)	(0.0429)	(0.0432)	(0.0419)	(0.0419)	(0.0422)	(0.0426)	(0.0418)	(0.0421)	(0.0432)	(0.0443)
motherage	-1.151	-1.140	-0.952	-0.952	-1.652*	-1.657*	-1.510*	-1.510*	-0.497	-0.521	-0.385	-0.385	-0.706	-0.705	-0.614	-0.614	-0.259	-0.234	-0.221	-0.221	-0.874	-0.859	-0.894	-0.894	-0.216	-0.164	-0.00673	-0.00673	-0.699	-0.747	-0.484	-0.564	-2.013	-2.081	-1.639	-1.614	-2.056*	-2.147*	-1.844	-1.948	-1.050	-1.133	-0.955	-0.898	-1.128	-1.107	-1.058	-1.130	1.439	1.471	1.563	1.439	0.149	0.133	-0.0950	-0.141
	(0.830)	(0.831)	(0.820)	(0.820)	(0.866)	(0.867)	(0.855)	(0.855)	(0.757)	(0.755)	(0.770)	(0.770)	(0.768)	(0.768)	(0.759)	(0.759)	(0.903)	(0.903)	(0.903)	(0.903)	(0.904)	(0.904)	(0.907)	(0.907)	(0.779)	(0.780)	(0.762)	(0.762)	(1.077)	(1.080)	(1.085)	(1.083)	(1.306)	(1.309)	(1.289)	(1.293)	(1.193)	(1.187)	(1.205)	(1.201)	(1.102)	(1.101)	(1.085)	(1.084)	(1.306)	(1.314)	(1.289)	(1.293)	(1.156)	(1.164)	(1.170)	(1.165)	(1.302)	(1.316)	(1.301)	(1.302)
motheragesq	0.0377	0.0372	0.0300	0.0300	0.0613**	0.0615**	0.0561*	0.0561*	0.0233	0.0243	0.0190	0.0190	0.0258	0.0257	0.0220	0.0220	0.0109	0.00984	0.00922	0.00922	0.0365	0.0361	0.0371	0.0371	0.00270	0.000559	-0.00564	-0.00564	0.0209	0.0227	0.0116	0.0148	0.0783*	0.0807*	0.0640	0.0629	0.0763*	0.0796*	0.0673	0.0718	0.0387	0.0418	0.0349	0.0324	0.0369	0.0363	0.0348	0.0379	-0.0572	-0.0582	-0.0615	-0.0561	-0.0139	-0.0134	-0.00551	-0.00352
	(0.0310)	(0.0310)	(0.0305)	(0.0305)	(0.0312)	(0.0312)	(0.0308)	(0.0308)	(0.0275)	(0.0275)	(0.0280)	(0.0280)	(0.0288)	(0.0288)	(0.0284)	(0.0284)	(0.0340)	(0.0341)	(0.0341)	(0.0341)	(0.0339)	(0.0339)	(0.0340)	(0.0340)	(0.0298)	(0.0298)	(0.0292)	(0.0292)	(0.0403)	(0.0403)	(0.0407)	(0.0406)	(0.0473)	(0.0474)	(0.0467)	(0.0469)	(0.0443)	(0.0440)	(0.0448)	(0.0446)	(0.0413)	(0.0412)	(0.0406)	(0.0405)	(0.0484)	(0.0486)	(0.0477)	(0.0478)	(0.0425)	(0.0428)	(0.0430)	(0.0427)	(0.0482)	(0.0487)	(0.0480)	(0.0480)
motheragecub	-0.000405	-0.000397	-0.000309	-0.000309	-0.000719*	-0.000719*	-0.000655*	-0.000655*	-0.000327	-0.000339	-0.000273	-0.000273	-0.000298	-0.000294	-0.000248	-0.000248	-0.000165	-0.000150	-0.000140	-0.000140	-0.000505	-0.000500	-0.000511	-0.000511	3.89e-06	3.26e-05	0.000110	0.000110	-0.000230	-0.000249	-9.79e-05	-0.000134	-0.000979*	-0.00100*	-0.000795	-0.000782	-0.000920*	-0.000956*	-0.000792	-0.000845	-0.000469	-0.000503	-0.000414	-0.000385	-0.000415	-0.000409	-0.000395	-0.000433	0.000685	0.000695	0.000733	0.000669	0.000230	0.000223	0.000135	0.000111
