	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
	(11.42)	(10.83)	(10.28)	(10.28)	(9.724)	(9.654)	(9.446)	(9.446)	(15.44)	(14.44)	(13.41)	(13.41)	(9.197)	(8.874)	(8.209)	(8.209)	(15.27)	(14.19)	(13.73)	(13.67)	(14.28)	(14.07)	(13.81)	(13.83)	(17.26)	(16.12)	(15.86)	(15.87)	(14.08)	(13.63)	(13.16)	(13.18)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-0.578***	-0.578***			-0.593***	-0.593***			-0.858***	-0.858***			-0.943***	-0.943***			-0.520***	-0.483***			-0.451**	-0.460**			-0.207	-0.190			-0.767***	-0.775***
			(0.160)	(0.160)			(0.186)	(0.186)			(0.185)	(0.185)			(0.181)	(0.181)			(0.171)	(0.167)			(0.192)	(0.194)			(0.225)	(0.226)			(0.193)	(0.194)
_mother_edu2			-0.606***	-0.606***			-0.626***	-0.626***			-0.630***	-0.630***			-0.822***	-0.822***			-0.376**	-0.341**			-0.398*	-0.406*			-0.186	-0.170			-0.513**	-0.522**
			(0.146)	(0.146)			(0.182)	(0.182)			(0.169)	(0.169)			(0.186)	(0.186)			(0.173)	(0.170)			(0.209)	(0.210)			(0.229)	(0.230)			(0.206)	(0.207)
_mother_edu3			-0.328***	-0.328***			-0.283*	-0.283*			-0.386***	-0.386***			-0.432***	-0.432***			-0.206	-0.178			-0.0448	-0.0501			0.0147	0.0254			-0.275	-0.280
			(0.110)	(0.110)			(0.145)	(0.145)			(0.122)	(0.122)			(0.144)	(0.144)			(0.145)	(0.142)			(0.166)	(0.167)			(0.200)	(0.201)			(0.180)	(0.181)
_mother_edu4			-0.186	-0.186			-0.386***	-0.386***			-0.377***	-0.377***			-0.507***	-0.507***			-0.0928	-0.0785			-0.211	-0.210			-0.0630	-0.0634			-0.409**	-0.408**
			(0.114)	(0.114)			(0.146)	(0.146)			(0.125)	(0.125)			(0.148)	(0.148)			(0.147)	(0.144)			(0.168)	(0.168)			(0.195)	(0.196)			(0.186)	(0.187)
_mother_edu5			-0.143	-0.143			-0.128	-0.128			-0.166	-0.166			-0.330**	-0.330**			0.0940	0.106			-0.0182	-0.0172			0.207	0.205			-0.143	-0.142
			(0.0962)	(0.0962)			(0.135)	(0.135)			(0.110)	(0.110)			(0.134)	(0.134)			(0.132)	(0.128)			(0.153)	(0.154)			(0.183)	(0.184)			(0.166)	(0.167)
_mother_edu7			-0.470**	-0.470**			-0.329	-0.329			-0.732***	-0.732***			-0.736***	-0.736***			-0.484**	-0.441**			-0.180	-0.190			-0.326	-0.307			-0.653***	-0.663***
			(0.217)	(0.217)			(0.220)	(0.220)			(0.249)	(0.249)			(0.223)	(0.223)			(0.207)	(0.208)			(0.235)	(0.235)			(0.253)	(0.254)			(0.241)	(0.242)
_inc1			0.212	0.212			0.0222	0.0222			-0.405	-0.405			0.166	0.166			0.109	0.129			-0.204	-0.207			-0.508*	-0.502*			-0.0222	-0.0245
			(0.328)	(0.328)			(0.471)	(0.471)			(0.296)	(0.296)			(0.632)	(0.632)			(0.417)	(0.418)			(0.458)	(0.460)			(0.293)	(0.301)			(0.466)	(0.469)
_inc2			-0.0495	-0.0495			-0.175	-0.175			-0.115	-0.115			-0.252**	-0.252**			-0.353***	-0.360***			-0.251**	-0.247**			-0.345***	-0.352***			-0.138	-0.134
