	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
	(0.000429)	(0.000434)	(0.000423)	(0.000423)	(0.000475)	(0.000474)	(0.000462)	(0.000462)	(0.000406)	(0.000402)	(0.000402)	(0.000402)	(0.000410)	(0.000413)	(0.000418)	(0.000418)	(0.000481)	(0.000481)	(0.000473)	(0.000473)	(0.000459)	(0.000458)	(0.000459)	(0.000459)	(0.000523)	(0.000522)	(0.000512)	(0.000512)	(0.000460)	(0.000464)	(0.000453)	(0.000453)	(0.000548)	(0.000547)	(0.000525)	(0.000525)	(0.000515)	(0.000503)	(0.000486)	(0.000485)	(0.000502)	(0.000502)	(0.000485)	(0.000485)	(0.000556)	(0.000559)	(0.000548)	(0.000547)	(0.000505)	(0.000508)	(0.000506)	(0.000498)	(0.000602)	(0.000607)	(0.000601)	(0.000601)
agefirstbirth	0.0333***	0.0284***	0.0148***	0.0148***	0.0269***	0.0229***	0.0109**	0.0109**	0.0397***	0.0339***	0.0210***	0.0210***	0.0247***	0.0218***	0.0120**	0.0120**	-0.00587	-0.00760	-0.00700	-0.00700	-0.00640	-0.00363	-0.00183	-0.00183	0.00606	0.00533	0.00328	0.00328	0.0327***	0.0279***	0.0113*	0.0105*	0.0368***	0.0328***	0.0167***	0.0170***	0.0494***	0.0414***	0.0237***	0.0225***	0.0322***	0.0256***	0.0140**	0.0154**	-0.00179	-0.000729	-0.00224	-0.00557	-0.0103*	-0.00710	-0.00692	-0.0114*	0.00194	0.00419	5.49e-05	-0.000108
	(0.00444)	(0.00476)	(0.00513)	(0.00513)	(0.00506)	(0.00536)	(0.00552)	(0.00552)	(0.00517)	(0.00534)	(0.00549)	(0.00549)	(0.00501)	(0.00537)	(0.00541)	(0.00541)	(0.00534)	(0.00567)	(0.00604)	(0.00604)	(0.00530)	(0.00570)	(0.00592)	(0.00592)	(0.00545)	(0.00558)	(0.00581)	(0.00581)	(0.00531)	(0.00573)	(0.00609)	(0.00615)	(0.00556)	(0.00597)	(0.00628)	(0.00643)	(0.00570)	(0.00587)	(0.00624)	(0.00635)	(0.00650)	(0.00701)	(0.00681)	(0.00681)	(0.00593)	(0.00627)	(0.00667)	(0.00670)	(0.00591)	(0.00630)	(0.00659)	(0.00665)	(0.00671)	(0.00685)	(0.00708)	(0.00709)
_mother_edu1			0.00175	0.00175			-0.381**	-0.381**			-0.139	-0.139			0.168	0.168			0.271	0.271			0.0884	0.0884			-0.133	-0.133			-0.0303	-0.0327			-0.234	-0.233			0.0746	0.0729			0.111	0.112			-0.0150	-0.0193			-0.131	-0.137			0.163	0.163
			(0.159)	(0.159)			(0.153)	(0.153)			(0.190)	(0.190)			(0.148)	(0.148)			(0.175)	(0.175)			(0.171)	(0.171)			(0.215)	(0.215)			(0.126)	(0.126)			(0.158)	(0.158)			(0.148)	(0.148)			(0.153)	(0.153)			(0.137)	(0.137)			(0.157)	(0.156)			(0.143)	(0.143)
_mother_edu2			0.179	0.179			-0.0889	-0.0889			0.0577	0.0577			0.291**	0.291**			0.0994	0.0994			-0.0630	-0.0630			-0.169	-0.169			0.186*	0.184			0.0730	0.0732			0.228*	0.227*			0.300**	0.301**			-0.0813	-0.0843			-0.211	-0.215			0.0545	0.0543
			(0.147)	(0.147)			(0.134)	(0.134)			(0.170)	(0.170)			(0.137)	(0.137)			(0.160)	(0.160)			(0.156)	(0.156)			(0.204)	(0.204)			(0.113)	(0.113)			(0.143)	(0.143)			(0.133)	(0.133)			(0.140)	(0.141)			(0.124)	(0.123)			(0.145)	(0.144)			(0.125)	(0.125)
_mother_edu3			0.330**	0.330**			-0.0786	-0.0786			0.0904	0.0904			0.426***	0.426***			0.0903	0.0903			0.0120	0.0120			0.0408	0.0408			0.360***	0.358***			0.0597	0.0598			0.210	0.210			0.342**	0.343**			0.103	0.101			-0.172	-0.174			0.226*	0.226*
			(0.152)	(0.152)			(0.137)	(0.137)			(0.174)	(0.174)			(0.141)	(0.141)			(0.165)	(0.165)			(0.163)	(0.163)			(0.215)	(0.215)			(0.118)	(0.119)			(0.143)	(0.144)			(0.135)	(0.135)			(0.144)	(0.144)			(0.132)	(0.131)			(0.153)	(0.152)			(0.131)	(0.131)
_mother_edu4			0.382**	0.382**			0.120	0.120			0.264	0.264			0.479***	0.479***			0.173	0.173			-0.0142	-0.0142			-0.106	-0.106			0.429***	0.427***			0.231	0.232			0.401***	0.398***			0.489***	0.492***			-0.00438	-0.0116			-0.148	-0.158			0.0967	0.0964
			(0.149)	(0.149)			(0.134)	(0.134)			(0.171)	(0.171)			(0.140)	(0.140)			(0.163)	(0.163)			(0.159)	(0.159)			(0.206)	(0.206)			(0.114)	(0.115)			(0.142)	(0.142)			(0.136)	(0.135)			(0.140)	(0.141)			(0.130)	(0.129)			(0.149)	(0.148)			(0.126)	(0.126)
_mother_edu5			0.526***	0.526***			0.265*	0.265*			0.336*	0.336*			0.667***	0.667***			-0.0449	-0.0449			-0.0475	-0.0475			-0.138	-0.138			0.531***	0.527***			0.260	0.261			0.386**	0.381**			0.604***	0.609***			-0.0262	-0.0369			-0.143	-0.157			0.0993	0.0988
			(0.162)	(0.162)			(0.160)	(0.160)			(0.187)	(0.187)			(0.162)	(0.162)			(0.189)	(0.189)			(0.180)	(0.180)			(0.230)	(0.230)			(0.137)	(0.137)			(0.171)	(0.171)			(0.164)	(0.164)			(0.167)	(0.167)			(0.167)	(0.167)			(0.177)	(0.176)			(0.180)	(0.181)
_inc1			-0.348***	-0.348***			-0.236**	-0.236**			-0.424***	-0.424***			-0.121	-0.121			0.0385	0.0385			0.107	0.107			-0.0276	-0.0276			-0.276***	-0.276***			-0.477***	-0.477***			-0.605***	-0.605***			-0.163*	-0.162*			-0.0626	-0.0647			0.0374	0.0345			-0.0766	-0.0767
			(0.0898)	(0.0898)			(0.0954)	(0.0954)			(0.0941)	(0.0941)			(0.0997)	(0.0997)			(0.101)	(0.101)			(0.101)	(0.101)			(0.108)	(0.108)			(0.0861)	(0.0861)			(0.0892)	(0.0893)			(0.0929)	(0.0931)			(0.0940)	(0.0939)			(0.100)	(0.101)			(0.0963)	(0.0965)			(0.109)	(0.109)
_inc2			-0.321***	-0.321***			-0.225***	-0.225***			-0.256***	-0.256***			-0.210**	-0.210**			0.128	0.128			0.164*	0.164*			-0.0998	-0.0998			-0.238***	-0.240***			-0.365***	-0.364***			-0.434***	-0.437***			-0.148*	-0.144			0.0729	0.0636			0.0647	0.0521			-0.164*	-0.164*
