="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0323)",="(0.264)",="(0.261)",="(0.262)",="",="(0.265)",="(0.261)",="(0.258)",=""

="_yb22",="0.0269",="-0.463*",="-0.437*",="-0.435*",="",="-0.461*",="-0.462*",="-0.434*",=""
="",="(0.0345)",="(0.264)",="(0.261)",="(0.262)",="",="(0.265)",="(0.260)",="(0.258)",=""

="_yb23",="0.0515",="-0.431",="-0.405",="-0.404",="",="-0.429",="-0.429",="-0.401",=""
="",="(0.0328)",="(0.265)",="(0.262)",="(0.263)",="",="(0.265)",="(0.261)",="(0.259)",=""

="_yb24",="0.0148",="-0.460*",="-0.434*",="-0.433*",="",="-0.458*",="-0.457*",="-0.430*",=""
="",="(0.0309)",="(0.262)",="(0.259)",="(0.260)",="",="(0.263)",="(0.258)",="(0.256)",=""

="_yb25",="0.0240",="-0.441*",="-0.416",="-0.415",="",="-0.440*",="-0.438*",="-0.411",=""
="",="(0.0312)",="(0.261)",="(0.258)",="(0.259)",="",="(0.261)",="(0.257)",="(0.254)",=""

="_yb26",="0.0345",="-0.423",="-0.397",="-0.395",="",="-0.421",="-0.419",="-0.391",=""
="",="(0.0329)",="(0.260)",="(0.257)",="(0.258)",="",="(0.260)",="(0.255)",="(0.252)",=""

="_yb27",="0.0298",="-0.419",="-0.395",="-0.394",="",="-0.418",="-0.415",="-0.388",=""
="",="(0.0322)",="(0.259)",="(0.256)",="(0.257)",="",="(0.260)",="(0.254)",="(0.252)",=""

="_yb28",="0.0290",="-0.413",="-0.387",="-0.385",="",="-0.409",="-0.406",="-0.379",=""
="",="(0.0319)",="(0.257)",="(0.254)",="(0.255)",="",="(0.257)",="(0.252)",="(0.249)",=""

="_yb29",="0.0263",="-0.410",="-0.383",="-0.380",="",="-0.406",="-0.402",="-0.375",=""
="",="(0.0324)",="(0.256)",="(0.253)",="(0.254)",="",="(0.257)",="(0.251)",="(0.249)",=""

="_yb30",="0.0176",="-0.414",="-0.388",="-0.384",="",="-0.411",="-0.406",="-0.378",=""
="",="(0.0316)",="(0.255)",="(0.252)",="(0.253)",="",="(0.255)",="(0.249)",="(0.247)",=""

="_yb31",="0.0189",="-0.409",="-0.384",="-0.379",="",="-0.405",="-0.400",="-0.373",=""
