="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="_yb23",="0.0456**",="-1.869***",="-1.822***",="-1.841***",="",="-1.895***",="-1.834***",="-1.783***",=""
="",="(0.0213)",="(0.566)",="(0.543)",="(0.546)",="",="(0.565)",="(0.560)",="(0.542)",=""

="_yb24",="-0.00509",="-1.912***",="-1.866***",="-1.884***",="",="-1.937***",="-1.876***",="-1.826***",=""
="",="(0.00855)",="(0.555)",="(0.532)",="(0.535)",="",="(0.553)",="(0.549)",="(0.531)",=""

="_yb25",="0.00510",="-1.892***",="-1.847***",="-1.865***",="",="-1.918***",="-1.856***",="-1.805***",=""
="",="(0.0131)",="(0.549)",="(0.527)",="(0.530)",="",="(0.548)",="(0.543)",="(0.526)",=""

="_yb26",="-0.0103",="-1.901***",="-1.856***",="-1.874***",="",="-1.928***",="-1.865***",="-1.814***",=""
="",="(0.00703)",="(0.545)",="(0.522)",="(0.525)",="",="(0.543)",="(0.538)",="(0.521)",=""

="_yb27",="-0.00697",="-1.891***",="-1.845***",="-1.866***",="",="-1.919***",="-1.855***",="-1.805***",=""
="",="(0.00727)",="(0.540)",="(0.518)",="(0.520)",="",="(0.538)",="(0.533)",="(0.516)",=""

="_yb28",="0.0131",="-1.865***",="-1.819***",="-1.836***",="",="-1.891***",="-1.827***",="-1.776***",=""
="",="(0.0184)",="(0.534)",="(0.513)",="(0.515)",="",="(0.532)",="(0.528)",="(0.511)",=""

="_yb29",="0.0202",="-1.855***",="-1.810***",="-1.829***",="",="-1.882***",="-1.816***",="-1.767***",=""
="",="(0.0259)",="(0.534)",="(0.512)",="(0.514)",="",="(0.531)",="(0.527)",="(0.509)",=""

="_yb30",="-0.0111",="-1.885***",="-1.841***",="-1.858***",="",="-1.910***",="-1.844***",="-1.795***",=""
="",="(0.00706)",="(0.530)",="(0.508)",="(0.510)",="",="(0.527)",="(0.522)",="(0.505)",=""

="_yb31",="-0.0102",="-1.885***",="-1.841***",="-1.858***",="",="-1.911***",="-1.845***",="-1.795***",=""
="",="(0.00688)",="(0.528)",="(0.506)",="(0.508)",="",="(0.526)",="(0.521)",="(0.504)",=""

="_yb32",="-0.00977",="-1.889***",="-1.846***",="-1.864***",="",="-1.916***",="-1.849***",="-1.801***",=""
="",="(0.00780)",="(0.529)",="(0.506)",="(0.508)",="",="(0.526)",="(0.521)",="(0.504)",=""

="_yb33",="-0.0119",="-1.900***",="-1.854***",="-1.872***",="",="-1.927***",="-1.858***",="-1.807***",=""
="",="(0.00782)",="(0.530)",="(0.507)",="(0.509)",="",="(0.527)",="(0.522)",="(0.505)",=""

="_yb34",="0.00705",="-1.892***",="-1.847***",="-1.864***",="",="-1.920***",="-1.852***",="-1.799***",=""
="",="(0.0194)",="(0.533)",="(0.510)",="(0.512)",="",="(0.531)",="(0.525)",="(0.508)",=""

="_yb35",="-0.0132",="-1.929***",="-1.879***",="-1.894***",="",="-1.955***",="-1.884***",="-1.827***",=""
="",="(0.00875)",="(0.540)",="(0.518)",="(0.519)",="",="(0.538)",="(0.532)",="(0.515)",=""

="_yb36",="-0.00902",="-1.944***",="-1.900***",="-1.915***",="",="-1.971***",="-1.904***",="-1.852***",=""
="",="(0.00795)",="(0.552)",="(0.528)",="(0.530)",="",="(0.548)",="(0.543)",="(0.525)",=""

="_yb37",="-0.0132",="-1.966***",="-1.913***",="-1.927***",="",="-1.993***",="-1.922***",="-1.860***",=""
="",="(0.0132)",="(0.557)",="(0.532)",="(0.536)",="",="(0.554)",="(0.549)",="(0.531)",=""

="_yb38",="0",="-1.707***",="-1.692***",="-1.707***",="",="-1.740***",="-1.712***",="-1.679***",=""
="",="(.)",="(0.436)",="(0.415)",="(0.420)",="",="(0.432)",="(0.430)",="(0.417)",=""

="_dob_m1",="-0.0289",="-0.0287",="-0.0263",="-0.0262",="",="-0.0292",="0",="0",=""
="",="(0.0209)",="(0.0207)",="(0.0207)",="(0.0208)",="",="(0.0208)",="(.)",="(.)",=""

="_dob_m2",="0.00753",="0.00805",="0.00948",="0.00791",="",="0.00618",="0.0377**",="0.0364**",=""
="",="(0.0258)",="(0.0255)",="(0.0251)",="(0.0249)",="",="(0.0252)",="(0.0184)",="(0.0177)",=""

="_dob_m3",="-0.0248",="-0.0243",="-0.0236",="-0.0247",="",="-0.0250",="0.00587",="0.00316",=""
="",="(0.0208)",="(0.0208)",="(0.0208)",="(0.0207)",="",="(0.0207)",="(0.0108)",="(0.0107)",=""

="_dob_m4",="-0.00655",="-0.00619",="-0.00508",="-0.00584",="",="-0.00701",="0.0233",="0.0214",=""
="",="(0.0227)",="(0.0232)",="(0.0230)",="(0.0231)",="",="(0.0233)",="(0.0149)",="(0.0147)",=""

="_dob_m5",="-0.0227",="-0.0221",="-0.0200",="-0.0213",="",="-0.0235",="0.00745",="0.00660",=""
="",="(0.0211)",="(0.0209)",="(0.0208)",="(0.0208)",="",="(0.0209)",="(0.0106)",="(0.0105)",=""

="_dob_m6",="-0.0105",="-0.00920",="-0.00769",="-0.00904",="",="-0.0103",="0.0204",="0.0187",=""
="",="(0.0227)",="(0.0223)",="(0.0221)",="(0.0221)",="",="(0.0222)",="(0.0140)",="(0.0137)",=""

="_dob_m7",="-0.00482",="-0.00290",="-0.00189",="-0.00344",="",="-0.00514",="0.0257*",="0.0244*",=""
