="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="_yb24",="0.0108",="-1.795***",="-1.798***",="0.0264",="",="-1.889***",="-1.894***",="-1.799***",=""
="",="(0.0137)",="(0.573)",="(0.599)",="(0.0655)",="",="(0.624)",="(0.614)",="(0.596)",=""

="_yb25",="-0.00582",="-1.806***",="-1.815***",="0.00912",="",="-1.906***",="-1.910***",="-1.816***",=""
="",="(0.00752)",="(0.569)",="(0.594)",="(0.0695)",="",="(0.618)",="(0.608)",="(0.590)",=""

="_yb26",="-0.00224",="-1.796***",="-1.805***",="0.0168",="",="-1.897***",="-1.901***",="-1.809***",=""
="",="(0.00784)",="(0.565)",="(0.590)",="(0.0749)",="",="(0.614)",="(0.603)",="(0.585)",=""

="_yb27",="0.0189",="-1.769***",="-1.797***",="0.0255",="",="-1.887***",="-1.891***",="-1.800***",=""
="",="(0.0191)",="(0.559)",="(0.584)",="(0.0798)",="",="(0.607)",="(0.597)",="(0.579)",=""

="_yb28",="0.0261",="-1.758***",="-1.791***",="0.0315",="",="-1.879***",="-1.883***",="-1.793***",=""
="",="(0.0271)",="(0.558)",="(0.582)",="(0.0843)",="",="(0.605)",="(0.594)",="(0.577)",=""

="_yb29",="-0.00577",="-1.788***",="-1.806***",="0.0177",="",="-1.892***",="-1.894***",="-1.806***",=""
="",="(0.00725)",="(0.554)",="(0.578)",="(0.0822)",="",="(0.601)",="(0.590)",="(0.573)",=""

="_yb30",="-0.00471",="-1.787***",="-1.806***",="0.0183",="",="-1.893***",="-1.896***",="-1.806***",=""
="",="(0.00706)",="(0.553)",="(0.576)",="(0.0791)",="",="(0.600)",="(0.589)",="(0.571)",=""

="_yb31",="-0.00317",="-1.789***",="-1.805***",="0.0186",="",="-1.894***",="-1.897***",="-1.806***",=""
="",="(0.00792)",="(0.553)",="(0.577)",="(0.0734)",="",="(0.601)",="(0.590)",="(0.572)",=""

="_yb32",="-0.00637",="-1.798***",="-1.811***",="0.0146",="",="-1.900***",="-1.902***",="-1.810***",=""
="",="(0.00816)",="(0.554)",="(0.577)",="(0.0668)",="",="(0.601)",="(0.590)",="(0.572)",=""

="_yb33",="0.0149",="-1.786***",="-1.813***",="0.0122",="",="-1.907***",="-1.909***",="-1.811***",=""
="",="(0.0206)",="(0.557)",="(0.583)",="(0.0538)",="",="(0.607)",="(0.595)",="(0.577)",=""

="_yb34",="-0.00647",="-1.821***",="-1.821***",="0.00398",="",="-1.919***",="-1.919***",="-1.818***",=""
="",="(0.00871)",="(0.564)",="(0.589)",="(0.0428)",="",="(0.613)",="(0.601)",="(0.582)",=""

="_yb35",="-0.00373",="-1.833***",="-1.824***",="0.00392",="",="-1.921***",="-1.925***",="-1.824***",=""
="",="(0.00792)",="(0.575)",="(0.601)",="(0.0195)",="",="(0.627)",="(0.616)",="(0.596)",=""

="_yb36",="-0.00328",="-1.847***",="-1.827***",="0",="",="-1.937***",="-1.937***",="-1.823***",=""
="",="(0.0131)",="(0.581)",="(0.607)",="(.)",="",="(0.634)",="(0.622)",="(0.601)",=""

="_yb37",="0",="-1.632***",="-1.593***",="0.224",="",="-1.680***",="-1.682***",="-1.597***",=""
="",="(.)",="(0.451)",="(0.468)",="(0.174)",="",="(0.493)",="(0.486)",="(0.471)",=""

="_dob_m1",="-0.0202",="-0.0201",="-0.0172",="-0.0368*",="",="-0.0370*",="-0.0384*",="-0.0383**",=""
="",="(0.0202)",="(0.0197)",="(0.0217)",="(0.0196)",="",="(0.0198)",="(0.0197)",="(0.0195)",=""

="_dob_m2",="0.0128",="0.0129",="0.0192",="0",="",="0",="0",="0",=""
="",="(0.0251)",="(0.0250)",="(0.0273)",="(.)",="",="(.)",="(.)",="(.)",=""

="_dob_m3",="-0.00981",="-0.00997",="-0.00928",="-0.0284",="",="-0.0259",="-0.0260",="-0.0286",=""
="",="(0.0207)",="(0.0206)",="(0.0226)",="(0.0211)",="",="(0.0213)",="(0.0212)",="(0.0210)",=""

="_dob_m4",="0.00402",="0.00385",="0.00240",="-0.0180",="",="-0.0167",="-0.0166",="-0.0180",=""
="",="(0.0222)",="(0.0225)",="(0.0236)",="(0.0223)",="",="(0.0225)",="(0.0225)",="(0.0222)",=""

="_dob_m5",="-0.0127",="-0.0128",="-0.0208",="-0.0403**",="",="-0.0399**",="-0.0402**",="-0.0407**",=""
="",="(0.0204)",="(0.0201)",="(0.0214)",="(0.0194)",="",="(0.0196)",="(0.0196)",="(0.0193)",=""

