="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0158)",="(0.116)",="(0.161)",="(0.476)",="",="(0.143)",="(0.456)",="(0.131)",=""

="_yb24",="-0.00715",="-0.102",="-0.154",="-2.004***",="",="-0.0955",="-1.907***",="-0.102",=""
="",="(0.0176)",="(0.112)",="(0.156)",="(0.476)",="",="(0.137)",="(0.455)",="(0.126)",=""

="_yb25",="0.0301",="-0.0491",="-0.0976",="-1.944***",="",="-0.0331",="-1.845***",="-0.0417",=""
="",="(0.0297)",="(0.109)",="(0.152)",="(0.475)",="",="(0.131)",="(0.452)",="(0.122)",=""

="_yb26",="0.0188",="-0.0450",="-0.114",="-1.961***",="",="-0.0216",="-1.832***",="-0.0563",=""
="",="(0.0266)",="(0.106)",="(0.149)",="(0.477)",="",="(0.130)",="(0.457)",="(0.121)",=""

="_yb27",="-0.00414",="-0.0523",="-0.109",="-1.960***",="",="-0.0424",="-1.852***",="-0.0547",=""
="",="(0.0178)",="(0.0999)",="(0.139)",="(0.476)",="",="(0.119)",="(0.452)",="(0.112)",=""

="_yb28",="-0.0171",="-0.0516",="-0.0983",="-1.948***",="",="-0.0310",="-1.840***",="-0.0417",=""
="",="(0.0149)",="(0.0941)",="(0.131)",="(0.475)",="",="(0.112)",="(0.451)",="(0.105)",=""

="_yb29",="-0.00334",="-0.0233",="-0.0665",="-1.920***",="",="-0.000518",="-1.809***",="-0.0128",=""
="",="(0.0204)",="(0.0806)",="(0.112)",="(0.478)",="",="(0.0918)",="(0.452)",="(0.0863)",=""

="_yb30",="-0.000441",="-0.00754",="-0.0451",="-1.905***",="",="0.0165",="-1.791***",="0.00364",=""
="",="(0.0193)",="(0.0756)",="(0.104)",="(0.480)",="",="(0.0859)",="(0.453)",="(0.0814)",=""

="_yb31",="-0.0140",="-0.0109",="-0.0449",="-1.915***",="",="0.00405",="-1.801***",="-0.00397",=""
="",="(0.0160)",="(0.0668)",="(0.0905)",="(0.480)",="",="(0.0772)",="(0.452)",="(0.0731)",=""

="_yb32",="-0.00185",="0.00944",="-0.0149",="-1.916***",="",="0.00339",="-1.799***",="-0.00231",=""
="",="(0.0233)",="(0.0483)",="(0.0672)",="(0.483)",="",="(0.0662)",="(0.454)",="(0.0630)",=""

