="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="(0.0326)",="(0.234)",="(0.0989)",="(0.234)",="",="(0.239)",="(0.0924)",="(0.230)",=""

="_yb12",="0.0811**",="-0.358",="0.0843",="-0.381",="",="-0.425*",="0.0820",="-0.404*",=""
="",="(0.0402)",="(0.246)",="(0.0966)",="(0.242)",="",="(0.247)",="(0.0915)",="(0.237)",=""

="_yb13",="0.0643*",="-0.393",="0.0479",="-0.417*",="",="-0.463*",="0.0465",="-0.437*",=""
="",="(0.0357)",="(0.251)",="(0.0884)",="(0.250)",="",="(0.255)",="(0.0829)",="(0.245)",=""

="_yb14",="0.0663*",="-0.403",="0.0301",="-0.436*",="",="-0.479*",="0.0298",="-0.456*",=""
="",="(0.0371)",="(0.259)",="(0.0868)",="(0.258)",="",="(0.263)",="(0.0807)",="(0.252)",=""

="_yb15",="0.0485",="-0.429",="-0.00245",="-0.466*",="",="-0.510*",="0.000664",="-0.485*",=""
="",="(0.0334)",="(0.269)",="(0.0780)",="(0.269)",="",="(0.274)",="(0.0720)",="(0.263)",=""

="_yb16",="0.0579",="-0.425",="-0.00244",="-0.467*",="",="-0.509*",="0.00219",="-0.485*",=""
="",="(0.0372)",="(0.273)",="(0.0752)",="(0.273)",="",="(0.277)",="(0.0690)",="(0.265)",=""

="_yb17",="0.0373",="-0.447",="-0.0251",="-0.489*",="",="-0.529*",="-0.0181",="-0.506*",=""
="",="(0.0326)",="(0.276)",="(0.0720)",="(0.276)",="",="(0.280)",="(0.0649)",="(0.269)",=""

="_yb18",="0.0445",="-0.439",="-0.0207",="-0.482*",="",="-0.521*",="-0.0100",="-0.499*",=""
="",="(0.0332)",="(0.280)",="(0.0683)",="(0.279)",="",="(0.284)",="(0.0614)",="(0.272)",=""

="_yb19",="0.0486",="-0.432",="-0.0206",="-0.482*",="",="-0.517*",="-0.00536",="-0.498*",=""
="",="(0.0328)",="(0.280)",="(0.0674)",="(0.279)",="",="(0.284)",="(0.0596)",="(0.271)",=""

="_yb20",="0.0484",="-0.427",="-0.0181",="-0.478*",="",="-0.512*",="-0.000402",="-0.494*",=""
="",="(0.0332)",="(0.280)",="(0.0668)",="(0.280)",="",="(0.284)",="(0.0586)",="(0.272)",=""

="_yb21",="0.0327",="-0.436",="-0.0339",="-0.493*",="",="-0.524*",="-0.0114",="-0.508*",=""
="",="(0.0357)",="(0.280)",="(0.0652)",="(0.280)",="",="(0.284)",="(0.0570)",="(0.271)",=""

="_yb22",="0.0593*",="-0.402",="-0.0132",="-0.471*",="",="-0.495*",="0.0172",="-0.486*",=""
="",="(0.0340)",="(0.281)",="(0.0669)",="(0.282)",="",="(0.286)",="(0.0587)",="(0.273)",=""

="_yb23",="0.0208",="-0.431",="-0.0399",="-0.498*",="",="-0.523*",="-0.0109",="-0.512*",=""
="",="(0.0319)",="(0.279)",="(0.0658)",="(0.279)",="",="(0.283)",="(0.0572)",="(0.269)",=""

="_yb24",="0.0302",="-0.412",="-0.0207",="-0.479*",="",="-0.501*",="0.0115",="-0.492*",=""
="",="(0.0323)",="(0.278)",="(0.0667)",="(0.277)",="",="(0.282)",="(0.0587)",="(0.268)",=""

="_yb25",="0.0412",="-0.393",="-0.00388",="-0.460*",="",="-0.482*",="0.0319",="-0.473*",=""
="",="(0.0340)",="(0.276)",="(0.0676)",="(0.276)",="",="(0.280)",="(0.0602)",="(0.266)",=""

="_yb26",="0.0363",="-0.389",="-0.0110",="-0.469*",="",="-0.477*",="0.0367",="-0.482*",=""
="",="(0.0334)",="(0.276)",="(0.0692)",="(0.275)",="",="(0.280)",="(0.0629)",="(0.264)",=""

="_yb27",="0.0353",="-0.381",="-0.00822",="-0.467*",="",="-0.484*",="0.0298",="-0.479*",=""
="",="(0.0330)",="(0.273)",="(0.0679)",="(0.273)",="",="(0.277)",="(0.0613)",="(0.262)",=""

="_yb28",="0.0330",="-0.377",="-0.00165",="-0.461*",="",="-0.479*",="0.0356",="-0.473*",=""
="",="(0.0336)",="(0.273)",="(0.0676)",="(0.272)",="",="(0.276)",="(0.0622)",="(0.261)",=""

="_yb29",="0.0240",="-0.381",="0.00313",="-0.458*",="",="-0.473*",="0.0417",="-0.469*",=""
="",="(0.0327)",="(0.271)",="(0.0619)",="(0.270)",="",="(0.274)",="(0.0567)",="(0.259)",=""

="_yb30",="0.0258",="-0.374",="0.0104",="-0.453*",="",="-0.469*",="0.0459",="-0.464*",=""
="",="(0.0329)",="(0.271)",="(0.0584)",="(0.269)",="",="(0.273)",="(0.0540)",="(0.258)",=""

="_yb31",="0.0192",="-0.380",="0.00558",="-0.463*",="",="-0.481*",="0.0358",="-0.472*",=""
="",="(0.0321)",="(0.271)",="(0.0539)",="(0.268)",="",="(0.272)",="(0.0508)",="(0.256)",=""

="_yb32",="0.0234",="-0.377",="0.0138",="-0.468*",="",="-0.487*",="0.0310",="-0.476*",=""
="",="(0.0327)",="(0.272)",="(0.0440)",="(0.267)",="",="(0.272)",="(0.0450)",="(0.256)",=""

="_yb33",="0.0361",="-0.367",="0.00307",="-0.471*",="",="-0.492*",="0.0265",="-0.479*",=""
="",="(0.0383)",="(0.271)",="(0.0382)",="(0.268)",="",="(0.272)",="(0.0369)",="(0.256)",=""

="_yb34",="0.0129",="-0.397",="0.000484",="-0.479*",="",="-0.500*",="0.0198",="-0.485*",=""
="",="(0.0319)",="(0.275)",="(0.0283)",="(0.270)",="",="(0.274)",="(0.0290)",="(0.258)",=""

="_yb35",="0.0136",="-0.413",="-0.00865",="-0.489*",="",="-0.516*",="0.00140",="-0.500*",=""
