	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
	(22.61)	(21.91)	(21.21)	(6.275)	(6.248)	(6.038)	(55.52)	(53.62)	(57.02)	(36.30)	(35.56)	(34.93)	(5.612)	(5.554)	(5.688)	(4.334)	(4.232)	(4.287)	(0.868)	(0.866)	(0.861)	(15.75)	(15.33)	(14.87)	(0.839)	(0.902)	(0.927)	(55.09)	(56.06)	(56.62)	(5.847)	(6.388)	(6.683)	(0.659)	(0.707)	(0.714)	(0.538)	(0.589)	(0.591)	(0.0987)	(0.111)	(0.116)	(215.5)	(216.4)	(206.7)	(75.67)	(76.55)	(73.11)	(70.77)	(82.15)	(68.62)	(31.63)	(38.50)	(38.32)	(3.965)	(3.772)	(3.838)	(3.213)	(3.555)	(3.515)	(0.440)	(0.552)	(0.540)
_yb20	7.905	8.203	10.28	-13.77**	-13.96**	-12.93**	-4.331	2.070	-28.49	-36.91	-39.33	-38.07	-6.423	-5.954	-4.480	-7.549*	-7.334*	-6.599	-0.537	-0.549	-0.477	43.74***	42.74***	39.22***	0.974	0.930	1.088	-49.95	-47.14	-24.68	10.15**	9.693*	11.02*	-3.115***	-3.158***	-2.993***	1.574***	1.638***	1.573***	-0.0166	0.0192	0.0266	109.7	102.4	147.8	-112.4	-112.6	-111.4	-26.28	-86.61	-124.0*	101.2***	94.68**	75.33*	-5.002	-9.235**	-6.820*	-1.765	-3.729	-3.906	-0.393	-0.539	-0.790
	(22.81)	(22.14)	(21.47)	(6.362)	(6.338)	(6.136)	(54.53)	(52.67)	(55.76)	(36.80)	(36.05)	(35.45)	(5.683)	(5.625)	(5.767)	(4.393)	(4.290)	(4.351)	(0.880)	(0.878)	(0.873)	(15.53)	(15.08)	(14.65)	(0.728)	(0.799)	(0.805)	(56.05)	(57.11)	(57.54)	(5.050)	(5.484)	(5.745)	(0.558)	(0.615)	(0.613)	(0.461)	(0.518)	(0.510)	(0.0687)	(0.0839)	(0.0887)	(215.7)	(216.5)	(206.9)	(75.77)	(76.61)	(73.19)	(72.58)	(85.59)	(71.22)	(32.64)	(40.45)	(40.24)	(4.145)	(3.912)	(4.001)	(3.342)	(3.728)	(3.681)	(0.470)	(0.605)	(0.595)
_yb21	9.272	9.429	11.66	-13.83**	-14.05**	-12.96**	-4.388	1.632	-28.27	-33.11	-35.94	-34.53	-6.253	-5.776	-4.282	-7.632*	-7.389*	-6.656	-0.599	-0.608	-0.535	45.77***	44.48***	40.44***	1.697***	1.708**	1.610**	-46.44	-44.05	-24.42	12.05***	11.58**	11.92**	-2.886***	-2.948***	-2.718***	1.566***	1.646***	1.554***	0.0386	0.0837	0.0874	113.5	105.4	150.7	-111.2	-111.3	-110.6	-18.42	-79.39	-118.2*	104.9***	98.60**	77.70*	-5.201	-9.721**	-7.176*	-1.965	-4.145	-4.288	-0.266	-0.414	-0.656
	(22.89)	(22.25)	(21.59)	(6.395)	(6.372)	(6.172)	(54.14)	(52.14)	(55.39)	(36.99)	(36.22)	(35.65)	(5.719)	(5.658)	(5.796)	(4.419)	(4.314)	(4.369)	(0.890)	(0.888)	(0.881)	(15.43)	(14.91)	(14.46)	(0.628)	(0.747)	(0.766)	(57.01)	(58.25)	(58.53)	(4.159)	(4.825)	(5.180)	(0.462)	(0.539)	(0.544)	(0.394)	(0.470)	(0.471)	(0.0636)	(0.0802)	(0.0840)	(216.0)	(216.8)	(207.3)	(75.81)	(76.63)	(73.23)	(72.71)	(86.90)	(71.64)	(33.65)	(42.32)	(42.33)	(4.343)	(4.136)	(4.194)	(3.445)	(3.881)	(3.832)	(0.476)	(0.624)	(0.610)
_yb22	9.901	10.05	12.68	-13.24**	-13.46**	-12.22**	-3.331	2.162	-26.53	-35.88	-38.89	-36.89	-6.417	-5.900	-4.446	-7.484*	-7.243*	-6.510	-0.596	-0.609	-0.532	47.04***	45.96***	41.80***	1.957***	2.004***	1.987***	-45.03	-41.81	-22.07	10.11**	10.13**	10.41**	-2.597***	-2.656***	-2.519***	1.790***	1.831***	1.770***	0.0713	0.111	0.111	119.3	111.3	155.4	-111.3	-111.2	-110.5	-4.332	-66.93	-106.2	107.8***	102.1**	79.53*	-5.016	-9.912**	-7.274*	-1.633	-4.033	-4.192	-0.290	-0.446	-0.717
	(22.88)	(22.24)	(21.66)	(6.407)	(6.387)	(6.200)	(53.09)	(51.13)	(54.27)	(37.16)	(36.37)	(35.85)	(5.739)	(5.677)	(5.815)	(4.438)	(4.334)	(4.393)	(0.896)	(0.894)	(0.886)	(15.20)	(14.70)	(14.24)	(0.593)	(0.708)	(0.717)	(57.79)	(59.10)	(59.10)	(3.962)	(4.490)	(4.943)	(0.464)	(0.539)	(0.549)	(0.402)	(0.474)	(0.472)	(0.0635)	(0.0765)	(0.0808)	(216.6)	(217.4)	(207.9)	(76.13)	(76.94)	(73.52)	(72.39)	(87.73)	(72.66)	(32.93)	(42.53)	(42.83)	(4.479)	(4.213)	(4.292)	(3.449)	(3.909)	(3.872)	(0.485)	(0.662)	(0.649)
_yb23	8.530	8.574	11.29	-12.33*	-12.56**	-11.25*	-0.414	4.861	-23.16	-30.79	-34.05	-32.07	-6.227	-5.717	-4.255	-7.585*	-7.342*	-6.579	-0.651	-0.665	-0.580	44.29***	43.26***	39.72***	1.335*	1.552*	1.520*	-58.55	-55.09	-35.08	10.30**	10.75**	11.10**	-2.300***	-2.426***	-2.272***	1.762***	1.769***	1.686***	0.0211	0.0672	0.0674	120.7	113.1	159.0	-112.5	-112.4	-111.8	-22.37	-87.18	-120.9*	102.9***	97.08**	75.02*	-4.512	-9.664**	-6.914	-1.330	-3.848	-3.961	-0.406	-0.581	-0.852
	(22.84)	(22.22)	(21.70)	(6.407)	(6.389)	(6.211)	(52.10)	(50.14)	(53.16)	(37.17)	(36.40)	(35.91)	(5.740)	(5.677)	(5.819)	(4.440)	(4.335)	(4.399)	(0.897)	(0.895)	(0.888)	(15.03)	(14.49)	(14.06)	(0.701)	(0.827)	(0.833)	(58.16)	(59.60)	(59.33)	(4.485)	(4.841)	(5.036)	(0.519)	(0.580)	(0.572)	(0.465)	(0.525)	(0.512)	(0.0752)	(0.0873)	(0.0876)	(217.1)	(217.8)	(208.4)	(76.25)	(77.04)	(73.65)	(71.94)	(88.63)	(73.29)	(33.57)	(43.57)	(43.89)	(4.597)	(4.365)	(4.421)	(3.499)	(3.996)	(3.949)	(0.489)	(0.672)	(0.660)
_yb24	10.03	9.973	13.26	-11.90*	-12.12*	-10.68*	-3.438	1.784	-25.27	-33.42	-36.75	-34.33	-5.910	-5.437	-4.062	-7.582*	-7.369*	-6.639	-0.648	-0.666	-0.582	45.54***	44.63***	41.58***	1.761**	1.962**	1.969**	-53.73	-50.03	-28.79	8.525	9.067	9.992*	-2.508***	-2.627***	-2.519***	1.625***	1.629***	1.545***	-0.000516	0.0441	0.0484	122.8	115.3	162.5	-113.3	-113.0	-112.3	-29.77	-93.14	-119.3	100.2***	95.31**	73.50	-4.639	-10.07**	-7.218	-1.811	-4.543	-4.647	-0.502	-0.670	-0.943
	(22.77)	(22.17)	(21.64)	(6.394)	(6.376)	(6.192)	(52.18)	(50.15)	(53.25)	(37.12)	(36.33)	(35.81)	(5.725)	(5.661)	(5.791)	(4.426)	(4.324)	(4.376)	(0.897)	(0.895)	(0.886)	(14.96)	(14.39)	(13.95)	(0.881)	(0.981)	(0.967)	(58.24)	(59.72)	(59.22)	(5.480)	(5.712)	(5.710)	(0.647)	(0.682)	(0.677)	(0.555)	(0.592)	(0.584)	(0.0878)	(0.0940)	(0.0921)	(217.9)	(218.6)	(209.2)	(76.51)	(77.27)	(73.90)	(72.12)	(90.43)	(74.37)	(33.25)	(44.23)	(44.75)	(4.727)	(4.513)	(4.567)	(3.525)	(4.063)	(4.014)	(0.507)	(0.709)	(0.695)
_yb25	8.993	8.816	12.34	-11.45*	-11.69*	-10.07	3.946	7.962	-17.16	-33.21	-37.21	-33.95	-5.665	-5.159	-3.777	-7.433*	-7.220*	-6.485	-0.735	-0.759	-0.669	43.69***	42.42***	38.47***	1.849*	1.973*	1.811*	-50.64	-47.60	-28.41	9.894	9.847	9.539	-2.105***	-2.211***	-2.085***	2.149***	2.195***	2.143***	-0.0289	0.0201	0.0150	116.6	109.3	156.5	-114.5	-114.1	-113.6	-40.59	-106.8	-131.8*	88.50***	83.73*	62.33	-4.207	-9.834**	-6.994	-1.186	-3.944	-4.048	-0.494	-0.682	-0.981
	(22.71)	(22.14)	(21.70)	(6.381)	(6.368)	(6.199)	(50.36)	(48.42)	(51.41)	(36.90)	(36.14)	(35.70)	(5.704)	(5.643)	(5.778)	(4.409)	(4.307)	(4.369)	(0.896)	(0.894)	(0.887)	(14.90)	(14.24)	(13.80)	(1.018)	(1.076)	(1.082)	(58.30)	(59.80)	(58.94)	(6.616)	(6.813)	(6.935)	(0.745)	(0.766)	(0.771)	(0.621)	(0.645)	(0.648)	(0.0967)	(0.107)	(0.107)	(218.9)	(219.6)	(210.2)	(76.73)	(77.48)	(74.02)	(71.02)	(90.27)	(74.84)	(33.06)	(44.68)	(45.44)	(4.846)	(4.617)	(4.668)	(3.557)	(4.115)	(4.070)	(0.513)	(0.725)	(0.717)
_yb26	8.895	8.459	12.08	-10.29	-10.54*	-8.787	-4.044	-0.283	-24.99	-31.80	-36.27	-32.87	-5.795	-5.270	-3.918	-7.500*	-7.271*	-6.532	-0.740	-0.765	-0.667	41.85***	40.63***	36.74***	2.879**	3.061**	3.083**	-58.19	-55.57	-33.85	10.21	10.33	10.82	-2.072**	-2.207**	-2.129**	1.685**	1.719**	1.675**	-0.0613	-0.00903	-0.0168	120.0	113.1	158.9	-114.4	-114.0	-114.0	-28.40	-94.97	-124.0	92.69***	88.02*	64.87	-3.756	-9.539**	-6.646	-1.809	-4.652	-4.633	-0.605	-0.801	-1.090
	(22.74)	(22.18)	(21.72)	(6.352)	(6.338)	(6.196)	(49.28)	(47.39)	(50.33)	(36.83)	(36.03)	(35.74)	(5.682)	(5.621)	(5.759)	(4.394)	(4.296)	(4.366)	(0.893)	(0.891)	(0.883)	(14.73)	(14.03)	(13.52)	(1.246)	(1.295)	(1.271)	(58.51)	(60.08)	(59.18)	(7.793)	(7.890)	(7.767)	(0.901)	(0.923)	(0.914)	(0.725)	(0.757)	(0.751)	(0.141)	(0.144)	(0.140)	(218.9)	(219.7)	(210.4)	(76.83)	(77.57)	(74.11)	(71.10)	(91.22)	(75.65)	(33.09)	(45.15)	(45.97)	(4.942)	(4.727)	(4.746)	(3.569)	(4.148)	(4.105)	(0.525)	(0.744)	(0.734)
_yb27	7.061	6.777	10.66	-11.16*	-11.40*	-9.577	1.993	5.754	-18.21	-33.30	-37.54	-34.06	-5.250	-4.748	-3.399	-6.822	-6.630	-5.889	-0.862	-0.890	-0.792	43.80***	42.37***	39.16***	2.461*	2.620*	2.630*	-58.31	-56.71	-35.18	7.993	8.143	8.489	-1.882*	-2.032*	-1.957*	2.042**	2.028**	1.980**	-0.169	-0.122	-0.129	122.4	115.7	161.8	-114.0	-113.5	-114.1	-36.13	-105.2	-133.1*	91.27***	86.41*	61.93	-4.697	-10.70**	-7.829	-1.256	-4.172	-4.128	-0.570	-0.786	-1.089
	(22.69)	(22.13)	(21.78)	(6.346)	(6.333)	(6.191)	(47.82)	(45.98)	(48.93)	(36.77)	(36.00)	(35.71)	(5.662)	(5.603)	(5.737)	(4.395)	(4.298)	(4.366)	(0.892)	(0.889)	(0.882)	(14.43)	(13.72)	(13.25)	(1.432)	(1.474)	(1.433)	(58.84)	(60.46)	(59.22)	(9.308)	(9.308)	(9.088)	(1.073)	(1.081)	(1.077)	(0.878)	(0.896)	(0.890)	(0.151)	(0.152)	(0.148)	(219.5)	(220.2)	(210.9)	(76.85)	(77.56)	(74.07)	(72.02)	(93.07)	(77.50)	(33.73)	(46.08)	(46.97)	(5.036)	(4.846)	(4.851)	(3.651)	(4.255)	(4.187)	(0.553)	(0.772)	(0.758)
_yb28	3.956	3.645	8.244	-10.22	-10.45*	-8.383	1.875	5.700	-15.65	-36.86	-41.22	-36.68	-5.633	-5.112	-3.685	-7.046	-6.840	-6.067	-0.914	-0.944	-0.835	39.69***	38.46***	35.22***	2.843*	3.016*	2.964*	-63.47	-61.92	-41.19	8.392	8.669	8.933	-2.154*	-2.312*	-2.247*	1.774*	1.741*	1.684*	-0.224	-0.178	-0.185	125.9	119.5	166.2	-112.9	-112.3	-113.0	-8.227	-76.89	-102.5	96.23***	91.83**	67.96	-4.912	-10.99**	-8.037	-2.420	-5.349	-5.351	-0.604	-0.829	-1.127
	(22.82)	(22.25)	(21.81)	(6.346)	(6.334)	(6.200)	(46.66)	(44.83)	(47.48)	(36.65)	(35.90)	(35.60)	(5.639)	(5.580)	(5.708)	(4.379)	(4.285)	(4.346)	(0.890)	(0.887)	(0.878)	(14.08)	(13.35)	(12.85)	(1.658)	(1.686)	(1.660)	(59.30)	(60.93)	(59.52)	(10.57)	(10.51)	(10.24)	(1.232)	(1.235)	(1.225)	(1.008)	(1.020)	(1.005)	(0.179)	(0.178)	(0.174)	(219.6)	(220.3)	(211.1)	(76.95)	(77.66)	(74.14)	(73.00)	(94.76)	(79.51)	(33.63)	(46.34)	(47.42)	(5.174)	(4.978)	(4.999)	(3.645)	(4.246)	(4.187)	(0.566)	(0.790)	(0.779)
_yb29	2.300	1.827	6.399	-10.36	-10.59*	-8.453	0.343	3.230	-17.60	-34.04	-38.95	-34.00	-4.879	-4.364	-2.987	-6.634	-6.470	-5.720	-0.937	-0.978	-0.873	38.88***	37.60***	33.70***	3.605**	3.750**	3.721**	-55.18	-54.11	-33.06	12.85	13.08	12.76	-1.925	-2.072	-2.000	2.085*	2.062*	2.036*	-0.223	-0.172	-0.191	124.8	118.7	163.9	-113.7	-113.0	-114.1	-29.79	-98.80	-124.4	93.26***	89.10*	63.15	-4.344	-10.50**	-7.385	-2.655	-5.572	-5.491	-0.597	-0.835	-1.186
	(22.89)	(22.34)	(22.03)	(6.371)	(6.358)	(6.228)	(44.58)	(42.94)	(45.72)	(36.83)	(36.06)	(35.76)	(5.632)	(5.579)	(5.714)	(4.382)	(4.292)	(4.369)	(0.889)	(0.886)	(0.881)	(13.64)	(12.92)	(12.39)	(1.818)	(1.832)	(1.792)	(59.89)	(61.47)	(59.77)	(11.59)	(11.53)	(11.21)	(1.349)	(1.345)	(1.339)	(1.095)	(1.102)	(1.098)	(0.198)	(0.197)	(0.194)	(219.6)	(220.3)	(211.1)	(76.82)	(77.51)	(73.96)	(74.18)	(95.76)	(80.82)	(34.65)	(47.29)	(48.29)	(5.279)	(5.129)	(5.095)	(3.732)	(4.346)	(4.290)	(0.596)	(0.813)	(0.801)
_yb30	-1.243	-1.857	3.509	-10.39	-10.65*	-8.268	-8.259	-6.295	-24.18	-35.92	-41.16	-34.90	-4.625	-4.033	-2.660	-6.101	-5.899	-5.153	-1.071	-1.110	-1.000	36.13***	35.18***	31.98***	3.537*	3.672*	3.748*	-65.72	-64.19	-42.64	7.900	8.031	8.144	-2.668*	-2.813*	-2.740*	1.790	1.780	1.777	-0.317	-0.267	-0.286	125.4	119.4	165.3	-112.0	-111.1	-112.3	-23.54	-91.67	-115.6	99.84***	97.80**	71.86	-4.647	-10.89**	-7.778	-2.456	-5.370	-5.299	-0.692	-0.934	-1.281
	(23.20)	(22.65)	(22.35)	(6.417)	(6.404)	(6.274)	(41.84)	(40.31)	(43.07)	(37.03)	(36.27)	(35.95)	(5.647)	(5.599)	(5.735)	(4.401)	(4.314)	(4.395)	(0.890)	(0.887)	(0.882)	(12.72)	(12.03)	(11.55)	(2.077)	(2.080)	(2.036)	(60.95)	(62.43)	(60.68)	(12.98)	(12.91)	(12.52)	(1.514)	(1.498)	(1.489)	(1.231)	(1.239)	(1.225)	(0.224)	(0.221)	(0.217)	(219.0)	(219.7)	(210.6)	(76.74)	(77.43)	(73.89)	(75.58)	(97.19)	(82.16)	(34.54)	(47.40)	(48.67)	(5.366)	(5.208)	(5.193)	(3.755)	(4.362)	(4.309)	(0.626)	(0.839)	(0.830)
_yb31	-5.035	-5.681	0.478	-10.69	-10.92*	-8.283	-11.15	-8.880	-23.58	-36.57	-41.70	-33.99	-3.969	-3.411	-1.985	-5.612	-5.448	-4.679	-1.112	-1.155	-1.044	31.39***	30.49***	27.74***	3.165	3.292	3.548	-68.96	-67.46	-44.15	7.641	8.034	8.697	-2.582	-2.719*	-2.558	1.696	1.651	1.585	-0.385	-0.339	-0.368	126.1	120.1	166.6	-112.0	-111.1	-112.5	-37.26	-104.7	-127.9	100.4***	97.78**	71.86	-5.356	-11.59**	-8.169	-2.686	-5.620	-5.403	-0.735	-0.965	-1.324
	(23.74)	(23.15)	(22.77)	(6.502)	(6.485)	(6.362)	(39.71)	(38.35)	(40.80)	(37.39)	(36.65)	(36.26)	(5.682)	(5.639)	(5.776)	(4.432)	(4.350)	(4.433)	(0.892)	(0.889)	(0.885)	(11.50)	(10.88)	(10.49)	(2.259)	(2.256)	(2.204)	(62.33)	(63.71)	(61.96)	(14.25)	(14.16)	(13.81)	(1.667)	(1.652)	(1.644)	(1.345)	(1.348)	(1.333)	(0.241)	(0.236)	(0.231)	(217.9)	(218.6)	(209.6)	(76.30)	(76.97)	(73.42)	(78.99)	(99.86)	(85.39)	(35.81)	(48.39)	(49.78)	(5.526)	(5.376)	(5.333)	(3.868)	(4.472)	(4.424)	(0.678)	(0.883)	(0.865)
_yb32	-6.960	-7.727	-0.985	-10.20	-10.45	-7.527	-8.790	-6.982	-18.13	-36.28	-41.58	-32.14	-3.471	-2.901	-1.381	-5.535	-5.379	-4.578	-1.263	-1.308	-1.198	29.83***	29.11***	26.63***	3.383	3.457	3.774	-63.60	-62.53	-37.96	8.073	8.429	9.873	-3.221*	-3.331*	-3.172*	1.816	1.786	1.651	-0.554**	-0.508**	-0.531**	126.3	120.7	166.7	-110.8	-109.9	-111.4	-32.72	-100.7	-124.4	105.8***	103.4**	77.49	-5.183	-11.40**	-7.965	-2.786	-5.629	-5.499	-0.870	-1.111	-1.485
	(24.26)	(23.66)	(23.37)	(6.648)	(6.625)	(6.525)	(35.51)	(34.42)	(36.39)	(37.89)	(37.12)	(36.88)	(5.750)	(5.710)	(5.865)	(4.505)	(4.425)	(4.536)	(0.898)	(0.894)	(0.895)	(10.45)	(9.902)	(9.495)	(2.511)	(2.529)	(2.476)	(64.61)	(65.96)	(64.14)	(15.10)	(15.00)	(14.69)	(1.779)	(1.769)	(1.763)	(1.446)	(1.456)	(1.438)	(0.264)	(0.258)	(0.256)	(216.3)	(217.0)	(208.2)	(75.84)	(76.49)	(72.88)	(85.01)	(104.9)	(90.94)	(38.01)	(49.95)	(51.18)	(5.723)	(5.583)	(5.518)	(4.033)	(4.624)	(4.569)	(0.753)	(0.936)	(0.926)
_yb33	-11.70	-12.48	-5.375	-11.69*	-11.98*	-8.809	-19.13	-18.75	-28.62	-42.84	-48.32	-37.89	-3.248	-2.553	-1.034	-5.180	-4.991	-4.180	-1.289	-1.328	-1.217	26.49***	25.75***	23.37***	2.421	2.552	3.000	-73.89	-73.91	-49.41	7.420	7.943	9.215	-3.663*	-3.790*	-3.663*	1.820	1.757	1.678	-0.460*	-0.403	-0.445*	124.0	118.9	163.8	-110.3	-109.3	-111.4	-54.74	-124.5	-156.3	117.1***	114.6**	85.70	-7.017	-13.34**	-10.09*	-3.685	-6.508	-6.314	-0.669	-0.934	-1.339
	(25.10)	(24.44)	(24.10)	(6.774)	(6.750)	(6.641)	(31.80)	(31.09)	(32.85)	(38.35)	(37.66)	(37.33)	(5.850)	(5.819)	(5.979)	(4.591)	(4.516)	(4.634)	(0.909)	(0.905)	(0.910)	(9.198)	(8.747)	(8.323)	(2.691)	(2.706)	(2.635)	(67.34)	(68.36)	(66.79)	(16.04)	(15.92)	(15.69)	(1.971)	(1.970)	(1.978)	(1.616)	(1.635)	(1.619)	(0.273)	(0.270)	(0.267)	(215.1)	(215.7)	(206.6)	(75.12)	(75.75)	(72.10)	(91.05)	(110.0)	(96.43)	(39.87)	(51.43)	(52.49)	(5.944)	(5.835)	(5.726)	(4.286)	(4.878)	(4.801)	(0.787)	(0.961)	(0.953)
_yb34	-17.64	-18.09	-10.10	-10.96	-11.28	-7.716	-21.20	-21.66	-27.61	-44.77	-50.23	-37.68	-2.883	-2.118	-0.515	-4.893	-4.703	-3.837	-1.341	-1.381	-1.264	20.66***	19.87***	18.42***	4.788	4.734	5.475*	-88.16	-89.13	-62.66	12.86	13.16	16.33	-3.902*	-3.923*	-3.791*	2.563	2.533	2.489	-0.663**	-0.600**	-0.644**	123.0	117.5	162.8	-106.0	-105.0	-106.6	-54.30	-124.0	-155.1	141.6***	140.1***	111.4**	-7.474	-13.64**	-10.32*	-3.145	-5.801	-5.689	-0.899	-1.141	-1.594
	(26.80)	(25.99)	(25.43)	(7.052)	(7.018)	(6.942)	(26.69)	(26.48)	(28.04)	(39.88)	(39.10)	(38.94)	(6.021)	(6.015)	(6.198)	(4.736)	(4.674)	(4.838)	(0.929)	(0.924)	(0.939)	(7.057)	(6.876)	(6.848)	(3.037)	(3.042)	(2.980)	(72.67)	(73.17)	(71.64)	(18.35)	(18.46)	(18.01)	(2.220)	(2.237)	(2.253)	(1.854)	(1.906)	(1.888)	(0.303)	(0.297)	(0.295)	(212.9)	(213.6)	(204.9)	(73.91)	(74.52)	(70.99)	(101.0)	(118.1)	(104.1)	(42.77)	(53.62)	(54.80)	(6.229)	(6.090)	(6.012)	(4.515)	(5.071)	(5.020)	(0.912)	(1.058)	(1.050)
_yb35	-27.07	-27.93	-18.91	-13.12*	-13.46*	-9.343	-22.67	-24.07	-25.25	-50.23	-56.40	-40.83	-3.455	-2.744	-1.078	-5.018	-4.852	-3.975	-1.529	-1.573*	-1.474	14.25***	13.95**	13.31**	2.585	2.681	3.869	-71.84	-73.91	-42.83	5.883	6.714	11.60	-6.758***	-6.856***	-6.757***	1.160	1.083	0.807	-0.874**	-0.815**	-0.879**	121.7	117.0	161.3	-105.9	-104.9	-107.7	-65.61	-137.5	-177.0	154.0***	151.6***	119.7**	-12.43*	-18.56***	-15.25**	-6.342	-8.845	-8.743	-0.935	-1.213	-1.668
	(27.34)	(26.55)	(26.19)	(7.487)	(7.444)	(7.334)	(23.37)	(23.34)	(24.39)	(41.95)	(41.24)	(40.81)	(6.259)	(6.268)	(6.469)	(4.890)	(4.830)	(5.021)	(0.955)	(0.951)	(0.972)	(5.503)	(5.430)	(5.233)	(3.926)	(3.932)	(3.735)	(75.54)	(76.29)	(74.98)	(21.39)	(21.40)	(21.17)	(2.446)	(2.469)	(2.494)	(2.030)	(2.073)	(2.057)	(0.344)	(0.337)	(0.342)	(206.3)	(206.9)	(198.3)	(72.51)	(73.11)	(69.52)	(114.0)	(130.0)	(116.5)	(48.10)	(58.11)	(59.15)	(6.652)	(6.563)	(6.430)	(5.038)	(5.602)	(5.512)	(1.046)	(1.166)	(1.149)
_yb36	-31.30	-32.65	-24.43	-13.32*	-13.70*	-10.02	-27.94	-29.34	-35.44	-66.28	-73.18	-61.28	-1.746	-0.949	0.773	-3.009	-2.757	-1.815	-1.548	-1.586	-1.443																						112.1	107.6	151.6																		
	(29.63)	(28.84)	(28.36)	(7.874)	(7.824)	(7.807)	(22.05)	(22.56)	(23.46)	(46.21)	(45.48)	(44.79)	(6.508)	(6.514)	(6.764)	(5.166)	(5.098)	(5.342)	(0.995)	(0.990)	(1.018)																						(203.9)	(204.5)	(196.3)																		
_yb37	-17.55	-18.48	-9.519	-14.26*	-14.53*	-10.24				-50.24	-56.08	-39.39	-2.514	-1.667	0.260	-4.752	-4.519	-3.461	-1.659	-1.706*	-1.577	29.68***	30.34***	29.61***	5.668	5.668	7.270*	-13.84	-10.98	19.14	17.59	18.41	25.56	-6.072**	-6.056**	-6.062**	1.406	1.376	1.155	-1.069**	-1.031**	-1.092***																					
	(30.21)	(29.31)	(28.86)	(8.169)	(8.120)	(8.099)				(44.38)	(43.57)	(43.26)	(6.736)	(6.738)	(6.977)	(5.290)	(5.226)	(5.462)	(1.015)	(1.010)	(1.041)	(4.082)	(4.206)	(4.115)	(4.393)	(4.394)	(4.253)	(83.69)	(83.78)	(82.89)	(24.14)	(24.20)	(24.14)	(2.915)	(2.926)	(2.956)	(2.447)	(2.476)	(2.463)	(0.416)	(0.408)	(0.416)																					
_yb_pre1955	9.719	9.866	11.81	-11.92*	-12.08*	-11.01*	-16.28	-13.01	-45.15	-48.30	-52.51	-52.31	-4.422	-3.714	-2.502	-6.651	-6.452	-5.811	-0.689	-0.737	-0.661	45.28***	45.36***	42.44***				-84.77	-75.53	-53.70																						1,048***	1,033***	934.2***									
	(22.83)	(22.20)	(21.74)	(6.487)	(6.465)	(6.281)	(51.80)	(49.89)	(53.01)	(37.28)	(36.47)	(36.00)	(5.761)	(5.703)	(5.842)	(4.562)	(4.449)	(4.507)	(0.899)	(0.896)	(0.889)	(15.06)	(14.83)	(14.35)				(58.40)	(59.47)	(59.65)																						(346.0)	(343.8)	(336.9)									
_dob_m1	-0.117	-0.405	-3.710*	0.738	0.678	0.931	-1.086	-1.511	-0.0969	3.741	2.826	4.230	0.292	0.366	0.370	0.0612	0.0992	0.102	-0.0201	-0.0197	-0.0175	-1.354	-1.699	-1.787	-0.328	-0.327	-0.431	-1.785	-1.632	-2.437	-1.903	-1.909	-2.487	-0.583	-0.572	-0.633	-0.320	-0.309	-0.349	0.0406	0.0484	0.0388	-4.914	-6.054*	-8.147***	-1.921	-2.008	-2.045	-14.96	-18.05	-15.12	-1.611	-2.575	-2.208	0.126	-0.404	-0.238	0.202	-0.635	-0.687	-0.00337	0.114	0.113
