	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	0.126	-0.133	0.112	-0.310	-0.324	-0.245	-0.477	-0.771	-0.000455	-6.849	-6.957	-6.916	-0.334	-0.338	-0.374	-0.608*	-0.621**	-0.659**	0.0753	0.0718	0.0774	-1.263	-1.347	-0.626	-0.985*	-1.036*	-0.843	-3.535	-3.901	-2.327	4.504	4.053	5.223	-0.524	-0.556	-0.641	-0.427	-0.461	-0.499	0.0344	0.0372	0.0470	-2.575	-2.558	-2.743	-0.0714	-0.0131	-0.0874	-17.43**	-17.09*	-17.39**	-5.553	-5.537	-4.436	0.966***	0.951***	0.800**	0.608	0.567	0.530	-0.0899***	-0.0860**	-0.105***
	(1.398)	(1.409)	(1.511)	(0.520)	(0.521)	(0.524)	(4.468)	(4.389)	(4.516)	(5.006)	(5.030)	(5.180)	(0.332)	(0.333)	(0.348)	(0.316)	(0.311)	(0.319)	(0.0657)	(0.0649)	(0.0679)	(2.359)	(2.363)	(2.532)	(0.595)	(0.601)	(0.663)	(7.374)	(7.393)	(7.220)	(4.461)	(4.792)	(5.597)	(0.540)	(0.546)	(0.575)	(0.540)	(0.547)	(0.557)	(0.110)	(0.113)	(0.114)	(2.276)	(2.374)	(2.198)	(0.451)	(0.457)	(0.419)	(8.884)	(8.874)	(7.926)	(6.561)	(7.039)	(7.129)	(0.333)	(0.330)	(0.328)	(0.407)	(0.381)	(0.369)	(0.0339)	(0.0338)	(0.0303)
motherage	-10.83*	-11.17*	-9.652*	-2.679*	-2.768*	-2.237	-21.23	-22.76	-15.47	-4.760	-5.302	-2.748	0.726	0.678	0.759	1.281	1.273	1.164	-0.234	-0.241	-0.218	-18.27**	-19.38**	-17.36**	-0.391	-0.734	-0.0647	-22.02	-26.80	-19.45	14.99	13.04	16.79	-2.902*	-2.905*	-3.030**	1.305	1.335	1.145	-0.229	-0.228	-0.231	-18.75	-20.80*	-24.59**	-0.200	-0.308	1.042	-51.89	-60.88	-67.12	-3.897	-3.523	31.43	0.923	0.893	-1.569	0.610	0.613	-0.134	0.0902	0.0849	-0.370
	(6.201)	(6.017)	(5.772)	(1.526)	(1.525)	(1.500)	(16.39)	(16.26)	(16.22)	(8.749)	(8.823)	(8.778)	(1.076)	(1.074)	(1.076)	(0.967)	(0.971)	(0.971)	(0.162)	(0.160)	(0.159)	(8.908)	(8.722)	(8.195)	(2.539)	(2.524)	(2.394)	(24.66)	(24.48)	(23.80)	(13.44)	(13.45)	(13.08)	(1.526)	(1.537)	(1.542)	(1.348)	(1.362)	(1.372)	(0.240)	(0.239)	(0.243)	(11.85)	(11.75)	(11.63)	(8.388)	(7.438)	(4.235)	(44.40)	(44.31)	(43.76)	(48.56)	(44.00)	(26.04)	(5.951)	(6.612)	(2.793)	(5.049)	(5.589)	(2.285)	(0.868)	(0.965)	(0.505)
motheragesq	0.336	0.347*	0.292	0.0940*	0.0974*	0.0774	0.704	0.761	0.482	0.125	0.140	0.0368	-0.0260	-0.0247	-0.0284	-0.0457	-0.0459	-0.0423	0.00681	0.00696	0.00611	0.603*	0.640**	0.557*	0.0161	0.0276	0.00401	0.702	0.868	0.589	-0.548	-0.481	-0.635	0.0948*	0.0951*	0.0998*	-0.0589	-0.0599	-0.0521	0.00624	0.00621	0.00614	0.668	0.742*	0.886**	0.0454	0.0537	-0.00245	1.957	2.321	2.529	0.304	0.320	-0.970	-0.0406	-0.0388	0.0528	-0.0259	-0.0266	0.00104	-0.00679	-0.00661	0.00958
	(0.212)	(0.206)	(0.198)	(0.0537)	(0.0537)	(0.0527)	(0.576)	(0.572)	(0.567)	(0.315)	(0.318)	(0.315)	(0.0391)	(0.0390)	(0.0390)	(0.0348)	(0.0348)	(0.0348)	(0.00576)	(0.00571)	(0.00569)	(0.311)	(0.305)	(0.285)	(0.0880)	(0.0873)	(0.0829)	(0.862)	(0.856)	(0.830)	(0.471)	(0.472)	(0.459)	(0.0535)	(0.0539)	(0.0542)	(0.0466)	(0.0470)	(0.0476)	(0.00828)	(0.00825)	(0.00842)	(0.442)	(0.438)	(0.434)	(0.857)	(0.898)	(0.154)	(1.646)	(1.646)	(1.620)	(5.468)	(5.770)	(0.971)	(0.652)	(0.635)	(0.104)	(0.520)	(0.503)	(0.0845)	(0.0837)	(0.0814)	(0.0180)
motheragecub	-0.00340	-0.00350	-0.00284	-0.00103*	-0.00107*	-0.000825	-0.00719	-0.00785	-0.00439	-0.000894	-0.00104	0.000287	0.000253	0.000243	0.000292	0.000493	0.000498	0.000457	-6.59e-05	-6.67e-05	-5.67e-05	-0.00641*	-0.00681**	-0.00576*	-0.000215	-0.000335	-6.68e-05	-0.00700	-0.00879	-0.00544	0.00634	0.00563	0.00757	-0.00101*	-0.00102*	-0.00108*	0.000776	0.000786	0.000686	-5.54e-05	-5.53e-05	-5.29e-05	-0.00731	-0.00816	-0.00986*	-0.000880	-0.00102	-0.000284	-0.0227	-0.0273	-0.0294	-0.00478	-0.00539	0.00992	0.000478	0.000454	-0.000644	0.000293	0.000309	-2.68e-05	0.000108	0.000107	-8.06e-05
	(0.00231)	(0.00225)	(0.00216)	(0.000600)	(0.000600)	(0.000589)	(0.00640)	(0.00636)	(0.00629)	(0.00356)	(0.00360)	(0.00355)	(0.000446)	(0.000445)	(0.000446)	(0.000394)	(0.000394)	(0.000393)	(6.43e-05)	(6.39e-05)	(6.37e-05)	(0.00344)	(0.00338)	(0.00315)	(0.000978)	(0.000968)	(0.000921)	(0.00963)	(0.00957)	(0.00927)	(0.00524)	(0.00524)	(0.00511)	(0.000600)	(0.000604)	(0.000607)	(0.000513)	(0.000518)	(0.000528)	(9.14e-05)	(9.11e-05)	(9.31e-05)	(0.00533)	(0.00528)	(0.00525)	(0.00104)	(0.00140)	(0.00182)	(0.0198)	(0.0198)	(0.0195)	(0.00645)	(0.00839)	(0.0116)	(0.000742)	(0.000476)	(0.00125)	(0.000633)	(0.000408)	(0.00102)	(0.000116)	(8.49e-05)	(0.000208)
agefirstbirth	0.324***	0.278***	0.157*	0.0585*	0.0472	0.0123	1.152***	1.008***	0.575**	0.0568	0.00622	-0.209	-0.0346*	-0.0366*	-0.0386*	-0.0454**	-0.0448**	-0.0402**	0.00459	0.00468	0.00373	0.359***	0.315**	0.126	0.0498	0.0367	-0.00512	1.392***	1.147***	0.582*	0.789***	0.666***	0.381	-0.0457	-0.0445	-0.0457*	-0.0475*	-0.0451	-0.0396	0.00154	0.00212	0.000287	0.190	0.168	-0.0679	0.0865***	0.0755**	0.0187	0.600	0.423	-0.279	0.263	0.217	0.0169	0.0175	0.0178	0.00998	-0.0143	-0.00854	-0.00601	-0.00460	-0.00506*	-0.00679**
	(0.0912)	(0.0916)	(0.0903)	(0.0317)	(0.0317)	(0.0293)	(0.286)	(0.283)	(0.269)	(0.294)	(0.295)	(0.275)	(0.0209)	(0.0211)	(0.0202)	(0.0197)	(0.0196)	(0.0183)	(0.00405)	(0.00402)	(0.00386)	(0.133)	(0.131)	(0.123)	(0.0330)	(0.0323)	(0.0306)	(0.402)	(0.390)	(0.333)	(0.243)	(0.254)	(0.251)	(0.0287)	(0.0280)	(0.0254)	(0.0284)	(0.0276)	(0.0242)	(0.00571)	(0.00559)	(0.00479)	(0.146)	(0.147)	(0.133)	(0.0307)	(0.0310)	(0.0298)	(0.521)	(0.509)	(0.446)	(0.364)	(0.376)	(0.357)	(0.0232)	(0.0231)	(0.0223)	(0.0244)	(0.0236)	(0.0222)	(0.00287)	(0.00307)	(0.00281)
miss_motherage	-116.9*	-119.7**	-104.5*	-26.29*	-27.16*	-21.14	-215.4	-228.8	-150.0	-48.74	-54.85	-29.11	4.111	3.493	4.252	11.16	11.00	9.777	-2.541*	-2.610*	-2.419*	-180.0**	-192.7**	-175.5**	-6.266	-9.677	-3.167	-230.8	-279.3	-211.8	131.1	111.4	143.8	-29.23**	-29.20**	-30.19**	8.964	9.316	7.863	-2.675	-2.659	-2.724							-364.0	-437.5	-490.5												
	(59.98)	(58.01)	(55.42)	(14.23)	(14.21)	(14.03)	(153.2)	(151.8)	(152.5)	(78.98)	(79.73)	(80.40)	(9.637)	(9.603)	(9.642)	(8.797)	(8.844)	(8.866)	(1.472)	(1.453)	(1.449)	(82.69)	(80.90)	(76.24)	(23.91)	(23.83)	(22.60)	(229.7)	(227.8)	(222.4)	(124.7)	(124.6)	(121.0)	(14.16)	(14.24)	(14.24)	(12.66)	(12.78)	(12.83)	(2.250)	(2.237)	(2.266)							(431.5)	(429.3)	(425.2)												
miss_agefirstbirth	9.186***	7.832**	4.140	1.540	1.215	0.140	34.30***	30.07***	16.48*	-1.904	-3.365	-9.952	-1.073	-1.135	-1.186*	-1.446**	-1.440**	-1.277**	0.168	0.169	0.140	8.840**	7.794**	2.602	0.923	0.595	-0.607	37.39***	31.53***	15.29	20.24***	17.23**	8.914	-1.063	-1.057	-1.075	-1.076	-1.051	-0.869	0.0811	0.0947	0.0423	5.398	5.160	-0.743	2.177**	1.979**	0.387	15.35	12.01	-6.579	7.221	6.328	1.217	0.490	0.465	0.333	-0.109	-0.0331	0.0330	-0.113	-0.122	-0.160**
	(3.043)	(3.053)	(2.999)	(1.093)	(1.091)	(1.000)	(9.723)	(9.614)	(9.036)	(10.14)	(10.17)	(9.454)	(0.710)	(0.717)	(0.681)	(0.672)	(0.665)	(0.619)	(0.139)	(0.138)	(0.131)	(3.822)	(3.794)	(3.599)	(0.954)	(0.941)	(0.885)	(11.65)	(11.39)	(9.637)	(7.025)	(7.368)	(7.266)	(0.832)	(0.817)	(0.739)	(0.824)	(0.807)	(0.704)	(0.167)	(0.165)	(0.141)	(3.932)	(3.943)	(3.590)	(0.847)	(0.847)	(0.812)	(14.06)	(13.62)	(12.02)	(9.626)	(9.831)	(9.268)	(0.657)	(0.652)	(0.629)	(0.690)	(0.660)	(0.629)	(0.0793)	(0.0842)	(0.0795)
height		4.748*	2.503		1.057	0.423		19.09***	11.46		7.151	3.880		-0.0515	-0.0274		0.309	0.455		0.0263	0.00498		6.482**	3.161		1.422	0.760		21.20**	12.72		12.66**	8.166		0.821	0.872		0.670	0.800		-0.0415	-0.0678		-0.150	-2.995		0.497	-0.0759		16.29	11.26		5.769	2.226		0.738	0.634		0.455	0.507		0.00887	-0.00238
		(2.547)	(2.474)		(0.710)	(0.689)		(7.370)	(7.172)		(4.489)	(4.602)		(0.531)	(0.536)		(0.469)	(0.475)		(0.0744)	(0.0751)		(3.145)	(3.051)		(0.896)	(0.889)		(8.873)	(8.910)		(5.103)	(5.155)		(0.623)	(0.646)		(0.538)	(0.548)		(0.0861)	(0.0893)		(3.997)	(3.931)		(1.285)	(1.259)		(13.80)	(13.40)		(8.323)	(7.972)		(0.973)	(0.928)		(0.767)	(0.761)		(0.143)	(0.144)
daily_cig_before_preg		-0.0482**	0.0147		-0.0193***	-0.00251		-0.226***	-0.00613		-0.0662	0.0194		-0.00510	-0.00462		0.00335	-0.000463		0.000661	0.00119		-0.0666**	0.000585		-0.0160*	-0.00104		-0.363***	-0.152*		-0.149***	-0.0372		0.00756	0.00735		0.00831	0.00464		0.000666	0.00130		-0.0567	0.00705		-0.0265**	-0.00717		-0.290**	-0.0953		-0.108	-0.0163		0.00307	0.00474		0.0150**	0.0133*		-0.000976	-0.000926
		(0.0235)	(0.0236)		(0.00678)	(0.00679)		(0.0739)	(0.0739)		(0.0422)	(0.0432)		(0.00513)	(0.00534)		(0.00482)	(0.00502)		(0.000796)	(0.000838)		(0.0300)	(0.0283)		(0.00920)	(0.00869)		(0.0927)	(0.0869)		(0.0522)	(0.0501)		(0.00641)	(0.00609)		(0.00583)	(0.00545)		(0.00108)	(0.000972)		(0.0425)	(0.0424)		(0.0115)	(0.0113)		(0.130)	(0.130)		(0.0697)	(0.0689)		(0.00908)	(0.00869)		(0.00755)	(0.00766)		(0.00117)	(0.00124)
weekly_alcohol_b_preg		-0.0438*	-0.0429*		-0.00171	5.18e-05		-0.0336	-0.0155		-0.0764	-0.0691		-0.00853	-0.00850		-0.00372	-0.00427		-0.00115	-0.00111		0.0116	0.0112		0.00192	-0.000281		-0.0631	-0.0855		-0.00147	-0.00875		-0.00407	-0.00297		-0.00203	-0.00180		-0.000461	-0.000444		0.0428	0.0490		-0.0172*	-0.0186*		-0.0434	-0.0532		-0.0119	-0.0301		-0.00944	-0.00727		-0.00917	-0.00851		0.000112	0.000152
		(0.0263)	(0.0258)		(0.00679)	(0.00687)		(0.0753)	(0.0742)		(0.0549)	(0.0547)		(0.00524)	(0.00531)		(0.00482)	(0.00493)		(0.000707)	(0.000719)		(0.0234)	(0.0227)		(0.00668)	(0.00653)		(0.0804)	(0.0806)		(0.0546)	(0.0531)		(0.00518)	(0.00530)		(0.00484)	(0.00491)		(0.000884)	(0.000870)		(0.0330)	(0.0321)		(0.0104)	(0.00996)		(0.127)	(0.130)		(0.0897)	(0.0908)		(0.00860)	(0.00845)		(0.00735)	(0.00743)		(0.00115)	(0.00109)
complications_during_preg		-0.463	-0.472		-0.100	-0.117		-0.168	-0.377		-0.380	-0.545		0.0251	0.0130		0.167**	0.166**		0.0113	0.0124		0.0733	-0.0673		-0.0302	-0.0386		-1.778	-1.871		-0.727	-0.993		0.0734	0.0716		0.161**	0.162**		0.00580	0.00483		0.342	-0.0367		0.207	0.121		-0.192	-1.048		1.722	1.083		0.106	0.0697		0.0112	0.00112		-0.00148	-0.00491
		(0.362)	(0.353)		(0.101)	(0.0979)		(1.059)	(1.036)		(0.630)	(0.619)		(0.0748)	(0.0749)		(0.0670)	(0.0670)		(0.0112)	(0.0113)		(0.426)	(0.414)		(0.128)	(0.125)		(1.302)	(1.292)		(0.757)	(0.758)		(0.0881)	(0.0897)		(0.0774)	(0.0785)		(0.0135)	(0.0137)		(0.622)	(0.610)		(0.195)	(0.190)		(2.191)	(2.148)		(1.208)	(1.185)		(0.142)	(0.139)		(0.120)	(0.120)		(0.0198)	(0.0198)
miss_height		3.142	0.142		1.070	0.346		22.47*	13.27		8.686	5.139		-0.359	-0.323		0.672	0.888		-0.0289	-0.0640		5.930	1.498		1.932	1.006		26.63*	14.60		18.86**	12.91		1.180	1.310		1.194	1.441		-0.0857	-0.117		-3.589	-7.642		-0.0454	-1.005		21.72	13.13		3.681	-0.433		1.303	1.201		0.971	1.073		0.0341	0.0196
		(4.559)	(4.450)		(1.265)	(1.234)		(13.23)	(13.00)		(8.702)	(8.954)		(0.942)	(0.952)		(0.839)	(0.854)		(0.129)	(0.132)		(5.580)	(5.450)		(1.524)	(1.501)		(15.22)	(15.21)		(8.711)	(8.797)		(1.066)	(1.104)		(0.930)	(0.952)		(0.152)	(0.158)		(6.824)	(6.692)		(2.153)	(2.101)		(23.52)	(22.73)		(13.97)	(13.31)		(1.624)	(1.557)		(1.291)	(1.278)		(0.243)	(0.243)
miss_daily_cig_before_preg		-8.068***	-8.304***		-1.144**	-1.617***		15.29***	9.890**		-8.565*	-9.970**		-0.449	-0.335		-0.185	0.0169		-0.0588	-0.0643		0.606	0.825		2.095*	2.016		1.820	3.143		-3.774	-3.570		0.392	0.314		0.342	0.190		0.115*	0.119*		-38.93***	-33.87***		-0.813	-0.647		5.219	6.858		-21.21**	-21.40**		-0.185	-0.0543		-0.190	-0.234		0.110	0.116
		(1.867)	(1.417)		(0.536)	(0.476)		(4.632)	(4.236)		(4.868)	(4.352)		(1.122)	(1.195)		(1.109)	(1.145)		(0.0791)	(0.0780)		(2.284)	(2.528)		(1.252)	(1.234)		(8.083)	(7.195)		(8.183)	(8.018)		(0.862)	(0.819)		(0.638)	(0.589)		(0.0641)	(0.0628)		(3.242)	(3.271)		(1.253)	(1.420)		(10.03)	(11.39)		(8.777)	(8.315)		(1.226)	(1.311)		(1.140)	(1.114)		(0.0924)	(0.100)
miss_weekly_alcohol_b_preg		2.381	3.730		0.214	0.664		-29.08***	-22.47**		3.474	6.097		1.304	1.152		0.604	0.341		0.149	0.189**																							40.63***	36.65***																		
		(3.072)	(2.800)		(1.162)	(1.122)		(10.15)	(9.157)		(7.950)	(7.783)		(1.291)	(1.361)		(1.239)	(1.274)		(0.0924)	(0.0917)																							(5.509)	(6.130)																		
_mother_edu1			-5.074***			-1.995***			-18.46***			-12.56***			0.361*			0.129			-0.0201			-6.167***			-1.322***			-11.45***			-10.65***			0.314			0.0918			-0.0373			-6.471***			-1.581**			-22.26***			-8.714**			0.723			0.848**			0.0757
			(0.974)			(0.304)			(3.110)			(1.809)			(0.215)			(0.189)			(0.0341)			(1.097)			(0.378)			(3.908)			(2.111)			(0.264)			(0.219)			(0.0412)			(2.272)			(0.660)			(8.254)			(4.107)			(0.540)			(0.373)			(0.0473)
_mother_edu2			-5.083***			-1.689***			-14.51***			-8.805***			0.396*			0.147			-0.00937			-5.107***			-1.318***			-10.99***			-7.407***			0.150			0.0587			0.0200			-7.393***			-1.301*			-22.64***			-6.297			0.607			0.898**			0.141***
			(0.904)			(0.299)			(3.120)			(1.783)			(0.224)			(0.190)			(0.0355)			(1.072)			(0.375)			(3.830)			(2.130)			(0.263)			(0.214)			(0.0415)			(2.398)			(0.701)			(8.566)			(4.331)			(0.561)			(0.402)			(0.0539)
_mother_edu3			-3.149***			-0.933***			-8.173***			-6.641***			0.231			-0.0879			-0.0367			-3.023***			-0.518			-5.013			-3.532*			-0.0405			-0.0770			-0.0159			-4.738**			-0.734			-19.01**			-3.582			0.656			0.701*			0.0818*
			(0.735)			(0.251)			(2.584)			(1.557)			(0.191)			(0.159)			(0.0306)			(0.901)			(0.319)			(3.387)			(1.833)			(0.235)			(0.186)			(0.0357)			(2.251)			(0.653)			(8.277)			(4.181)			(0.536)			(0.366)			(0.0436)
_mother_edu4			-2.101***			-1.020***			-7.865***			-6.174***			0.219			-0.0232			0.00228			-1.694*			-0.621*			-6.086*			-4.026**			0.395*			0.0730			0.0267			-3.509			-0.689			-13.30			-5.189			0.991*			0.780**			0.0917**
			(0.787)			(0.262)			(2.693)			(1.699)			(0.200)			(0.168)			(0.0330)			(0.937)			(0.326)			(3.409)			(1.903)			(0.240)			(0.191)			(0.0384)			(2.270)			(0.645)			(8.195)			(4.136)			(0.541)			(0.370)			(0.0464)
_mother_edu5			-1.443**			-0.481**			-2.927			-3.551***			0.414**			-0.00456			2.33e-05			-0.855			-0.0902			0.196			-1.683			0.252			0.0993			0.0103			-0.858			-0.505			-10.28			-1.651			0.747			0.860**			0.120***
			(0.646)			(0.228)			(2.360)			(1.358)			(0.176)			(0.145)			(0.0280)			(0.839)			(0.294)			(3.090)			(1.669)			(0.220)			(0.172)			(0.0338)			(2.188)			(0.618)			(7.768)			(3.863)			(0.523)			(0.355)			(0.0437)
_mother_edu7			-4.847***			-0.762**			-13.45***			-10.25***			0.164			-0.0424			0.0366			-5.313***			-0.613			-12.45***			-9.616***			0.455			0.312			-0.0218			-4.504*			-0.294			-19.63**			-7.080			0.596			0.575			0.192***
			(1.413)			(0.360)			(4.517)			(2.319)			(0.302)			(0.263)			(0.0578)			(1.387)			(0.462)			(4.725)			(2.654)			(0.328)			(0.289)			(0.0543)			(2.493)			(0.734)			(9.349)			(4.463)			(0.589)			(0.427)			(0.0632)
_inc1			1.852			-0.281			-5.332			4.505			-0.407			-0.190			0.0608			0.476			0.221			1.270			2.545			-0.546			-0.493			-0.0363			1.048			1.871*			21.53**			-7.394			-0.944			-0.177			-0.0781
			(2.842)			(0.836)			(7.299)			(6.300)			(0.497)			(0.493)			(0.114)			(2.679)			(0.928)			(9.060)			(5.115)			(0.472)			(0.388)			(0.0828)			(2.796)			(1.076)			(9.903)			(7.883)			(0.753)			(0.629)			(0.0641)
_inc2			-2.506***			-0.480*			-9.854***			-2.049			-0.0957			0.226			-0.0210			-2.770***			-0.383			-9.975***			-3.649			0.0626			0.413*			-0.0402			-2.155*			-0.623			-6.969			-2.191			-0.184			0.186			-0.0222
			(0.761)			(0.247)			(2.382)			(2.120)			(0.173)			(0.163)			(0.0288)			(1.054)			(0.299)			(3.207)			(2.238)			(0.238)			(0.212)			(0.0410)			(1.189)			(0.388)			(4.519)			(2.883)			(0.282)			(0.222)			(0.0396)
_inc3			-1.931***			-0.401*			-7.853***			-2.126			-0.0660			0.134			-0.0368			-2.774***			-0.370			-8.030***			-4.206**			0.150			0.281			-0.0562*			-1.426			-0.569			-6.746*			-1.860			0.253			0.236			0.00106
