	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-3.822**	-3.844**	-3.595**	-0.466	-0.439	-0.452	2.053	2.287	2.446	-6.582*	-6.210*	-6.331	-0.0527	-0.0907	-0.0798	-0.803***	-0.855***	-0.847***	0.0946	0.0978	0.111	-6.936***	-6.397**	-5.960**	-2.448***	-2.334***	-2.345***	3.900	5.563	7.459	-0.530	0.581	1.526	0.0552	0.0535	0.120	-0.269	-0.285	-0.284	0.118	0.121	0.146	-3.404	-3.019	-3.417	-0.167	0.297	0.882	-13.51	-8.240	-3.527	-23.29***	-25.40***	-25.62**	1.083*	1.280*	1.167	-0.465	-0.698	-0.957*	-0.180**	-0.182*	-0.204
	(1.720)	(1.654)	(1.716)	(0.476)	(0.468)	(0.498)	(7.499)	(7.398)	(7.396)	(3.701)	(3.672)	(3.860)	(0.504)	(0.499)	(0.501)	(0.310)	(0.299)	(0.298)	(0.111)	(0.111)	(0.113)	(2.640)	(2.533)	(2.591)	(0.601)	(0.627)	(0.709)	(8.378)	(7.460)	(6.531)	(3.471)	(3.159)	(2.866)	(0.626)	(0.646)	(0.639)	(0.282)	(0.273)	(0.306)	(0.171)	(0.175)	(0.182)	(3.911)	(4.332)	(4.561)	(0.816)	(0.878)	(1.134)	(12.32)	(15.61)	(17.54)	(6.809)	(8.116)	(10.65)	(0.635)	(0.706)	(0.792)	(0.334)	(0.434)	(0.524)	(0.0851)	(0.109)	(0.124)
motherage	-6.865	-6.276	-1.972	-0.246	-0.187	0.460	2.255	2.091	11.79	-15.66	-15.39	-10.56	-0.319	-0.519	-0.831	-3.768*	-3.896*	-3.941*	-0.0239	-0.00440	0.121	-22.12	-23.86	-18.70	-10.15	-10.48	-8.556	-152.5***	-161.0***	-140.6***	-41.42	-45.32*	-37.50	2.878	3.063	4.038	2.988	3.111	2.984	0.0141	0.00168	-0.0138	-57.82**	-62.87**	-62.68**	-19.29**	-19.63***	-19.16***	-28.76	-37.17	-40.07	-112.0**	-127.2**	-126.8**	10.49*	11.26*	11.00*	1.423	0.997	1.477	0.543	0.508	0.296
	(13.02)	(13.02)	(13.10)	(3.677)	(3.654)	(3.695)	(33.56)	(33.47)	(33.51)	(23.09)	(22.96)	(23.35)	(2.659)	(2.640)	(2.642)	(2.210)	(2.194)	(2.248)	(0.373)	(0.375)	(0.362)	(17.54)	(17.04)	(17.04)	(6.946)	(6.812)	(6.769)	(44.62)	(43.53)	(43.79)	(25.41)	(24.61)	(24.72)	(3.789)	(3.812)	(3.661)	(3.020)	(3.026)	(2.991)	(0.549)	(0.550)	(0.555)	(25.79)	(26.92)	(25.96)	(7.814)	(7.604)	(7.419)	(59.50)	(60.44)	(55.59)	(50.38)	(54.76)	(57.21)	(6.031)	(6.230)	(6.275)	(3.974)	(3.939)	(4.122)	(1.242)	(1.258)	(1.285)
motheragesq	0.299	0.274	0.101	-0.000723	-0.00447	-0.0316	0.118	0.112	-0.298	0.618	0.591	0.379	0.00319	0.0113	0.0220	0.135	0.142*	0.143*	0.00219	0.00139	-0.00334	0.872	0.939	0.731	0.372	0.384	0.309	5.831***	6.134***	5.328***	1.555*	1.698*	1.393	-0.106	-0.112	-0.150	-0.113	-0.117	-0.114	-0.00102	-0.000616	-0.000395	2.205**	2.389**	2.376**	0.735**	0.743***	0.730***	1.113	1.365	1.429	4.669**	5.296**	5.226**	-0.458**	-0.491**	-0.492**	-0.0505	-0.0311	-0.0618	-0.0262	-0.0250	-0.0157
	(0.487)	(0.487)	(0.489)	(0.132)	(0.131)	(0.133)	(1.213)	(1.208)	(1.211)	(0.849)	(0.844)	(0.854)	(0.0996)	(0.0990)	(0.0990)	(0.0841)	(0.0835)	(0.0854)	(0.0135)	(0.0136)	(0.0132)	(0.640)	(0.622)	(0.625)	(0.247)	(0.242)	(0.240)	(1.650)	(1.611)	(1.620)	(0.944)	(0.913)	(0.919)	(0.142)	(0.143)	(0.137)	(0.113)	(0.113)	(0.112)	(0.0198)	(0.0198)	(0.0199)	(0.936)	(0.981)	(0.942)	(0.290)	(0.283)	(0.273)	(2.200)	(2.251)	(2.077)	(1.879)	(2.061)	(2.161)	(0.229)	(0.237)	(0.240)	(0.151)	(0.149)	(0.160)	(0.0440)	(0.0448)	(0.0458)
motheragecub	-0.00416	-0.00380	-0.00166	6.76e-05	0.000138	0.000477	-0.00346	-0.00316	0.00202	-0.00744	-0.00690	-0.00417	-3.25e-05	-0.000136	-0.000256	-0.00161	-0.00171*	-0.00173	-3.08e-05	-1.98e-05	3.68e-05	-0.0116	-0.0123*	-0.00966	-0.00452	-0.00466*	-0.00373	-0.0711***	-0.0744***	-0.0642***	-0.0190*	-0.0206*	-0.0168	0.00115	0.00121	0.00167	0.00121	0.00126	0.00123	1.99e-05	1.52e-05	1.64e-05	-0.0270**	-0.0290**	-0.0288***	-0.00870**	-0.00876**	-0.00868***	-0.00959	-0.0119	-0.0126	-0.0599***	-0.0676***	-0.0659**	0.00602**	0.00642**	0.00660**	0.000409	0.000155	0.000678	0.000392	0.000378	0.000249
	(0.00593)	(0.00593)	(0.00595)	(0.00154)	(0.00154)	(0.00155)	(0.0143)	(0.0142)	(0.0143)	(0.0102)	(0.0101)	(0.0102)	(0.00121)	(0.00121)	(0.00121)	(0.00104)	(0.00103)	(0.00105)	(0.000159)	(0.000160)	(0.000156)	(0.00767)	(0.00744)	(0.00753)	(0.00286)	(0.00281)	(0.00279)	(0.0199)	(0.0194)	(0.0195)	(0.0114)	(0.0109)	(0.0110)	(0.00175)	(0.00175)	(0.00168)	(0.00137)	(0.00137)	(0.00136)	(0.000233)	(0.000233)	(0.000234)	(0.0110)	(0.0116)	(0.0111)	(0.00348)	(0.00341)	(0.00326)	(0.0264)	(0.0272)	(0.0251)	(0.0227)	(0.0251)	(0.0263)	(0.00280)	(0.00291)	(0.00297)	(0.00187)	(0.00185)	(0.00201)	(0.000512)	(0.000523)	(0.000533)
agefirstbirth	-0.0357	-0.0293	-0.0883	0.0704	0.0674	0.0597	0.588	0.542	0.408	0.267	0.246	0.236	0.0136	0.00969	0.0197	-0.0388	-0.0391	-0.0301	-0.00728*	-0.00703	-0.00923*	0.351***	0.306***	0.214*	0.113***	0.105***	0.0758**	1.703***	1.572***	1.075***	0.560***	0.458***	0.278	0.0342	0.0323	0.0234	0.00416	0.00632	0.00274	0.00111	0.00152	-0.00147	0.376**	0.324*	0.128	0.123***	0.113***	0.0930**	0.964*	0.840	0.725	-0.0110	-0.149	-0.109	-0.0122	-0.00518	0.000647	-0.0486**	-0.0506**	-0.0352	0.00189	0.00136	-0.000205
	(0.199)	(0.201)	(0.199)	(0.0543)	(0.0530)	(0.0524)	(0.572)	(0.566)	(0.553)	(0.384)	(0.370)	(0.368)	(0.0525)	(0.0535)	(0.0525)	(0.0489)	(0.0484)	(0.0488)	(0.00428)	(0.00431)	(0.00476)	(0.117)	(0.119)	(0.116)	(0.0374)	(0.0383)	(0.0369)	(0.338)	(0.345)	(0.336)	(0.178)	(0.176)	(0.177)	(0.0265)	(0.0268)	(0.0272)	(0.0221)	(0.0225)	(0.0229)	(0.00350)	(0.00356)	(0.00357)	(0.173)	(0.180)	(0.161)	(0.0419)	(0.0424)	(0.0447)	(0.503)	(0.543)	(0.527)	(0.320)	(0.350)	(0.370)	(0.0288)	(0.0311)	(0.0323)	(0.0237)	(0.0255)	(0.0274)	(0.00542)	(0.00560)	(0.00605)
height		2.403	1.637		1.064	1.007		4.571	3.095		-4.898	-5.470		1.771*	1.814*		1.599*	1.658**		-0.0256	-0.0562		1.369	1.219		-1.165	-1.204		-6.996	-9.772		-3.688	-4.220		1.057	1.114		-0.0456	-0.0457		-0.129	-0.158		0.815	-0.554		-0.0210	-0.549		2.318	-3.812		27.31	30.14		-1.343	-0.634		1.221	1.574		-0.0243	-0.0371
		(3.818)	(3.635)		(1.155)	(1.119)		(10.06)	(9.807)		(6.645)	(6.610)		(0.940)	(0.926)		(0.825)	(0.821)		(0.138)	(0.137)		(4.806)	(4.784)		(1.575)	(1.538)		(13.69)	(13.54)		(7.540)	(7.471)		(1.118)	(1.097)		(0.924)	(0.915)		(0.172)	(0.173)		(7.326)	(7.355)		(2.259)	(2.232)		(25.89)	(26.12)		(19.13)	(20.35)		(1.723)	(1.726)		(1.533)	(1.552)		(0.330)	(0.331)
daily_cig_before_preg		-0.00133	0.0545		-0.0162	-0.00485		-0.213*	-0.0524		-0.139*	-0.0434		-0.00210	-0.00142		0.0101	0.00745		-0.000243	0.000862		-0.131**	-0.110**		-0.0313**	-0.0267*		-0.465***	-0.283**		-0.349***	-0.282***		-0.000110	0.00734		0.00619	0.00759		-0.000160	0.000785		-0.203**	-0.127		-0.0817***	-0.0587**		-0.788***	-0.463*		-0.352*	-0.376*		0.00211	-0.00378		0.0139	-0.00102		-0.000476	-0.000523
		(0.0432)	(0.0425)		(0.0122)	(0.0127)		(0.111)	(0.114)		(0.0735)	(0.0769)		(0.00980)	(0.0100)		(0.00942)	(0.00961)		(0.00118)	(0.00119)		(0.0522)	(0.0515)		(0.0152)	(0.0152)		(0.146)	(0.143)		(0.0767)	(0.0785)		(0.0115)	(0.0113)		(0.0103)	(0.0106)		(0.00165)	(0.00162)		(0.0884)	(0.0949)		(0.0215)	(0.0234)		(0.229)	(0.261)		(0.196)	(0.227)		(0.0198)	(0.0191)		(0.0173)	(0.0177)		(0.00268)	(0.00296)
weekly_alcohol_b_preg		-0.0740*	-0.0665*		-0.0152	-0.0128		-0.0820	-0.0454		-0.0769	-0.0595		0.00700	0.00617		0.00915	0.00765		-0.00139	-0.00110		0.0341	0.0277		0.00963	0.00725		-0.385***	-0.395***		-0.0409	-0.0419		0.00586	0.00571		0.00831	0.00812		-0.00127	-0.00140		0.0770	0.127*		-0.00961	-0.0180		-0.0252	-0.0698		0.143	0.109		-0.0186	-0.0195		0.00731	0.00887		0.00255	0.00249
		(0.0383)	(0.0404)		(0.0119)	(0.0113)		(0.106)	(0.104)		(0.0711)	(0.0673)		(0.00772)	(0.00780)		(0.00914)	(0.00906)		(0.000989)	(0.000991)		(0.0615)	(0.0607)		(0.0178)	(0.0186)		(0.143)	(0.134)		(0.0722)	(0.0678)		(0.0121)	(0.0114)		(0.0104)	(0.0107)		(0.00228)	(0.00227)		(0.0691)	(0.0709)		(0.0187)	(0.0197)		(0.211)	(0.229)		(0.231)	(0.252)		(0.0190)	(0.0179)		(0.0220)	(0.0239)		(0.00310)	(0.00306)
complications_during_preg		0.481	0.446		-0.136	-0.105		-0.282	-0.0820		-0.870	-0.746		-0.240*	-0.256**		0.00247	0.00792		0.0154	0.0161		-0.00111	-0.169		0.0923	0.156		-3.975**	-4.268**		-0.169	-0.439		0.138	0.119		0.102	0.121		0.00362	0.00472		-0.133	-0.464		0.227	0.183		-3.952	-4.370		2.128	2.158		0.113	0.0959		-0.0371	-0.0243		-0.0288	-0.0157
		(0.572)	(0.553)		(0.155)	(0.152)		(1.583)	(1.546)		(0.982)	(0.975)		(0.127)	(0.126)		(0.114)	(0.114)		(0.0190)	(0.0190)		(0.703)	(0.682)		(0.211)	(0.210)		(1.922)	(1.908)		(1.033)	(1.038)		(0.152)	(0.152)		(0.130)	(0.131)		(0.0244)	(0.0255)		(0.977)	(0.963)		(0.290)	(0.298)		(2.921)	(2.975)		(2.452)	(2.503)		(0.229)	(0.221)		(0.205)	(0.205)		(0.0376)	(0.0379)
_mother_edu1			0.193			-0.755			-5.477			0.565			1.320***			0.628			-0.122			1.009			-0.679			2.531			1.030			1.081***			0.219			-0.0653			-3.649			-0.958			0.577			8.850			1.609***			1.097**			-0.119
			(2.477)			(0.585)			(5.979)			(2.750)			(0.385)			(0.457)			(0.0900)			(2.608)			(0.664)			(6.398)			(2.891)			(0.381)			(0.366)			(0.0862)			(2.456)			(0.768)			(8.305)			(6.475)			(0.545)			(0.498)			(0.106)
_mother_edu2			0.278			-0.292			-2.886			1.328			1.209***			0.424			-0.116			2.125			-0.831			5.136			4.553*			0.789**			-0.0831			-0.0660			-0.0504			-0.802			1.961			5.147			0.848**			0.559			-0.119
			(2.358)			(0.530)			(5.282)			(2.532)			(0.331)			(0.430)			(0.0863)			(2.576)			(0.577)			(5.918)			(2.543)			(0.337)			(0.317)			(0.0860)			(2.188)			(0.663)			(7.911)			(6.251)			(0.422)			(0.409)			(0.101)
_mother_edu3			1.120			0.136			2.271			3.622			1.075***			0.349			-0.115			3.029			-0.733			6.248			5.285**			1.152***			0.108			-0.0255			1.983			-0.858			5.344			1.414			0.778*			0.0967			-0.0946
			(2.392)			(0.540)			(5.591)			(2.705)			(0.351)			(0.431)			(0.0867)			(2.628)			(0.586)			(6.005)			(2.670)			(0.357)			(0.330)			(0.0875)			(2.348)			(0.718)			(8.492)			(6.221)			(0.437)			(0.428)			(0.109)
_mother_edu4			2.543			0.292			4.036			7.003***			1.223***			0.557			-0.0840			3.313			-0.116			9.337			5.619**			0.727**			0.156			-0.0211			3.589			-0.521			6.757			1.876			0.736			0.354			-0.146
			(2.365)			(0.518)			(5.275)			(2.617)			(0.332)			(0.431)			(0.0859)			(2.600)			(0.569)			(5.763)			(2.486)			(0.339)			(0.317)			(0.0872)			(2.491)			(0.778)			(9.073)			(6.420)			(0.458)			(0.436)			(0.109)
_mother_edu5			5.627**			1.022*			6.755			10.15***			0.747*			0.661			-0.0661			6.314**			0.300			13.74**			6.929**			0.811*			0.0791			-0.0375			4.105			1.005			8.201			14.12			1.141			-0.809			-0.310**
			(2.525)			(0.577)			(5.801)			(2.990)			(0.421)			(0.475)			(0.0973)			(2.850)			(0.644)			(6.633)			(3.090)			(0.453)			(0.389)			(0.101)			(3.816)			(1.231)			(12.65)			(9.063)			(0.811)			(0.568)			(0.154)
_inc1			-4.554***			-0.0598			-6.474*			-1.324			-0.272			0.321			-0.0917**			-1.167			-0.416			-16.27***			-5.681***			-0.987***			-0.0261			-0.0530			-2.750			-1.002*			-7.102			-5.230			-0.801*			0.185			-0.0492
			(1.179)			(0.339)			(3.353)			(2.270)			(0.270)			(0.263)			(0.0384)			(1.449)			(0.429)			(3.795)			(2.188)			(0.313)			(0.267)			(0.0562)			(2.269)			(0.595)			(5.791)			(4.949)			(0.446)			(0.469)			(0.0947)
_inc2			-3.287***			-0.0673			-6.379**			-1.813			-0.229			0.330			-0.0871***			-1.203			-0.400			-13.67***			-5.726***			-0.344			-0.0856			-0.105**			-3.489*			-0.215			-5.888			-2.663			-0.456			0.0188			-0.0741
			(1.059)			(0.294)			(2.940)			(2.170)			(0.240)			(0.213)			(0.0338)			(1.239)			(0.364)			(3.310)			(2.050)			(0.280)			(0.226)			(0.0457)			(1.961)			(0.565)			(5.667)			(4.398)			(0.427)			(0.437)			(0.0885)
_inc3			-1.262			-0.102			-2.866			1.063			-0.0651			0.0725			-0.0433			-1.268			-0.774**			-5.506*			-3.453*			-0.204			-0.0601			-0.0513			-2.302			0.340			7.209			-2.128			-0.881**			-0.222			-0.0444
			(0.903)			(0.227)			(2.447)			(1.649)			(0.211)			(0.183)			(0.0358)			(1.039)			(0.304)			(2.895)			(1.773)			(0.236)			(0.205)			(0.0436)			(2.018)			(0.643)			(6.250)			(4.710)			(0.449)			(0.466)			(0.0919)
_inc4			-0.761			0.0490			1.017			2.070			-0.0422			0.0793			-0.0217			-0.409			-0.615**			-3.823			-2.526			-0.00548			-0.0537			-0.00480			-3.945*			0.186			-0.293			-3.776			-0.881*			-0.764*			0.0117
			(0.680)			(0.188)			(1.930)			(1.393)			(0.180)			(0.154)			(0.0261)			(0.994)			(0.278)			(2.483)			(1.590)			(0.230)			(0.182)			(0.0398)			(2.215)			(0.628)			(6.115)			(4.691)			(0.470)			(0.445)			(0.102)
Constant	169.0	153.7	115.2	8.236	6.518	1.853	72.58	55.72	-24.40	264.2	271.6	226.9	5.812	18.39	6.290	42.00**	52.79**	39.68**	-0.0930	-0.638	-1.034	237.8	249.3*	209.3	96.25	100.4*	87.09	1,333***	1,413***	1,246***	432.5**	469.9**	409.3**	-24.67	-27.98	-35.96	-18.52	-19.53	-18.24	-0.455	-0.177	0.0989	562.1**	598.8***	611.8***	161.4**	163.6**	160.2**	328.9	378.2	403.1	1,010**	1,074**	1,060**	-66.56	-70.22	-72.83	4.606	5.593	-1.675	-4.244	-3.825	-1.591
	(156.4)	(156.0)	(156.6)	(31.39)	(31.23)	(31.52)	(394.9)	(392.1)	(391.8)	(194.9)	(193.7)	(197.3)	(22.39)	(31.39)	(22.02)	(18.14)	(26.00)	(18.39)	(3.323)	(4.393)	(3.166)	(147.0)	(143.1)	(142.4)	(58.54)	(57.61)	(57.18)	(422.6)	(412.7)	(413.8)	(209.2)	(205.0)	(205.1)	(31.00)	(31.34)	(30.10)	(24.82)	(24.94)	(24.59)	(4.670)	(4.668)	(4.734)	(220.1)	(229.6)	(222.9)	(70.98)	(69.01)	(68.13)	(496.4)	(504.2)	(468.5)	(456.4)	(487.4)	(510.3)	(53.08)	(54.73)	(55.46)	(36.38)	(35.50)	(36.62)	(11.77)	(11.72)	(11.95)
																																																															
Observations	1,556	1,556	1,556	1,476	1,476	1,476	1,455	1,455	1,455	1,471	1,471	1,471	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,490	1,097	1,097	1,097	1,032	1,032	1,032	1,017	1,017	1,017	1,028	1,028	1,028	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	1,042	445	445	445	401	401	401	393	393	393	397	397	397	404	404	404	404	404	404	404	404	404
R-squared	0.044	0.046	0.096	0.072	0.078	0.099	0.111	0.114	0.144	0.029	0.041	0.071	0.047	0.054	0.064	0.019	0.017	0.024	0.015	0.014	0.019	0.014	0.047	0.082			0.006	0.191	0.203	0.228	0.143	0.162	0.181	0.089	0.091	0.120	0.124	0.125	0.129	0.023	0.022	0.022	0.173	0.196	0.241	0.203	0.249	0.276	0.201	0.268	0.321				0.125	0.101	0.159	0.128	0.114	0.129	0.135	0.138	0.135
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
