	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	0.628	0.612	1.414	-0.152	-0.0968	-0.0440	-7.290*	-6.510	-5.400	-6.232	-6.638*	-5.991*	-0.210	-0.102	-0.0953	-0.130	-0.105	-0.105	0.0774	0.0742	0.0905	-3.808	-4.749	-3.412	-1.170*	-1.161*	-0.498	-15.07*	-17.99**	-12.69	-4.172	-5.714	-3.659	1.181	0.917	0.659	0.576	0.378	0.410	-0.125	-0.105	-0.121	-0.786	-0.583	-1.002	0.411	0.444	0.448	-9.081	-7.830	-11.80	1.738	2.207	2.489	0.691	0.712	0.524	0.823	0.768	0.797*	-0.0415	-0.0338	-0.0244
	(1.930)	(1.917)	(1.889)	(0.437)	(0.427)	(0.453)	(4.129)	(4.195)	(4.646)	(3.924)	(3.725)	(3.624)	(0.377)	(0.369)	(0.342)	(0.369)	(0.370)	(0.355)	(0.111)	(0.109)	(0.119)	(3.325)	(3.222)	(2.869)	(0.627)	(0.625)	(0.683)	(7.784)	(8.221)	(10.44)	(5.930)	(5.834)	(4.961)	(1.186)	(1.106)	(1.095)	(1.354)	(1.275)	(1.266)	(0.0890)	(0.0870)	(0.0958)	(3.208)	(3.402)	(3.005)	(0.676)	(0.691)	(0.714)	(13.95)	(13.92)	(12.62)	(6.198)	(6.325)	(6.606)	(0.585)	(0.596)	(0.438)	(0.519)	(0.476)	(0.458)	(0.0491)	(0.0470)	(0.0418)
motherage	2.283	5.384	7.821	-1.697	-0.781	-0.723	-54.84	-46.12	-43.71	24.47	29.81	27.75	-0.0967	-0.358	0.199	1.508	1.074	1.462	-0.139	-0.0340	-0.0808	-6.788	-3.701	-3.324	2.962	2.991	2.601	-43.16	-43.20	-47.77	42.06	44.84	46.52	-4.299	-4.148	-4.330	3.071	3.159	3.432	-0.574	-0.584	-0.599	-22.74	-14.28	-16.36	12.49*	13.35**	14.65**	-43.25	-39.24	-71.64	121.7***	125.8***	126.3***	-4.353	-3.555	-3.943	1.350	2.086	2.213	0.239	0.308	0.253
	(15.39)	(15.49)	(14.59)	(5.058)	(4.950)	(4.672)	(45.03)	(45.58)	(45.38)	(27.95)	(28.16)	(27.87)	(3.412)	(3.447)	(3.150)	(2.735)	(2.723)	(2.666)	(0.588)	(0.580)	(0.574)	(14.28)	(14.59)	(13.56)	(5.282)	(5.291)	(4.876)	(54.94)	(55.77)	(53.71)	(29.78)	(31.04)	(29.25)	(4.004)	(3.916)	(3.719)	(2.756)	(2.768)	(2.693)	(0.609)	(0.624)	(0.618)	(16.61)	(16.90)	(17.07)	(6.653)	(6.681)	(6.603)	(68.77)	(68.10)	(62.61)	(42.45)	(41.19)	(40.47)	(4.868)	(4.748)	(4.563)	(3.907)	(3.903)	(3.887)	(0.927)	(0.876)	(0.880)
motheragesq	-0.253	-0.366	-0.445	0.0703	0.0399	0.0359	1.752	1.453	1.330	-0.859	-1.044	-0.968	-0.00423	0.00315	-0.0201	-0.0541	-0.0403	-0.0549	0.000213	-0.00348	-0.00174	0.154	0.0441	0.0202	-0.0803	-0.0814	-0.0705	1.372	1.371	1.468	-1.487	-1.588	-1.634	0.136	0.131	0.135	-0.121	-0.125	-0.134	0.0180	0.0183	0.0190	0.930	0.647	0.717	-0.422*	-0.451*	-0.506**	1.417	1.316	2.483	-4.133***	-4.269***	-4.328***	0.163	0.135	0.141	-0.0488	-0.0769	-0.0831	-0.0100	-0.0127	-0.0114
	(0.549)	(0.554)	(0.523)	(0.176)	(0.173)	(0.163)	(1.639)	(1.649)	(1.642)	(0.980)	(0.987)	(0.974)	(0.119)	(0.119)	(0.110)	(0.0975)	(0.0969)	(0.0952)	(0.0217)	(0.0214)	(0.0211)	(0.503)	(0.512)	(0.478)	(0.184)	(0.184)	(0.169)	(2.000)	(2.019)	(1.941)	(1.053)	(1.094)	(1.030)	(0.140)	(0.137)	(0.131)	(0.0999)	(0.100)	(0.0982)	(0.0215)	(0.0219)	(0.0217)	(0.599)	(0.607)	(0.622)	(0.236)	(0.237)	(0.232)	(2.432)	(2.413)	(2.218)	(1.486)	(1.450)	(1.432)	(0.168)	(0.165)	(0.158)	(0.138)	(0.137)	(0.137)	(0.0316)	(0.0300)	(0.0304)
motheragecub	0.00470	0.00600	0.00694	-0.000832	-0.000503	-0.000409	-0.0176	-0.0142	-0.0121	0.00967	0.0117	0.0109	0.000119	4.55e-05	0.000352	0.000604	0.000459	0.000630	4.08e-05	8.19e-05	6.16e-05	-0.000489	0.000824	0.00123	0.000705	0.000719	0.000611	-0.0142	-0.0140	-0.0145	0.0177	0.0190	0.0194	-0.00143	-0.00136	-0.00137	0.00151	0.00155	0.00165	-0.000175	-0.000180	-0.000190	-0.0109	-0.00781	-0.00854	0.00467*	0.00500*	0.00569**	-0.0152	-0.0142	-0.0281	0.0465***	0.0480***	0.0490***	-0.00201	-0.00166	-0.00164	0.000544	0.000892	0.000964	0.000131	0.000165	0.000155
	(0.00641)	(0.00648)	(0.00615)	(0.00202)	(0.00198)	(0.00187)	(0.0194)	(0.0194)	(0.0193)	(0.0112)	(0.0112)	(0.0111)	(0.00135)	(0.00135)	(0.00126)	(0.00114)	(0.00113)	(0.00111)	(0.000259)	(0.000256)	(0.000252)	(0.00577)	(0.00586)	(0.00550)	(0.00209)	(0.00209)	(0.00192)	(0.0236)	(0.0238)	(0.0228)	(0.0121)	(0.0125)	(0.0118)	(0.00159)	(0.00156)	(0.00149)	(0.00116)	(0.00116)	(0.00115)	(0.000247)	(0.000251)	(0.000248)	(0.00706)	(0.00715)	(0.00740)	(0.00273)	(0.00273)	(0.00266)	(0.0281)	(0.0280)	(0.0257)	(0.0170)	(0.0167)	(0.0166)	(0.00190)	(0.00188)	(0.00181)	(0.00159)	(0.00158)	(0.00158)	(0.000351)	(0.000334)	(0.000342)
agefirstbirth	0.506***	0.454***	0.357**	0.0580	0.0465	0.0105	0.899**	0.701*	0.294	0.0866	0.0483	-0.0430	-0.00588	-0.00159	-0.00403	-0.00593	-0.00111	0.00365	0.00513	0.00472	0.00554	0.223	0.150	0.0533	0.0109	0.0101	0.00797	0.923**	0.556	0.245	0.229	0.0995	0.0511	0.0723	0.0541	0.0346	0.0231	0.0168	0.0202	-0.00530	-0.00184	-0.00243	0.283	0.261	0.0990	0.0664	0.0483	0.0242	1.435**	1.116*	0.302	0.592*	0.513	0.459	0.0105	0.000969	-0.00843	-0.000232	0.00518	0.00729	-0.00629	-0.00649*	-0.00641*
	(0.169)	(0.170)	(0.159)	(0.0399)	(0.0410)	(0.0394)	(0.403)	(0.420)	(0.420)	(0.328)	(0.332)	(0.296)	(0.0315)	(0.0324)	(0.0284)	(0.0305)	(0.0319)	(0.0285)	(0.00884)	(0.00907)	(0.00894)	(0.217)	(0.207)	(0.177)	(0.0381)	(0.0384)	(0.0383)	(0.470)	(0.495)	(0.557)	(0.365)	(0.359)	(0.295)	(0.0656)	(0.0575)	(0.0530)	(0.0742)	(0.0650)	(0.0601)	(0.00549)	(0.00509)	(0.00508)	(0.193)	(0.193)	(0.185)	(0.0469)	(0.0504)	(0.0519)	(0.644)	(0.646)	(0.596)	(0.324)	(0.336)	(0.336)	(0.0342)	(0.0352)	(0.0322)	(0.0322)	(0.0324)	(0.0327)	(0.00390)	(0.00373)	(0.00360)
height		11.91**	9.672**		1.251	0.338		27.76*	17.84		19.61**	17.11*		-0.353	-0.342		-0.394	-0.279		0.368**	0.414***		6.274	2.710		-0.163	-0.668		15.45	7.204		7.034	3.500		2.030*	1.927*		1.793**	1.899**		-0.0774	-0.0619		14.02*	10.57		4.085*	4.092*		48.43**	42.84**		20.26	19.40		2.246	1.917		0.705	0.629		0.233	0.212
		(4.661)	(4.567)		(1.436)	(1.403)		(15.19)	(14.68)		(9.373)	(9.181)		(1.010)	(0.982)		(0.845)	(0.841)		(0.159)	(0.159)		(5.008)	(4.777)		(1.489)	(1.409)		(15.96)	(15.69)		(8.898)	(8.500)		(1.076)	(1.063)		(0.907)	(0.938)		(0.145)	(0.146)		(7.247)	(6.913)		(2.234)	(2.177)		(20.48)	(18.89)		(12.95)	(12.95)		(1.485)	(1.429)		(1.219)	(1.234)		(0.207)	(0.206)
daily_cig_before_preg		-0.0523	0.0187		-0.0210*	0.000581		-0.370**	-0.0975		0.0548	0.123		-0.0115	-0.0131		0.00124	-0.00369		0.000865	0.000939		-0.0190	0.0457		-0.00198	0.00884		-0.347**	-0.157		-0.0270	0.00297		-0.000249	0.00337		0.00965	0.00792		0.00370**	0.00398**		0.0498	0.115*		0.00210	0.0156		-0.209	0.0254		-0.0127	0.0231		0.00154	0.00785		0.0186	0.0176		0.000489	0.000538
		(0.0450)	(0.0469)		(0.0127)	(0.0128)		(0.152)	(0.157)		(0.0870)	(0.0924)		(0.00917)	(0.00959)		(0.00812)	(0.00889)		(0.00163)	(0.00197)		(0.0529)	(0.0510)		(0.0148)	(0.0136)		(0.163)	(0.152)		(0.0875)	(0.0861)		(0.0106)	(0.00945)		(0.00943)	(0.00804)		(0.00168)	(0.00170)		(0.0621)	(0.0615)		(0.0185)	(0.0188)		(0.187)	(0.192)		(0.103)	(0.106)		(0.0126)	(0.0122)		(0.0118)	(0.0119)		(0.00192)	(0.00182)
weekly_alcohol_b_preg		0.0378	0.0508		0.00130	0.00341		0.174	0.224		0.00138	0.00325		-0.0259**	-0.0265**		-0.00882	-0.0105		-0.00170	-0.00135		0.0833**	0.0738**		0.00203	-0.00245		-0.00581	-0.0415		0.0996	0.0815		-0.0149**	-0.0119*		-0.00744	-0.00746		0.000401	0.000313		0.0214	0.0321		-0.0316*	-0.0359**		-0.383**	-0.424**		-0.119	-0.130		-0.0182	-0.0119		-0.00613	-0.00538		-0.00230*	-0.00187
		(0.0543)	(0.0549)		(0.0156)	(0.0151)		(0.179)	(0.176)		(0.128)	(0.127)		(0.0111)	(0.0109)		(0.00859)	(0.00866)		(0.00159)	(0.00164)		(0.0351)	(0.0339)		(0.0106)	(0.0105)		(0.114)	(0.109)		(0.0668)	(0.0658)		(0.00730)	(0.00663)		(0.00600)	(0.00609)		(0.00155)	(0.00148)		(0.0505)	(0.0480)		(0.0166)	(0.0159)		(0.187)	(0.179)		(0.160)	(0.159)		(0.0115)	(0.0109)		(0.00809)	(0.00856)		(0.00137)	(0.00137)
complications_during_preg		-0.166	-0.0801		-0.339*	-0.293*		-0.515	0.125		-0.530	-0.465		0.269**	0.260**		0.274**	0.270**		-0.00703	-0.00785		0.00152	-0.0624		-0.0446	-0.0409		0.326	0.454		-1.797	-1.943		0.0322	0.0329		0.185	0.186		0.0169	0.0166		-1.782*	-1.683*		-0.195	-0.178		-0.257	-0.891		0.0579	-0.199		-0.0769	-0.0355		-0.147	-0.171		0.0270	0.0270
		(0.614)	(0.605)		(0.182)	(0.177)		(2.056)	(1.980)		(1.196)	(1.172)		(0.133)	(0.131)		(0.115)	(0.113)		(0.0223)	(0.0224)		(0.707)	(0.669)		(0.209)	(0.201)		(2.348)	(2.292)		(1.375)	(1.307)		(0.171)	(0.166)		(0.158)	(0.155)		(0.0216)	(0.0215)		(1.052)	(1.000)		(0.316)	(0.306)		(3.155)	(3.014)		(1.868)	(1.876)		(0.209)	(0.203)		(0.181)	(0.180)		(0.0283)	(0.0275)
_mother_edu1			-3.260			-0.982			0.0586			3.334			0.272			0.287			-0.00444			-0.806			-0.134			5.099			3.304			-0.465			-0.249			0.0833			0.173			-0.139			11.90			2.704			-0.889*			-0.115			-0.0513
			(2.531)			(0.610)			(8.533)			(3.825)			(0.438)			(0.408)			(0.0916)			(1.916)			(0.642)			(7.438)			(4.188)			(0.469)			(0.508)			(0.0547)			(3.060)			(0.789)			(8.604)			(5.075)			(0.497)			(0.532)			(0.0770)
_mother_edu2			0.104			0.183			7.603			4.825			-0.479			-0.262			-0.00758			2.913*			0.857			9.255			3.391			-0.480			-0.424			0.0730			2.691			0.667			14.46*			3.695			-0.568			-0.250			-0.0622
			(2.205)			(0.500)			(7.308)			(3.046)			(0.389)			(0.349)			(0.0771)			(1.690)			(0.581)			(6.617)			(3.809)			(0.408)			(0.448)			(0.0459)			(2.750)			(0.708)			(7.740)			(4.843)			(0.471)			(0.473)			(0.0638)
_mother_edu3			2.342			-0.127			8.910			7.018**			-0.414			-0.258			0.0814			4.854***			0.597			10.12			4.484			-0.0340			-0.484			0.110**			4.867			0.731			24.33***			1.536			0.423			-0.333			-0.0973
			(2.245)			(0.524)			(7.489)			(3.124)			(0.408)			(0.367)			(0.0799)			(1.772)			(0.585)			(6.511)			(3.876)			(0.407)			(0.437)			(0.0472)			(2.969)			(0.722)			(7.933)			(4.848)			(0.517)			(0.492)			(0.0652)
_mother_edu4			1.724			0.841			17.32**			8.038**			-0.118			-0.290			-0.0281			6.071***			1.203**			18.99***			9.035**			-0.224			-0.515			0.0598			5.065*			0.138			23.27***			3.718			-0.281			-0.153			-0.0592
			(2.277)			(0.515)			(7.454)			(3.224)			(0.406)			(0.364)			(0.0841)			(1.721)			(0.569)			(6.403)			(3.753)			(0.364)			(0.383)			(0.0463)			(2.620)			(0.725)			(7.038)			(4.480)			(0.480)			(0.474)			(0.0630)
_mother_edu5			2.212			0.993			15.65*			10.75***			-0.879*			-0.476			-0.0352			4.740**			0.677			13.25			11.72***			-0.565			-0.566			0.0900			4.486			-0.0954			34.27***			-2.689			-1.384*			-1.092			-0.179**
			(2.365)			(0.630)			(8.097)			(3.654)			(0.473)			(0.402)			(0.0848)			(1.996)			(0.734)			(8.084)			(4.455)			(0.489)			(0.450)			(0.0666)			(3.221)			(1.007)			(11.60)			(6.048)			(0.829)			(0.719)			(0.0731)
_inc1			-4.479***			-0.933**			-13.96***			-1.395			-0.189			-0.0344			-0.0106			-2.555			-1.072**			-14.83**			1.341			-0.0410			-0.112			0.0186			-4.829**			-2.178***			-23.39***			-5.212			0.147			-0.200			-0.0535
			(1.350)			(0.400)			(4.491)			(2.719)			(0.276)			(0.246)			(0.0637)			(1.631)			(0.428)			(5.890)			(3.011)			(0.455)			(0.468)			(0.0499)			(1.961)			(0.644)			(7.628)			(4.353)			(0.481)			(0.418)			(0.0652)
_inc2			-4.357***			-1.007***			-9.043**			-3.706			0.414			0.290			-0.0479			-3.255**			-1.012***			-12.16**			-0.324			0.198			-0.159			-0.0170			-4.874**			-2.454***			-26.76***			-5.808			0.642			-0.133			0.0129
			(1.264)			(0.364)			(3.928)			(2.683)			(0.267)			(0.239)			(0.0559)			(1.267)			(0.364)			(4.860)			(2.591)			(0.375)			(0.374)			(0.0421)			(1.977)			(0.607)			(7.319)			(4.233)			(0.450)			(0.404)			(0.0590)
_inc3			-2.060**			-0.587**			-1.843			-2.520			0.506**			0.143			-0.0132			-2.542**			-1.199***			-9.268**			-1.584			0.435*			-0.135			0.00150			-1.535			-1.566***			-20.38***			-2.167			0.759*			-0.0132			0.0313
			(0.999)			(0.284)			(3.020)			(1.835)			(0.208)			(0.175)			(0.0346)			(1.075)			(0.300)			(3.677)			(2.016)			(0.249)			(0.212)			(0.0359)			(1.939)			(0.537)			(6.216)			(3.640)			(0.449)			(0.387)			(0.0602)
_inc4			-1.681**			-0.542**			-6.665**			-2.474			0.396**			0.254			0.00793			-1.264			-0.777***			-8.611**			-0.947			0.241			-0.0566			0.0251			-2.461			-1.782***			-17.35***			-4.424			0.211			-0.200			0.0331
			(0.850)			(0.270)			(2.897)			(1.706)			(0.200)			(0.157)			(0.0332)			(1.000)			(0.285)			(3.383)			(1.919)			(0.236)			(0.193)			(0.0363)			(2.078)			(0.689)			(6.572)			(3.556)			(0.457)			(0.383)			(0.0626)
Constant	29.50	-18.18	-43.51	18.88	8.797	10.14	683.9*	569.6	572.6	-34.78	-105.4	-92.08	2.973	6.984	2.779	-13.77	-8.352	-11.57	2.818	1.248	1.451	151.3	120.1	120.3	-16.70	-16.73	-13.93	527.5	520.8	578.6	-336.5	-374.8	-399.0	37.33	34.58	38.61	-22.24	-24.51	-27.11	6.264	6.316	6.460	173.0	67.07	98.56	-103.3*	-117.7**	-122.0**	637.5	503.0	892.5	-971.7***	-1,043***	-1,008***	37.23	26.83	32.88	-7.444	-14.47	-14.92	-1.848	-2.788	-2.175
	(158.3)	(159.6)	(150.8)	(43.54)	(42.74)	(40.35)	(379.5)	(386.7)	(383.7)	(243.5)	(245.3)	(242.5)	(35.26)	(35.78)	(32.47)	(28.29)	(28.12)	(27.45)	(6.071)	(5.990)	(5.950)	(126.8)	(130.0)	(120.2)	(46.53)	(46.73)	(43.16)	(470.8)	(481.0)	(465.6)	(300.9)	(316.7)	(297.0)	(36.76)	(36.14)	(33.97)	(26.80)	(27.32)	(25.76)	(5.382)	(5.549)	(5.492)	(161.1)	(166.4)	(167.5)	(57.21)	(57.81)	(58.04)	(657.8)	(650.2)	(606.7)	(367.3)	(357.5)	(352.3)	(42.97)	(41.69)	(40.42)	(33.78)	(34.13)	(34.21)	(8.225)	(7.699)	(7.708)
																																																															
Observations	1,251	1,251	1,251	1,165	1,165	1,165	1,150	1,150	1,150	1,159	1,159	1,159	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,187	1,227	1,227	1,227	1,134	1,134	1,134	1,114	1,114	1,114	1,124	1,124	1,124	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	1,158	558	558	558	500	500	500	497	497	497	500	500	500	515	515	515	515	515	515	515	515	515
R-squared	0.122	0.130	0.154	0.102	0.110	0.156	0.128	0.142	0.190	0.024	0.019	0.055	0.066	0.083	0.117	0.089	0.097	0.110	0.031	0.041	0.040	0.079	0.053	0.147	0.041	0.043	0.142	0.111	0.082	0.183	0.069	0.050	0.103			0.043	0.037	0.078	0.078	0.016	0.044	0.037	0.164	0.178	0.223	0.146	0.158	0.200	0.257	0.277	0.341	0.157	0.164	0.176	0.068	0.075	0.156	0.050	0.071	0.074	0.161	0.173	0.195
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
