	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	0.454	0.0897	-0.0319	-0.216	-0.208	-0.219	0.913	-0.0589	-0.310	-5.432*	-5.464**	-5.593**	-3.596	-4.043**	-4.145**	-1.606***	-1.614***	-1.624***	-0.979	-3.942	-4.011	-0.979	-1.679	-2.278	-3.635	-2.791	-2.795	0.0775	0.154	0.146	-13.92	-12.19	-12.24	-10.22	-8.707	-9.014
	(1.846)	(1.395)	(1.395)	(0.425)	(0.369)	(0.370)	(5.588)	(4.478)	(4.488)	(3.112)	(2.780)	(2.774)	(2.402)	(1.849)	(1.877)	(0.578)	(0.562)	(0.567)	(7.441)	(5.952)	(6.007)	(3.049)	(2.454)	(2.655)	(3.055)	(2.559)	(2.572)	(0.605)	(0.520)	(0.524)	(11.12)	(8.845)	(8.939)	(7.916)	(6.798)	(7.145)
motherage		-9.482	-8.812		-2.628	-2.578		-36.01	-34.76		11.64	12.25		-13.31	-13.08		-2.602	-2.587		-75.68**	-75.57**		6.454	7.371		-46.78***	-46.74***		-1.904	-1.900		-100.7*	-100.7*		3.553	3.724
		(9.462)	(9.472)		(3.251)	(3.253)		(30.58)	(30.54)		(18.46)	(18.54)		(10.81)	(10.83)		(4.811)	(4.822)		(35.20)	(35.19)		(19.53)	(19.84)		(16.41)	(16.39)		(6.655)	(6.675)		(53.22)	(53.27)		(39.04)	(39.78)
motheragesq		0.261	0.239		0.0891	0.0875		1.143	1.103		-0.433	-0.453		0.426	0.418		0.103	0.103		2.556**	2.553**		-0.286	-0.313		1.758***	1.757***		0.111	0.111		3.781*	3.783*		0.0691	0.0857
		(0.337)	(0.338)		(0.113)	(0.113)		(1.084)	(1.083)		(0.641)	(0.644)		(0.384)	(0.385)		(0.165)	(0.166)		(1.267)	(1.267)		(0.698)	(0.708)		(0.590)	(0.590)		(0.239)	(0.239)		(1.947)	(1.951)		(1.417)	(1.445)
motheragecub		-0.00222	-0.00198		-0.000986	-0.000970		-0.0114	-0.0110		0.00530	0.00550		-0.00419	-0.00411		-0.00132	-0.00131		-0.0280*	-0.0280*		0.00408	0.00436		-0.0206***	-0.0206***		-0.00172	-0.00173		-0.0444*	-0.0445*		-0.00218	-0.00253
		(0.00394)	(0.00395)		(0.00128)	(0.00128)		(0.0126)	(0.0126)		(0.00725)	(0.00728)		(0.00448)	(0.00448)		(0.00186)	(0.00186)		(0.0149)	(0.0149)		(0.00812)	(0.00822)		(0.00693)	(0.00693)		(0.00280)	(0.00280)		(0.0231)	(0.0232)		(0.0166)	(0.0170)
agefirstbirth		0.271***	0.255**		0.0293	0.0278		0.940***	0.905***		-0.0726	-0.0910		0.0671	0.0596		-0.0173	-0.0181		0.986***	0.980***		0.194	0.149		0.0912	0.0906		0.0618	0.0610		0.428	0.424		-0.148	-0.176
		(0.105)	(0.105)		(0.0284)	(0.0286)		(0.334)	(0.336)		(0.204)	(0.205)		(0.117)	(0.120)		(0.0339)	(0.0343)		(0.362)	(0.366)		(0.163)	(0.175)		(0.152)	(0.153)		(0.0379)	(0.0381)		(0.530)	(0.535)		(0.372)	(0.390)
_mother_edu1		-1.207	-1.287		-0.962**	-0.964**		-5.989	-6.028		4.995**	4.969**		-2.499*	-2.565*		-1.210**	-1.215**		-4.073	-4.103		2.432	2.160		-2.581	-2.586		-1.046*	-1.049**		-6.082	-6.095		1.557	1.459
		(1.669)	(1.669)		(0.410)	(0.411)		(5.444)	(5.427)		(2.414)	(2.411)		(1.405)	(1.425)		(0.541)	(0.544)		(4.586)	(4.589)		(2.517)	(2.550)		(1.624)	(1.625)		(0.534)	(0.535)		(6.290)	(6.307)		(3.301)	(3.304)
_mother_edu2		1.321	1.246		-0.0273	-0.0282		2.819	2.807		6.756***	6.745***		0.243	0.175		-0.228	-0.233		3.060	3.025		6.465***	6.165***		0.0876	0.0750		-0.392	-0.402		-1.728	-1.778		4.971*	4.634
		(1.569)	(1.570)		(0.362)	(0.362)		(4.871)	(4.860)		(2.174)	(2.174)		(1.278)	(1.298)		(0.494)	(0.497)		(4.124)	(4.137)		(2.215)	(2.249)		(1.400)	(1.411)		(0.465)	(0.466)		(5.554)	(5.578)		(2.981)	(3.023)
_mother_edu3		2.931*	2.855*		-0.0121	-0.0132		4.806	4.785		8.317***	8.308***		2.059	1.990		-0.251	-0.256		4.623	4.590		6.835***	6.549***		1.220	1.207		-0.342	-0.350		3.381	3.339		3.524	3.260
		(1.627)	(1.629)		(0.379)	(0.379)		(5.079)	(5.072)		(2.337)	(2.337)		(1.335)	(1.360)		(0.512)	(0.516)		(4.301)	(4.318)		(2.366)	(2.411)		(1.499)	(1.517)		(0.484)	(0.485)		(5.824)	(5.853)		(3.240)	(3.284)
_mother_edu4		3.843**	3.758**		0.707**	0.705**		10.86**	10.82**		10.71***	10.69***		3.126**	3.044**		0.423	0.417		11.72***	11.67***		10.15***	9.768***		3.885***	3.872***		-0.102	-0.114		6.900	6.834		7.557***	7.128**
		(1.583)	(1.582)		(0.357)	(0.357)		(4.867)	(4.857)		(2.191)	(2.191)		(1.258)	(1.281)		(0.494)	(0.499)		(4.144)	(4.162)		(2.230)	(2.263)		(1.442)	(1.453)		(0.489)	(0.490)		(5.726)	(5.763)		(2.876)	(2.909)
_mother_edu5		6.179***	6.117***		1.187***	1.186***		13.76**	13.76**		13.25***	13.25***		4.288***	4.210***		0.633	0.627		15.06***	15.03***		12.07***	11.76***		5.625**	5.617**		0.793	0.790		21.27**	21.26**		10.69**	10.54**
		(1.679)	(1.678)		(0.419)	(0.419)		(5.417)	(5.415)		(2.519)	(2.520)		(1.508)	(1.527)		(0.610)	(0.613)		(5.048)	(5.057)		(2.692)	(2.713)		(2.277)	(2.280)		(0.723)	(0.722)		(8.369)	(8.370)		(4.722)	(4.735)
height			5.019*			0.458			11.39			5.710			2.035			0.204			1.421			12.09**			0.504			0.473			2.621			16.52*
			(2.900)			(0.922)			(9.497)			(5.628)			(3.189)			(1.046)			(9.763)			(5.536)			(4.455)			(1.435)			(15.54)			(9.177)
Constant	58.33***	155.3*	142.5*	4.862***	35.03	33.88	131.9***	356.6	329.1	134.8***	-46.28	-60.46	84.08***	204.9**	200.4**	13.08***	40.88	40.43	56.92	808.7**	805.6**	109.4***	55.30	31.97	75.35***	458.9***	457.6***	4.849	25.60	24.66	47.31	914.8*	910.2*	161.0***	50.85	17.75
	(4.404)	(82.41)	(82.55)	(1.159)	(36.83)	(36.87)	(11.85)	(270.3)	(270.9)	(6.556)	(206.4)	(208.0)	(11.29)	(95.29)	(95.57)	(1.791)	(49.36)	(49.57)	(37.28)	(362.7)	(362.4)	(15.50)	(169.9)	(173.5)	(12.98)	(144.6)	(144.0)	(3.237)	(66.41)	(66.81)	(43.34)	(468.1)	(467.0)	(39.50)	(391.1)	(398.1)
																																				
Observations	2,499	2,499	2,499	2,337	2,337	2,337	2,305	2,305	2,305	2,324	2,324	2,324	2,475	2,475	2,475	2,304	2,304	2,304	2,271	2,271	2,271	2,290	2,290	2,290	1,103	1,103	1,103	989	989	989	978	978	978	985	985	985
R-squared	0.044	0.120	0.122	0.056	0.100	0.100	0.077	0.157	0.158	0.015	0.036	0.033	0.048	0.075	0.072				0.116	0.188	0.188	0.053	0.084	0.082	0.060	0.130	0.130	0.079	0.103	0.103	0.116	0.163	0.163			
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
