	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	2.150	2.729	2.575	0.0890	0.115	0.0968	12.12	11.67	10.93	-3.773	-3.829	-4.410	0.310	0.332	0.266	-0.819	-0.867	-0.879	-3.730	-4.382	-4.834	2.371	2.397	2.037	-7.544	-7.191	-7.172	-2.305	-2.025	-2.019	-32.46***	-32.68***	-32.57***	-3.987	-2.485	-2.760
		(2.302)	(2.307)		(0.522)	(0.524)		(7.190)	(7.216)		(3.338)	(3.363)		(1.783)	(1.791)		(0.677)	(0.683)		(5.761)	(5.800)		(3.711)	(3.733)		(3.545)	(3.528)		(1.013)	(1.011)		(10.06)	(10.04)		(4.012)	(4.024)
_mother_edu4		2.376	2.263		1.134**	1.121**		16.29**	15.75**		9.323***	8.914***		6.269***	6.188***		0.444	0.428		12.15**	11.60**		11.59***	11.15***		3.310	3.378		-0.0907	-0.0822		20.35**	20.49**		9.272**	8.911**
		(2.263)	(2.268)		(0.508)	(0.511)		(7.036)	(7.064)		(3.226)	(3.254)		(1.731)	(1.736)		(0.648)	(0.658)		(5.576)	(5.636)		(3.428)	(3.448)		(3.008)	(3.003)		(0.855)	(0.849)		(9.453)	(9.451)		(3.744)	(3.700)
_mother_edu5		4.689**	4.539*		1.660***	1.641***		24.11***	23.35***		14.37***	13.80***		6.632***	6.538***		0.561	0.543		11.65	11.03		13.88***	13.39***		4.690	4.745		0.433	0.434		41.77***	41.79***		4.471	4.347
		(2.384)	(2.388)		(0.594)	(0.597)		(7.642)	(7.644)		(3.698)	(3.718)		(2.035)	(2.041)		(0.749)	(0.756)		(7.279)	(7.348)		(4.213)	(4.207)		(3.869)	(3.870)		(1.181)	(1.182)		(13.71)	(13.71)		(5.605)	(5.589)
height			3.517			0.489			20.02			15.05**			2.059			0.404			14.14			11.37			-2.716			-0.505			-8.247			21.07*
			(3.917)			(1.062)			(12.73)			(6.998)			(4.482)			(1.530)			(16.00)			(8.393)			(6.992)			(2.723)			(22.03)			(11.57)
Constant	60.77***	221.2**	217.0**	8.724***	76.11***	76.11***	52.23	16.56	28.67	140.6***	336.3*	345.5*	76.76***	136.2	131.4	8.263***	32.91	32.44	135.0***	11.67	-4.942	120.2***	133.8	121.6	93.54***	434.4*	447.7*	19.69***	-94.37	-92.40	197.5***	1,526*	1,555*	121.2***	-1,059**	-1,140**
	(8.715)	(101.6)	(101.1)	(2.617)	(28.92)	(28.82)	(32.89)	(444.6)	(434.3)	(11.71)	(190.7)	(191.2)	(7.333)	(116.3)	(116.4)	(1.893)	(43.92)	(44.04)	(22.91)	(459.3)	(461.9)	(10.04)	(268.2)	(270.5)	(21.42)	(241.5)	(248.2)	(6.865)	(101.8)	(103.6)	(43.16)	(901.1)	(910.4)	(22.76)	(466.6)	(475.2)
																																				
Observations	1,696	1,696	1,696	1,572	1,572	1,572	1,552	1,552	1,552	1,567	1,567	1,567	1,228	1,228	1,228	1,131	1,131	1,131	1,111	1,111	1,111	1,124	1,124	1,124	525	525	525	472	472	472	469	469	469	471	471	471
R-squared	0.052	0.074	0.078	0.084	0.119	0.120	0.042	0.077	0.086	0.070	0.101	0.099	0.065	0.117	0.118	0.074	0.092	0.091	0.135	0.166	0.165	0.074	0.102	0.105	0.007	0.075	0.076					0.035	0.037	0.079	0.147	0.151
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
