	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-4.390*	-4.416*	-4.745**	-1.361	-1.386	-1.453	1.523	1.255	0.111	-18.64*	-18.68*	-19.22*	-0.347	-0.361	-0.404	-1.041**	-1.048**	-1.022**	0.0676	0.0668	0.0609	-9.480***	-9.552***	-9.268**	-3.724***	-3.804***	-3.866**	-9.879	-9.740	-8.367	5.502	5.960	8.666	-1.004	-0.987	-1.059	-1.210	-1.237	-1.386	0.0808	0.0828	0.107	-0.761	-0.983	-0.350	0.0856	-0.139	0.0608	-14.33	-14.22	-13.64	-12.64**	-15.51**	-14.08*	1.051**	1.131**	1.272**	-0.846***	-0.786***	-0.867**	-0.141***	-0.144**	-0.156**
	(2.399)	(2.395)	(2.406)	(1.122)	(1.112)	(1.025)	(8.783)	(8.807)	(8.625)	(10.93)	(10.88)	(10.51)	(0.528)	(0.522)	(0.525)	(0.447)	(0.436)	(0.463)	(0.0965)	(0.0959)	(0.0994)	(3.557)	(3.699)	(4.097)	(1.320)	(1.382)	(1.671)	(15.68)	(16.06)	(16.89)	(9.605)	(10.07)	(13.47)	(1.192)	(1.219)	(1.387)	(0.971)	(1.009)	(1.255)	(0.213)	(0.222)	(0.233)	(3.488)	(3.570)	(3.625)	(0.549)	(0.583)	(0.667)	(9.343)	(9.789)	(10.48)	(5.825)	(6.327)	(7.279)	(0.535)	(0.555)	(0.619)	(0.278)	(0.303)	(0.351)	(0.0538)	(0.0581)	(0.0738)
motherage	-0.939	-1.226	-0.470	-2.682	-2.790	-2.908	1.404	-0.327	-1.517	-27.47	-27.63	-26.81	0.485	0.440	0.375	-0.437	-0.431	-0.158	-0.202	-0.209	-0.170	-11.75	-11.42	-8.460	-7.827	-7.712	-5.814	-80.07*	-80.27*	-70.69*	6.919	6.767	4.854	-0.205	-0.184	-0.427	0.541	0.601	0.763	-0.218	-0.229	-0.280	-31.51*	-32.91*	-33.31*	-8.395	-9.570	-9.204	-7.645	-7.135	-15.22	-41.52	-57.34	-49.84	6.042	6.484	6.691	-2.968	-2.701	-2.764	-0.161	-0.184	-0.372
	(8.354)	(8.282)	(8.315)	(2.650)	(2.626)	(2.564)	(21.71)	(21.56)	(20.88)	(20.02)	(19.83)	(19.41)	(1.667)	(1.658)	(1.643)	(1.494)	(1.492)	(1.471)	(0.239)	(0.237)	(0.226)	(16.98)	(17.03)	(16.94)	(6.714)	(6.806)	(7.128)	(41.90)	(41.83)	(41.76)	(26.82)	(26.71)	(25.35)	(3.192)	(3.186)	(3.126)	(2.928)	(2.936)	(2.906)	(0.456)	(0.453)	(0.450)	(18.68)	(18.69)	(18.38)	(7.215)	(7.130)	(7.035)	(55.90)	(56.17)	(57.08)	(40.77)	(40.66)	(41.90)	(4.778)	(4.922)	(4.972)	(4.131)	(4.179)	(4.093)	(0.818)	(0.825)	(0.827)
motheragesq	0.0344	0.0458	0.00665	0.0908	0.0952	0.0942	0.0131	0.0837	0.0738	1.003	1.010	0.945	-0.0317	-0.0298	-0.0278	0.00547	0.00536	-0.00323	0.00707	0.00734	0.00581	0.392	0.380	0.269	0.285	0.281	0.211	2.958*	2.965*	2.613*	-0.223	-0.220	-0.146	0.00150	0.000555	0.00889	-0.0283	-0.0302	-0.0370	0.00710	0.00746	0.00943	1.172	1.227*	1.244*	0.339	0.386	0.370	0.130	0.109	0.391	1.963	2.597*	2.278	-0.271	-0.289	-0.306	0.118	0.107	0.104	0.000488	0.00139	0.00819
	(0.290)	(0.287)	(0.288)	(0.0913)	(0.0904)	(0.0885)	(0.760)	(0.754)	(0.729)	(0.693)	(0.686)	(0.671)	(0.0588)	(0.0584)	(0.0580)	(0.0532)	(0.0531)	(0.0524)	(0.00846)	(0.00836)	(0.00805)	(0.625)	(0.627)	(0.626)	(0.240)	(0.243)	(0.255)	(1.537)	(1.536)	(1.536)	(0.984)	(0.981)	(0.939)	(0.120)	(0.120)	(0.119)	(0.108)	(0.108)	(0.107)	(0.0163)	(0.0162)	(0.0162)	(0.731)	(0.734)	(0.721)	(0.275)	(0.273)	(0.269)	(2.146)	(2.161)	(2.177)	(1.559)	(1.575)	(1.630)	(0.185)	(0.191)	(0.194)	(0.156)	(0.158)	(0.157)	(0.0302)	(0.0305)	(0.0308)
motheragecub	-0.000605	-0.000741	-0.000231	-0.00103	-0.00109	-0.00104	-0.000852	-0.00169	-0.00128	-0.0117	-0.0117	-0.0108	0.000419	0.000396	0.000376	-2.72e-05	-2.72e-05	6.34e-05	-7.50e-05	-7.81e-05	-5.97e-05	-0.00484	-0.00469	-0.00331	-0.00354	-0.00350	-0.00264	-0.0353*	-0.0354*	-0.0311*	0.00219	0.00223	0.00137	-4.34e-05	-2.48e-05	-0.000125	0.000264	0.000288	0.000374	-7.93e-05	-8.43e-05	-0.000108	-0.0142	-0.0149	-0.0149	-0.00413	-0.00471	-0.00448	0.00326	0.00352	0.000321	-0.0274	-0.0351*	-0.0307	0.00368	0.00389	0.00420*	-0.00153	-0.00139	-0.00132	6.06e-05	5.00e-05	-3.16e-05
	(0.00317)	(0.00314)	(0.00314)	(0.000993)	(0.000984)	(0.000963)	(0.00841)	(0.00834)	(0.00804)	(0.00762)	(0.00754)	(0.00735)	(0.000647)	(0.000644)	(0.000639)	(0.000591)	(0.000590)	(0.000582)	(9.36e-05)	(9.25e-05)	(8.93e-05)	(0.00751)	(0.00754)	(0.00753)	(0.00279)	(0.00282)	(0.00296)	(0.0184)	(0.0184)	(0.0184)	(0.0117)	(0.0117)	(0.0113)	(0.00148)	(0.00148)	(0.00146)	(0.00129)	(0.00130)	(0.00129)	(0.000191)	(0.000190)	(0.000190)	(0.00918)	(0.00925)	(0.00909)	(0.00338)	(0.00336)	(0.00331)	(0.0264)	(0.0266)	(0.0267)	(0.0191)	(0.0195)	(0.0203)	(0.00232)	(0.00240)	(0.00245)	(0.00192)	(0.00194)	(0.00196)	(0.000366)	(0.000369)	(0.000375)
agefirstbirth	0.0277	0.0492	0.0750	-0.0429	-0.0377	-0.0159	0.118	0.232	0.422	-0.216	-0.210	-0.0672	0.0300	0.0309	0.0367	0.0287	0.0272	0.0178	-0.00349	-0.00314	-0.00400	0.217*	0.208	0.141	0.0599	0.0564	0.0340	1.608***	1.613***	1.336***	0.415**	0.407**	0.226	0.0107	0.00906	0.0151	-0.0182	-0.0194	-0.0162	-0.00119	-0.000867	-0.00299	0.268*	0.279*	0.104	0.0771**	0.0767**	0.0460	1.413***	1.410***	1.118***	-0.0973	-0.106	-0.175	-0.0203	-0.0186	-0.00980	-0.0504**	-0.0518***	-0.0393**	0.00242	0.00214	0.000275
	(0.169)	(0.163)	(0.162)	(0.0646)	(0.0628)	(0.0598)	(0.500)	(0.478)	(0.463)	(0.470)	(0.455)	(0.449)	(0.0389)	(0.0387)	(0.0384)	(0.0363)	(0.0361)	(0.0360)	(0.00401)	(0.00389)	(0.00382)	(0.127)	(0.131)	(0.120)	(0.0419)	(0.0431)	(0.0415)	(0.350)	(0.358)	(0.329)	(0.179)	(0.185)	(0.185)	(0.0246)	(0.0251)	(0.0243)	(0.0223)	(0.0228)	(0.0218)	(0.00328)	(0.00339)	(0.00309)	(0.147)	(0.148)	(0.130)	(0.0362)	(0.0369)	(0.0382)	(0.408)	(0.415)	(0.410)	(0.238)	(0.241)	(0.239)	(0.0245)	(0.0247)	(0.0257)	(0.0197)	(0.0196)	(0.0200)	(0.00359)	(0.00367)	(0.00386)
miss_motherage	-21.55	-22.49	-18.30	-30.04	-30.45	-32.11	7.389	2.692	-16.17	-265.8	-266.5	-263.0	-5.322	-5.564	-6.181	-6.141	-6.204	-3.613	-1.534	-1.557	-1.231	-125.4	-121.8	-95.75	-74.99	-72.92	-56.27	-711.8*	-715.0*	-626.4*	52.41	47.96	36.30	-5.762	-5.677	-8.120	1.171	2.028	3.118	-2.191	-2.316	-2.707																					
	(78.52)	(78.18)	(78.68)	(25.45)	(25.30)	(24.46)	(207.3)	(206.9)	(200.8)	(193.5)	(193.0)	(187.9)	(15.51)	(15.46)	(15.29)	(13.84)	(13.86)	(13.66)	(2.232)	(2.221)	(2.114)	(151.5)	(151.9)	(150.5)	(61.10)	(61.98)	(64.81)	(374.9)	(373.4)	(371.6)	(238.6)	(236.9)	(223.9)	(27.74)	(27.61)	(27.03)	(26.04)	(26.06)	(25.77)	(4.161)	(4.120)	(4.081)																					
height		-0.220	-0.830		1.255	1.000		0.686	-1.383		2.352	0.648		1.109	1.067		1.111	1.183		-0.0194	-0.0174		4.330	4.398		1.684	1.857		-2.246	-3.475		8.020	4.377		1.102	1.262		0.566	0.758		-0.179	-0.217		0.423	-2.141		2.115	1.944		-0.436	1.388		27.92**	24.93**		-1.030	-1.149		-0.253	0.0147		0.0825	0.0662
		(3.663)	(3.644)		(1.206)	(1.182)		(9.243)	(9.104)		(8.194)	(8.177)		(0.821)	(0.819)		(0.770)	(0.772)		(0.111)	(0.110)		(5.504)	(5.930)		(1.952)	(2.077)		(14.18)	(15.01)		(8.988)	(10.61)		(1.233)	(1.384)		(1.065)	(1.222)		(0.182)	(0.201)		(5.442)	(5.645)		(1.866)	(1.918)		(19.39)	(20.67)		(12.24)	(12.68)		(1.360)	(1.449)		(1.259)	(1.311)		(0.228)	(0.237)
miss_height		-3.805	-3.828		1.083	1.153		-21.82	-20.36		2.751	2.732		1.697	1.666		2.257	2.170		-0.114	-0.116		7.935	7.926		4.024	4.195		-5.571	-6.586		8.127	4.241		1.568	1.805		1.310	1.546		-0.324	-0.375		-1.452	-4.981		2.707	2.536		0.191	3.060		36.93*	33.20*		-1.661	-1.773		0.0452	0.379		0.168	0.141
		(6.792)	(6.690)		(2.312)	(2.222)		(17.77)	(17.56)		(18.06)	(17.47)		(1.471)	(1.453)		(1.393)	(1.393)		(0.202)	(0.199)		(10.16)	(10.85)		(3.488)	(3.701)		(28.17)	(28.70)		(17.88)	(21.06)		(2.398)	(2.616)		(2.084)	(2.355)		(0.373)	(0.393)		(9.148)	(9.292)		(3.054)	(3.094)		(32.57)	(33.89)		(19.75)	(19.99)		(2.237)	(2.338)		(2.088)	(2.153)		(0.382)	(0.389)
_mother_edu1			-7.398***			-2.524***			-18.38***			-16.66***			0.284			0.169			-0.0563			-3.361			-0.576			-13.28*			-14.16**			0.399			0.532			-0.0857			-9.193**			-2.581**			-11.40			-17.50***			-0.565			1.362***			0.0844
			(1.514)			(0.529)			(4.113)			(4.383)			(0.340)			(0.332)			(0.0567)			(2.431)			(0.879)			(7.930)			(5.671)			(0.630)			(0.561)			(0.105)			(3.643)			(1.136)			(10.30)			(5.520)			(0.754)			(0.371)			(0.0875)
_mother_edu2			-7.181***			-2.195***			-15.36***			-14.44***			0.348			-0.0326			-0.0967*			-5.935***			-1.497**			-17.20***			-11.46***			0.485			0.435			-0.0517			-10.40***			-2.703**			-10.09			-15.29***			0.145			1.720***			0.175*
			(1.621)			(0.510)			(4.602)			(4.002)			(0.374)			(0.326)			(0.0576)			(1.698)			(0.664)			(5.277)			(3.310)			(0.440)			(0.408)			(0.0643)			(3.584)			(1.179)			(10.37)			(5.557)			(0.793)			(0.423)			(0.0946)
_mother_edu3			-6.732***			-1.584***			-11.00***			-12.08***			0.238			-0.266			-0.0805			-4.675***			-1.459***			-13.79***			-5.827**			0.0656			-0.00771			-0.0385			-7.138**			-2.222**			-10.78			-13.60***			-0.568			1.022***			0.148*
			(1.284)			(0.406)			(3.566)			(3.282)			(0.307)			(0.268)			(0.0545)			(1.360)			(0.438)			(3.969)			(2.387)			(0.342)			(0.277)			(0.0513)			(3.469)			(1.115)			(10.01)			(4.991)			(0.737)			(0.336)			(0.0850)
_mother_edu4			-5.718***			-1.296**			-6.128			-11.28**			0.153			-0.421			-0.0753			-3.607**			-1.492***			-10.63***			-3.708			0.425			0.0786			0.000561			-5.472			-2.226**			-6.384			-17.73***			-0.659			0.652*			0.174*
			(1.430)			(0.506)			(4.336)			(4.510)			(0.349)			(0.299)			(0.0592)			(1.430)			(0.439)			(4.033)			(2.418)			(0.344)			(0.274)			(0.0526)			(3.467)			(1.079)			(9.959)			(4.885)			(0.730)			(0.359)			(0.0924)
_mother_edu5			-3.649***			-0.902***			-3.951			-5.697**			0.368			-0.199			-0.0184			-2.723**			-0.656*			-5.580			-3.221			0.0710			0.139			0.0202			-2.076			-1.443			-3.496			-12.35***			-0.536			0.776**			0.142
			(1.087)			(0.334)			(2.814)			(2.388)			(0.274)			(0.235)			(0.0463)			(1.292)			(0.386)			(3.516)			(2.067)			(0.313)			(0.252)			(0.0477)			(3.422)			(1.057)			(9.587)			(4.689)			(0.706)			(0.328)			(0.0912)
_mother_edu7			-6.260***			-0.984*			-7.971			-11.04***			-0.626			-0.397			0.000251			-3.072			0.0524			-11.39			-16.19**			0.225			0.721			0.00203			-6.156			-1.795			2.128			-17.75**			-1.031			1.090**			0.293**
			(2.204)			(0.542)			(5.755)			(3.022)			(0.391)			(0.442)			(0.0780)			(3.351)			(1.126)			(10.17)			(7.268)			(0.839)			(0.750)			(0.138)			(3.841)			(1.224)			(12.75)			(6.937)			(0.824)			(0.509)			(0.115)
Constant	85.94	88.07	88.31	46.66*	45.18*	49.72**	100.3	104.4	149.7	433.5**	430.4**	450.0**	8.082	6.552	6.899	10.85	9.067	6.614	1.514	1.578	1.442	194.9	185.7	166.0	103.6	99.45	82.64	832.1**	837.8**	759.6*	25.40	13.28	32.97	4.821	2.936	4.741	5.646	4.356	3.125	1.758	2.108	2.521	364.7**	375.2**	374.8**	-0.0450	-2.198	-0.281	-32.70	-35.67	44.69	166.5***	137.4***	151.1***	-1.086	0.191	0.0903	9.065***	9.136***	7.844***	0.739**	0.618	0.672
	(74.44)	(74.25)	(74.59)	(25.26)	(24.79)	(23.96)	(203.1)	(202.6)	(198.0)	(196.1)	(193.2)	(189.8)	(15.13)	(15.03)	(14.92)	(13.35)	(13.33)	(13.20)	(2.224)	(2.206)	(2.134)	(140.6)	(140.8)	(139.1)	(64.40)	(65.21)	(67.92)	(412.3)	(408.1)	(396.7)	(228.9)	(228.3)	(215.1)	(27.01)	(26.68)	(25.84)	(24.98)	(24.83)	(24.37)	(4.072)	(3.989)	(3.859)	(162.4)	(161.8)	(161.0)	(3.183)	(3.826)	(4.034)	(489.4)	(488.9)	(503.7)	(34.33)	(36.78)	(37.77)	(2.811)	(3.173)	(3.233)	(2.176)	(2.730)	(2.780)	(0.334)	(0.424)	(0.471)
																																																															
Observations	1,796	1,796	1,796	1,686	1,686	1,686	1,664	1,664	1,664	1,680	1,680	1,680	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,704	1,365	1,365	1,365	1,268	1,268	1,268	1,251	1,251	1,251	1,263	1,263	1,263	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284	1,284	654	654	654	581	581	581	571	571	571	576	576	576	588	588	588	588	588	588	588	588	588
R-squared	0.016	0.016	0.028				0.110	0.120	0.148				0.037	0.038	0.041				0.025	0.027	0.040							0.140	0.141	0.169	0.031	0.025	0.011							0.008	0.008	0.000	0.155	0.158	0.207	0.139	0.135	0.166	0.121	0.122	0.144				0.035	0.022	0.009	0.013	0.027	0.040	0.097	0.095	0.109
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
