	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	-4.063*	-4.195*	-4.160*	-0.581	-0.615	-0.627	3.276	1.645	1.600	-8.599*	-9.227**	-9.097**	-7.366***	-6.728***	-6.698***	-2.431***	-2.295***	-2.289***	-2.485	0.653	0.764	-1.793	-0.829	-0.817	-2.155	-2.171	-1.867	0.387	0.537	0.704	-9.805	-6.741	-5.002	-23.46***	-20.93***	-23.16***
	(2.321)	(2.255)	(2.261)	(0.542)	(0.531)	(0.532)	(8.486)	(8.333)	(8.352)	(4.393)	(4.513)	(4.474)	(2.514)	(2.442)	(2.437)	(0.496)	(0.571)	(0.566)	(8.382)	(7.084)	(7.063)	(3.660)	(3.450)	(3.448)	(4.231)	(4.060)	(4.204)	(1.095)	(1.096)	(1.148)	(15.54)	(14.91)	(16.13)	(8.222)	(7.218)	(7.639)
motherage		-8.152	-8.109		-0.435	-0.420		-6.025	-5.968		-23.60	-23.74		-15.82	-16.10		-7.931	-8.129		-125.2***	-126.7***		-30.49	-30.86		-45.96**	-44.98**		-14.31*	-13.83*		-26.29	-21.11		-102.8**	-109.5**
		(12.59)	(12.56)		(3.605)	(3.607)		(33.38)	(33.35)		(23.80)	(23.76)		(17.05)	(17.08)		(6.658)	(6.669)		(41.96)	(42.07)		(24.53)	(24.70)		(21.79)	(21.86)		(7.943)	(7.898)		(55.55)	(56.08)		(49.13)	(52.52)
motheragesq		0.328	0.326		0.00524	0.00508		0.434	0.433		0.922	0.924		0.655	0.665		0.296	0.303		4.758***	4.811***		1.181	1.193		1.778**	1.732**		0.544*	0.522*		1.007	0.770		4.362**	4.669**
		(0.473)	(0.472)		(0.131)	(0.131)		(1.214)	(1.214)		(0.879)	(0.878)		(0.625)	(0.626)		(0.238)	(0.238)		(1.554)	(1.556)		(0.919)	(0.924)		(0.808)	(0.812)		(0.301)	(0.299)		(2.172)	(2.208)		(1.891)	(2.032)
motheragecub		-0.00443	-0.00439		2.42e-06	1.13e-06		-0.00746	-0.00746		-0.0113	-0.0113		-0.00897	-0.00908		-0.00369	-0.00376		-0.0573***	-0.0580***		-0.0149	-0.0151		-0.0218**	-0.0212**		-0.00635*	-0.00606*		-0.00787	-0.00476		-0.0560**	-0.0601**
		(0.00577)	(0.00576)		(0.00153)	(0.00153)		(0.0144)	(0.0144)		(0.0105)	(0.0105)		(0.00752)	(0.00753)		(0.00277)	(0.00278)		(0.0187)	(0.0188)		(0.0111)	(0.0112)		(0.00972)	(0.00979)		(0.00365)	(0.00364)		(0.0270)	(0.0276)		(0.0233)	(0.0252)
agefirstbirth		-0.00388	-0.00387		0.0569	0.0567		0.597	0.596		0.161	0.163		0.305***	0.308***		0.0801**	0.0820**		1.680***	1.695***		0.428**	0.432**		0.153	0.158		0.0789*	0.0831*		1.037*	1.079*		-0.207	-0.260
		(0.186)	(0.186)		(0.0505)	(0.0505)		(0.528)	(0.527)		(0.349)	(0.349)		(0.112)	(0.112)		(0.0367)	(0.0371)		(0.332)	(0.334)		(0.184)	(0.185)		(0.152)	(0.152)		(0.0452)	(0.0462)		(0.569)	(0.586)		(0.358)	(0.378)
_mother_edu1		-0.517	-0.494		-1.066**	-1.081**		-5.806	-5.866		1.049	1.220		-1.260	-1.222		-0.753	-0.743		-0.249	-0.172		2.957	2.976		-3.988**	-3.881**		-0.533	-0.489		-7.891	-7.496		6.172	5.641
		(2.412)	(2.418)		(0.540)	(0.545)		(6.619)	(6.622)		(2.753)	(2.739)		(2.430)	(2.439)		(0.613)	(0.614)		(5.304)	(5.321)		(2.778)	(2.780)		(1.929)	(1.912)		(0.743)	(0.754)		(7.557)	(7.505)		(5.476)	(5.784)
_mother_edu2		-0.220	-0.203		-0.473	-0.482		-0.554	-0.587		2.773	2.866		-0.0865	-0.0506		-0.577	-0.567		2.962	3.041		7.572***	7.591***		-0.697	-0.583		-0.286	-0.219		-8.217	-7.558		6.368	5.503
		(2.284)	(2.286)		(0.488)	(0.490)		(6.053)	(6.052)		(2.484)	(2.466)		(2.422)	(2.430)		(0.511)	(0.512)		(5.085)	(5.100)		(2.576)	(2.577)		(1.749)	(1.742)		(0.592)	(0.592)		(7.150)	(7.219)		(5.288)	(5.622)
_mother_edu3		0.781	0.798		-0.130	-0.139		3.876	3.840		4.791*	4.895*		1.032	1.066		-0.506	-0.507		6.243	6.239		8.977***	8.975***		0.546	0.697		-0.302	-0.245		-3.633	-3.078		3.154	2.459
		(2.348)	(2.352)		(0.514)	(0.516)		(6.533)	(6.537)		(2.855)	(2.835)		(2.545)	(2.553)		(0.540)	(0.541)		(5.514)	(5.516)		(2.898)	(2.896)		(1.938)	(1.958)		(0.614)	(0.618)		(7.835)	(7.930)		(5.373)	(5.614)
_mother_edu4		2.564	2.580		0.0904	0.0811		5.916	5.881		7.834***	7.933***		1.415	1.464		0.178	0.191		10.10**	10.20**		9.563***	9.589***		3.837*	4.026*		0.331	0.420		-0.732	0.157		5.129	3.968
		(2.208)	(2.209)		(0.467)	(0.470)		(5.701)	(5.700)		(2.317)	(2.298)		(2.473)	(2.491)		(0.512)	(0.514)		(5.139)	(5.158)		(2.590)	(2.590)		(2.074)	(2.128)		(0.706)	(0.715)		(8.851)	(9.140)		(5.348)	(5.724)
_mother_edu5		6.109***	6.113***		0.880*	0.874*		9.424	9.401		11.85***	11.91***		4.232	4.259		0.830	0.828		15.30**	15.29**		12.08***	12.08***		5.382	5.405		1.822	1.851		5.413	5.651		20.02***	19.66***
		(2.333)	(2.328)		(0.510)	(0.512)		(5.886)	(5.887)		(2.446)	(2.442)		(2.710)	(2.712)		(0.586)	(0.587)		(6.076)	(6.064)		(3.178)	(3.179)		(3.857)	(3.821)		(1.159)	(1.142)		(12.11)	(11.88)		(6.746)	(7.085)
height			-0.949			0.611			2.296			-6.596			-1.585			-1.399			-10.87			-2.647			-4.054			-1.542			-15.96			20.48
			(3.583)			(1.077)			(9.194)			(6.426)			(4.661)			(1.446)			(12.28)			(7.187)			(6.066)			(2.017)			(25.62)			(17.63)
Constant	79.94***	188.1	189.0	4.224***	11.92	10.84	75.52***	200.0	195.6	142.7***	308.6	320.2	89.25***	242.8	248.4	17.03***	79.07	82.90	94.04***	1,135***	1,171***	117.0***	395.4*	404.3*	62.31***	446.9**	444.9**	3.898	108.4	108.0	84.00	-39.71	-45.76	223.6***	990.0**	1,017**
	(7.487)	(150.8)	(150.7)	(1.528)	(30.56)	(30.72)	(27.50)	(392.0)	(391.8)	(15.48)	(200.8)	(200.5)	(8.520)	(164.4)	(164.9)	(1.686)	(55.75)	(56.11)	(25.59)	(392.8)	(396.7)	(11.60)	(225.9)	(230.0)	(17.35)	(186.5)	(186.8)	(5.463)	(70.44)	(70.22)	(81.23)	(478.6)	(481.1)	(35.62)	(419.9)	(442.8)
																																				
Observations	1,624	1,624	1,624	1,539	1,539	1,539	1,518	1,518	1,518	1,534	1,534	1,534	1,147	1,147	1,147	1,077	1,077	1,077	1,062	1,062	1,062	1,073	1,073	1,073	474	474	474	425	425	425	417	417	417	421	421	421
R-squared	0.016	0.036	0.038	0.056	0.078	0.078	0.100	0.128	0.129					0.022	0.023				0.163	0.213	0.213	0.094	0.128	0.128	0.142	0.212	0.215	0.148	0.197	0.194	0.168	0.236	0.243			
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
