	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	0.112	0.745	0.665	-0.188	-0.183	-0.192	-8.401**	-7.136	-7.316*	-7.083*	-6.864*	-7.024*	-2.338	-3.322	-3.847	-1.356	-1.127	-1.205*	-12.31	-14.36	-15.72	-4.659	-4.337	-5.768	-1.807	-0.968	-0.732	0.309	0.482	0.596	-9.059	-12.16	-11.30	-0.644	0.0998	0.889
	(1.707)	(1.705)	(1.724)	(0.411)	(0.448)	(0.450)	(4.247)	(4.378)	(4.258)	(4.030)	(4.167)	(4.005)	(4.634)	(2.980)	(3.072)	(0.943)	(0.689)	(0.705)	(11.83)	(11.31)	(11.55)	(7.835)	(4.604)	(4.721)	(3.566)	(2.957)	(3.014)	(0.660)	(0.627)	(0.639)	(14.27)	(10.95)	(11.23)	(5.690)	(5.386)	(5.707)
motherage		1.530	2.880		-0.953	-0.800		-47.05	-42.99		18.83	21.61		-10.67	-9.964		4.411	4.449		-57.38	-56.69		25.26	25.92		-41.15**	-38.31*		17.04***	18.01***		-145.0**	-137.5**		106.2***	113.1***
		(13.76)	(13.76)		(4.709)	(4.688)		(48.69)	(48.46)		(28.85)	(28.62)		(13.94)	(14.06)		(5.064)	(5.119)		(54.80)	(55.55)		(28.59)	(29.52)		(20.00)	(19.76)		(6.457)	(6.443)		(68.34)	(67.28)		(40.38)	(40.27)
motheragesq		-0.224	-0.275		0.0387	0.0332		1.583	1.436		-0.683	-0.783		0.284	0.260		-0.126	-0.127		1.902	1.879		-0.960	-0.982		1.533**	1.439**		-0.559**	-0.591***		5.101**	4.851**		-3.614**	-3.841***
		(0.491)	(0.492)		(0.165)	(0.164)		(1.729)	(1.722)		(1.013)	(1.004)		(0.490)	(0.493)		(0.177)	(0.178)		(1.998)	(2.023)		(1.012)	(1.042)		(0.712)	(0.703)		(0.230)	(0.229)		(2.409)	(2.371)		(1.414)	(1.415)
motheragecub		0.00434	0.00492		-0.000395	-0.000333		-0.0162	-0.0146		0.00802	0.00913		-0.00183	-0.00155		0.00119	0.00120		-0.0202	-0.0199		0.0124	0.0127		-0.0176**	-0.0166**		0.00595**	0.00630**		-0.0583**	-0.0555**		0.0406**	0.0431***
		(0.00575)	(0.00577)		(0.00188)	(0.00187)		(0.0201)	(0.0200)		(0.0115)	(0.0114)		(0.00564)	(0.00567)		(0.00202)	(0.00203)		(0.0237)	(0.0240)		(0.0117)	(0.0120)		(0.00832)	(0.00822)		(0.00268)	(0.00267)		(0.0279)	(0.0275)		(0.0162)	(0.0163)
agefirstbirth		0.377**	0.363**		0.0160	0.0141		0.382	0.337		-0.171	-0.207		0.0780	0.0399		-0.0217	-0.0269		0.314	0.222		-0.0891	-0.187		0.161	0.165		0.0562	0.0579		0.317	0.327		0.336	0.344
		(0.159)	(0.161)		(0.0433)	(0.0435)		(0.446)	(0.440)		(0.370)	(0.361)		(0.216)	(0.223)		(0.0487)	(0.0495)		(0.782)	(0.799)		(0.335)	(0.351)		(0.204)	(0.208)		(0.0531)	(0.0540)		(0.677)	(0.687)		(0.342)	(0.351)
_mother_edu1		-4.093*	-4.056		-0.561	-0.547		-1.408	-1.055		5.340	5.595		-3.021	-3.214		-0.880	-0.917		-5.877	-6.510		1.956	1.283		-1.790	-1.635		-0.584	-0.494		1.025	1.721		1.277	1.908
		(2.478)	(2.493)		(0.599)	(0.599)		(8.662)	(8.625)		(3.816)	(3.798)		(2.026)	(2.084)		(0.764)	(0.776)		(8.564)	(8.699)		(4.273)	(4.385)		(2.684)	(2.675)		(0.745)	(0.754)		(8.262)	(8.217)		(4.470)	(4.497)
_mother_edu2		-0.0143	-0.0502		0.621	0.628		10.34	10.50		6.894**	7.014**		1.377	1.191		0.338	0.301		4.265	3.626		3.962	3.310		1.725	1.643		0.226	0.246		10.10	10.24		4.565	4.723
		(2.248)	(2.263)		(0.501)	(0.502)		(7.355)	(7.332)		(3.119)	(3.114)		(1.755)	(1.808)		(0.688)	(0.704)		(7.402)	(7.556)		(3.831)	(3.936)		(2.299)	(2.298)		(0.672)	(0.677)		(7.053)	(7.058)		(3.995)	(4.047)
_mother_edu3		1.712	1.716		0.205	0.217		9.916	10.22		7.476**	7.704**		2.880	2.692		0.00979	-0.0266		5.481	4.855		3.832	3.173		2.813	2.775		0.338	0.363		17.71**	17.91**		2.828	3.013
		(2.316)	(2.334)		(0.531)	(0.531)		(7.703)	(7.679)		(3.221)	(3.218)		(1.800)	(1.863)		(0.701)	(0.718)		(7.452)	(7.633)		(3.953)	(4.075)		(2.500)	(2.510)		(0.672)	(0.679)		(7.273)	(7.291)		(3.978)	(4.064)
_mother_edu4		2.187	2.101		1.371***	1.370***		21.29***	21.25***		10.14***	10.12***		4.569***	4.360**		0.846	0.805		15.38**	14.67**		9.170**	8.438**		4.231*	4.063*		0.232	0.187		21.40***	21.05***		6.679*	6.371
		(2.258)	(2.271)		(0.507)	(0.508)		(7.424)	(7.394)		(3.182)	(3.173)		(1.691)	(1.745)		(0.679)	(0.697)		(7.131)	(7.295)		(3.796)	(3.904)		(2.264)	(2.263)		(0.692)	(0.704)		(6.934)	(6.914)		(3.904)	(3.957)
_mother_edu5		4.172*	4.057*		1.710***	1.706***		20.86**	20.77**		11.99***	11.92***		4.044*	3.759*		0.365	0.317		14.93*	14.18		10.27**	9.505**		5.146*	4.995*		0.426	0.386		40.06***	39.75***		0.812	0.698
		(2.372)	(2.381)		(0.617)	(0.619)		(8.477)	(8.459)		(3.708)	(3.716)		(2.104)	(2.165)		(0.908)	(0.920)		(9.070)	(9.239)		(4.589)	(4.673)		(2.923)	(2.873)		(0.885)	(0.867)		(9.797)	(9.574)		(5.691)	(5.664)
height			7.519*			0.964			24.84*			17.60*			4.247			0.608			10.51			11.13			8.355			3.176			24.76			22.15**
			(4.346)			(1.358)			(15.09)			(9.250)			(4.421)			(1.473)			(16.04)			(8.547)			(6.371)			(2.042)			(19.62)			(11.28)
Constant	72.76***	75.44	54.28	7.313***	11.96	9.138	118.1***	488.5	414.5	147.6***	-32.06	-79.67	71.75***	131.5	118.7	12.11***	-29.92	-30.78	105.1***	618.1	599.0	110.2***	-192.2	-211.5	73.14***	385.1*	343.5*	7.860**	-167.5***	-182.5***	186.6*	1,546**	1,429**	109.5***	-850.7**	-951.8***
	(4.721)	(117.0)	(117.2)	(1.358)	(47.85)	(47.63)	(13.01)	(494.4)	(492.6)	(11.52)	(293.4)	(290.4)	(15.06)	(143.1)	(144.7)	(2.801)	(44.60)	(45.19)	(35.10)	(561.9)	(570.1)	(28.08)	(291.5)	(302.5)	(18.41)	(200.1)	(198.4)	(3.385)	(63.66)	(63.49)	(110.6)	(685.4)	(676.4)	(42.04)	(357.0)	(356.5)
																																				
Observations	1,305	1,305	1,305	1,209	1,209	1,209	1,194	1,194	1,194	1,203	1,203	1,203	1,277	1,277	1,277	1,178	1,178	1,178	1,158	1,158	1,158	1,168	1,168	1,168	582	582	582	522	522	522	519	519	519	522	522	522
R-squared	0.046	0.117	0.120	0.086	0.133	0.133	0.104	0.162	0.164				0.076	0.118	0.103		0.061	0.050	0.105	0.131	0.115	0.031	0.061	0.036	0.116	0.169	0.172	0.129	0.152	0.153	0.215	0.261	0.268	0.108	0.146	0.157
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
