	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
	(0.00273)	(0.00272)	(0.00275)	(0.00275)	(0.000763)	(0.000755)	(0.000754)	(0.000754)	(0.00694)	(0.00691)	(0.00687)	(0.00687)	(0.00470)	(0.00467)	(0.00469)	(0.00469)	(0.000573)	(0.000575)	(0.000579)	(0.000579)	(0.000527)	(0.000528)	(0.000528)	(0.000528)	(7.64e-05)	(7.65e-05)	(7.61e-05)	(7.61e-05)	(0.00421)	(0.00421)	(0.00418)	(0.00418)	(0.00142)	(0.00141)	(0.00138)	(0.00138)	(0.0135)	(0.0135)	(0.0135)	(0.0135)	(0.00874)	(0.00859)	(0.00835)	(0.00834)	(0.000939)	(0.000941)	(0.000933)	(0.000936)	(0.000855)	(0.000859)	(0.000851)	(0.000841)	(0.000158)	(0.000158)	(0.000159)	(0.000159)
agefirstbirth	0.263***	0.273***	0.156***	0.156***	0.0813***	0.0817***	0.0470***	0.0470***	1.144***	1.162***	0.819***	0.819***	0.384***	0.392***	0.194**	0.194**	-0.0315***	-0.0321***	-0.0301**	-0.0301**	-0.0239**	-0.0254**	-0.0227*	-0.0227*	0.00135	0.00149	0.000197	0.000197	0.346***	0.355***	0.184**	0.189***	0.104***	0.102***	0.0515**	0.0519**	1.547***	1.553***	1.109***	1.103***	0.543***	0.513***	0.268**	0.272**	-0.0206	-0.0200	-0.0201	-0.0224	-0.0330**	-0.0329**	-0.0327**	-0.0345**	-0.00163	-0.00150	-0.00340	-0.00318
	(0.0542)	(0.0542)	(0.0550)	(0.0550)	(0.0155)	(0.0156)	(0.0159)	(0.0159)	(0.158)	(0.157)	(0.154)	(0.154)	(0.0930)	(0.0926)	(0.0921)	(0.0921)	(0.0122)	(0.0122)	(0.0128)	(0.0128)	(0.0109)	(0.0110)	(0.0116)	(0.0116)	(0.00162)	(0.00163)	(0.00167)	(0.00167)	(0.0710)	(0.0709)	(0.0719)	(0.0717)	(0.0182)	(0.0184)	(0.0201)	(0.0202)	(0.188)	(0.189)	(0.198)	(0.198)	(0.121)	(0.121)	(0.126)	(0.125)	(0.0141)	(0.0141)	(0.0152)	(0.0152)	(0.0129)	(0.0130)	(0.0139)	(0.0140)	(0.00215)	(0.00219)	(0.00224)	(0.00224)
miss_motherage	-15.24	-15.72	-0.00488	-0.00488	-11.23	-11.10	-9.358	-9.358	-104.6	-103.3	-79.47	-79.47	-39.55	-39.08	-31.84	-31.84	1.377	1.343	1.006	1.006	5.347	5.322	5.512	5.512	-2.679	-2.679	-2.196	-2.196	-74.77	-86.89	-73.91	-75.29	-24.43	-26.77	-20.21	-20.17	-592.0**	-612.9**	-566.5*	-567.1*	137.6	116.9	155.0	155.5	11.82	10.04	9.013	9.274	27.61	27.31	27.57	27.77	-1.413	-1.390	-1.434	-1.458
	(63.63)	(63.51)	(63.05)	(63.05)	(18.04)	(17.82)	(17.60)	(17.60)	(163.4)	(162.7)	(162.6)	(162.6)	(104.7)	(104.4)	(106.0)	(106.0)	(12.45)	(12.46)	(12.57)	(12.57)	(11.70)	(11.75)	(11.71)	(11.71)	(1.682)	(1.684)	(1.649)	(1.649)	(93.97)	(93.90)	(93.92)	(94.04)	(32.51)	(32.38)	(31.83)	(31.84)	(300.6)	(301.0)	(306.5)	(307.1)	(198.0)	(194.8)	(187.5)	(187.3)	(20.85)	(20.95)	(20.71)	(20.72)	(19.16)	(19.21)	(18.92)	(18.74)	(3.514)	(3.521)	(3.542)	(3.538)
miss_agefirstbirth	7.280***	7.580***	4.341***	4.341***	2.035***	2.058***	1.067**	1.067**	31.95***	32.52***	22.65***	22.65***	9.190***	9.464***	3.658	3.658	-0.815**	-0.827**	-0.787**	-0.787**	-0.666**	-0.704**	-0.622*	-0.622*	0.0729	0.0768*	0.0443	0.0443	8.059***	8.302***	3.907**	4.261**	2.301***	2.239***	0.956*	0.994*	39.33***	39.48***	28.06***	27.53***	12.58***	11.75***	5.055	5.423*	-0.134	-0.116	-0.0986	-0.305	-0.509	-0.507	-0.481	-0.643*	0.0287	0.0321	-0.0119	0.00749
	(1.549)	(1.540)	(1.562)	(1.562)	(0.470)	(0.473)	(0.481)	(0.481)	(4.708)	(4.678)	(4.581)	(4.581)	(2.689)	(2.670)	(2.642)	(2.642)	(0.351)	(0.353)	(0.370)	(0.370)	(0.320)	(0.321)	(0.339)	(0.339)	(0.0461)	(0.0462)	(0.0467)	(0.0467)	(1.869)	(1.864)	(1.871)	(1.874)	(0.508)	(0.513)	(0.552)	(0.568)	(5.276)	(5.265)	(5.439)	(5.550)	(3.273)	(3.251)	(3.268)	(3.237)	(0.384)	(0.385)	(0.412)	(0.418)	(0.354)	(0.356)	(0.380)	(0.386)	(0.0605)	(0.0614)	(0.0612)	(0.0617)
_mother_edu1			-7.524***	-7.524***			-2.345***	-2.345***			-21.35***	-21.35***			-13.00***	-13.00***			0.183	0.183			0.0855	0.0855			-0.0650	-0.0650			-8.034***	-8.029***			-2.217***	-2.217***			-19.05***	-19.05***			-11.27***	-11.28***			0.0406	0.0404			0.168	0.168			-0.0415	-0.0415
			(1.252)	(1.252)			(0.370)	(0.370)			(3.376)	(3.376)			(2.109)	(2.109)			(0.301)	(0.301)			(0.266)	(0.266)			(0.0516)	(0.0516)			(1.401)	(1.406)			(0.405)	(0.405)			(4.470)	(4.475)			(2.612)	(2.603)			(0.351)	(0.347)			(0.304)	(0.301)			(0.0532)	(0.0534)
_mother_edu2			-6.532***	-6.532***			-1.833***	-1.833***			-15.07***	-15.07***			-7.849***	-7.849***			0.262	0.262			0.0955	0.0955			-0.0975**	-0.0975**			-7.175***	-7.212***			-2.224***	-2.228***			-18.34***	-18.29***			-11.64***	-11.68***			0.201	0.226			0.0927	0.112			-0.0187	-0.0211
			(1.255)	(1.255)			(0.357)	(0.357)			(3.354)	(3.354)			(1.871)	(1.871)			(0.317)	(0.317)			(0.273)	(0.273)			(0.0495)	(0.0495)			(1.478)	(1.482)			(0.419)	(0.419)			(4.556)	(4.569)			(2.754)	(2.744)			(0.368)	(0.362)			(0.321)	(0.317)			(0.0539)	(0.0541)
_mother_edu3			-5.817***	-5.817***			-1.227***	-1.227***			-10.71***	-10.71***			-6.262***	-6.262***			0.166	0.166			-0.121	-0.121			-0.104**	-0.104**			-5.579***	-5.627***			-1.635***	-1.642***			-12.60***	-12.51***			-5.308**	-5.376**			-0.154	-0.117			-0.0856	-0.0559			-0.0540	-0.0575
