	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-6.502***	-6.502***			-2.282***	-2.282***			-26.39***	-26.39***			-17.83***	-17.83***			-7.394***	-6.891***			-1.865***	-1.894***			-14.98**	-14.42**			-14.25***	-14.52***
			(1.533)	(1.533)			(0.535)	(0.535)			(5.311)	(5.311)			(2.887)	(2.887)			(1.615)	(1.570)			(0.528)	(0.534)			(6.354)	(6.397)			(3.119)	(3.126)
_mother_edu2			-7.015***	-7.015***			-1.985***	-1.985***			-20.58***	-20.58***			-13.51***	-13.51***			-6.041***	-5.585***			-1.507***	-1.533***			-15.82**	-15.31**			-9.283***	-9.533***
			(1.404)	(1.404)			(0.480)	(0.480)			(5.147)	(5.147)			(2.944)	(2.944)			(1.567)	(1.535)			(0.561)	(0.564)			(6.515)	(6.562)			(3.347)	(3.364)
_mother_edu3			-4.548***	-4.548***			-1.104***	-1.104***			-13.69***	-13.69***			-7.288***	-7.288***			-4.323***	-3.935***			-0.486	-0.505			-9.293*	-8.930			-5.305*	-5.469*
			(1.018)	(1.018)			(0.368)	(0.368)			(3.565)	(3.565)			(2.197)	(2.197)			(1.302)	(1.275)			(0.432)	(0.435)			(5.624)	(5.685)			(2.858)	(2.872)
_mother_edu4			-2.938***	-2.938***			-1.290***	-1.290***			-13.11***	-13.11***			-8.364***	-8.364***			-2.961**	-2.738**			-0.910**	-0.914**			-10.52*	-10.45*			-7.717**	-7.745**
			(1.068)	(1.068)			(0.380)	(0.380)			(3.668)	(3.668)			(2.319)	(2.319)			(1.329)	(1.298)			(0.453)	(0.454)			(5.597)	(5.648)			(3.090)	(3.098)
_mother_edu5			-2.134**	-2.134**			-0.475	-0.475			-6.059*	-6.059*			-5.179**	-5.179**			-0.407	-0.225			-0.168	-0.170			-0.0318	0.00188			-2.421	-2.427
			(0.893)	(0.893)			(0.346)	(0.346)			(3.188)	(3.188)			(2.082)	(2.082)			(1.217)	(1.173)			(0.408)	(0.410)			(5.242)	(5.288)			(2.707)	(2.717)
_mother_edu7			-4.452*	-4.452*			-1.582***	-1.582***			-21.39***	-21.39***			-14.35***	-14.35***			-6.011***	-5.527***			-1.205*	-1.226*			-16.59**	-16.18**			-13.60***	-13.80***
			(2.279)	(2.279)			(0.588)	(0.588)			(7.519)	(7.519)			(3.760)	(3.760)			(1.974)	(1.981)			(0.642)	(0.642)			(6.873)	(6.915)			(3.971)	(3.972)
height		9.398**	7.844*	7.844*		1.543	0.949	0.949		42.53***	35.09**	35.09**		21.58***	16.93**	16.93**		12.49**	7.869*	8.227*		1.996	0.702	0.643		36.36**	25.34	26.48		19.09**	10.15	9.609
		(4.282)	(4.172)	(4.172)		(1.087)	(1.087)	(1.087)		(14.88)	(14.07)	(14.07)		(7.131)	(6.843)	(6.843)		(4.886)	(4.686)	(4.656)		(1.378)	(1.375)	(1.376)		(16.21)	(16.15)	(16.12)		(8.533)	(8.261)	(8.220)
miss_height		12.63*	10.65	10.65		2.599	1.890	1.890		82.86***	73.91***	73.91***		32.85***	27.40**	27.40**		14.51*	9.337	10.43		1.371	-0.165	-0.303		61.28**	47.38*	50.02*		24.66*	14.50	13.22
		(7.222)	(7.080)	(7.080)		(1.941)	(1.936)	(1.936)		(25.81)	(24.58)	(24.58)		(12.57)	(11.84)	(11.84)		(8.450)	(8.118)	(8.063)		(2.400)	(2.364)	(2.365)		(28.40)	(28.07)	(28.05)		(14.86)	(14.18)	(14.11)
Constant	256.1**	245.9**	237.2**	237.2**	99.56***	98.33***	89.27***	89.27***	859.7**	804.1**	748.4*	748.4*	366.9**	354.3**	313.2**	313.2**	253.2*	269.4*	238.3	236.2	37.91	36.59	26.70	27.06	459.4	384.4	314.0	310.4	269.2	240.5	178.2	182.1
	(107.0)	(102.7)	(100.0)	(100.0)	(32.11)	(31.93)	(31.70)	(31.70)	(432.8)	(408.0)	(385.9)	(385.9)	(148.9)	(145.7)	(135.8)	(135.8)	(143.6)	(153.6)	(149.2)	(148.3)	(40.27)	(40.92)	(40.62)	(40.71)	(525.0)	(497.0)	(495.7)	(495.1)	(263.4)	(261.6)	(253.7)	(254.6)
																																
Observations	1,868	1,868	1,868	1,868	1,708	1,708	1,708	1,708	1,688	1,688	1,688	1,688	1,704	1,704	1,704	1,704	1,428	1,428	1,428	1,428	1,293	1,293	1,293	1,293	1,273	1,273	1,273	1,273	1,287	1,287	1,287	1,287
R-squared	0.107	0.112	0.134	0.134	0.112	0.114	0.147	0.147	0.149	0.159	0.190	0.190	0.111	0.118	0.163	0.163	0.110	0.123	0.164	0.174	0.108	0.118	0.148	0.149	0.175	0.181	0.203	0.205	0.085	0.093	0.135	0.137
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
