	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	0.279	0.283	0.153	0.153	-0.00847	-0.00892	-0.0442	-0.0442	0.0697	0.0680	-0.307	-0.307	-0.966	-0.958	-1.083	-1.083	-1.161**	-1.155**	-0.941*	-0.938*	-0.246	-0.242	-0.203	-0.206	-4.879***	-4.855***	-4.466***	-3.923***	-1.237	-1.232	-0.789	-1.000
	(0.406)	(0.407)	(0.407)	(0.407)	(0.120)	(0.121)	(0.118)	(0.118)	(1.226)	(1.226)	(1.226)	(1.226)	(0.761)	(0.760)	(0.746)	(0.746)	(0.524)	(0.525)	(0.523)	(0.526)	(0.165)	(0.164)	(0.162)	(0.163)	(1.499)	(1.497)	(1.483)	(1.493)	(0.968)	(0.967)	(0.932)	(0.934)
motherage	-4.120	-4.116	-3.062	-3.062	-0.0818	-0.0616	0.255	0.255	-11.08	-11.01	-8.043	-8.043	-15.92	-16.21	-15.55	-15.55	-18.86	-19.34	-14.94	-14.94	-10.03**	-10.27**	-8.665*	-8.655*	-135.6***	-137.0***	-124.7***	-126.3***	-37.65	-38.02	-30.87	-30.19
	(11.20)	(11.21)	(11.25)	(11.25)	(3.353)	(3.354)	(3.385)	(3.385)	(31.75)	(31.76)	(32.31)	(32.31)	(20.99)	(21.08)	(20.82)	(20.82)	(13.99)	(14.05)	(14.41)	(14.42)	(5.027)	(5.046)	(5.082)	(5.092)	(42.65)	(42.79)	(43.47)	(43.58)	(25.68)	(25.84)	(25.34)	(25.17)
motheragesq	0.200	0.198	0.149	0.149	-0.00417	-0.00462	-0.0187	-0.0187	0.644	0.643	0.507	0.507	0.674	0.680	0.635	0.635	0.792	0.808	0.636	0.636	0.386**	0.394**	0.332*	0.331*	5.141***	5.188***	4.715***	4.784***	1.447	1.459	1.194	1.163
	(0.427)	(0.427)	(0.426)	(0.426)	(0.122)	(0.122)	(0.123)	(0.123)	(1.163)	(1.163)	(1.180)	(1.180)	(0.792)	(0.795)	(0.783)	(0.783)	(0.521)	(0.523)	(0.537)	(0.537)	(0.183)	(0.184)	(0.185)	(0.185)	(1.576)	(1.580)	(1.600)	(1.605)	(0.958)	(0.964)	(0.947)	(0.940)
motheragecub	-0.00297	-0.00295	-0.00231	-0.00231	9.54e-05	9.84e-05	0.000276	0.000276	-0.0101	-0.0101	-0.00832	-0.00832	-0.00853	-0.00856	-0.00794	-0.00794	-0.0106*	-0.0108*	-0.00869	-0.00869	-0.00481**	-0.00490**	-0.00413*	-0.00412*	-0.0621***	-0.0627***	-0.0568***	-0.0575***	-0.0181	-0.0183	-0.0151	-0.0147
	(0.00529)	(0.00529)	(0.00524)	(0.00524)	(0.00144)	(0.00144)	(0.00145)	(0.00145)	(0.0138)	(0.0138)	(0.0140)	(0.0140)	(0.00964)	(0.00968)	(0.00951)	(0.00951)	(0.00635)	(0.00637)	(0.00655)	(0.00655)	(0.00217)	(0.00218)	(0.00219)	(0.00219)	(0.0190)	(0.0191)	(0.0192)	(0.0193)	(0.0116)	(0.0116)	(0.0115)	(0.0114)
agefirstbirth	0.0282	0.0278	0.0145	0.0145	0.0685	0.0683	0.0541	0.0541	0.732	0.731	0.604	0.604	0.110	0.112	0.123	0.123	0.425***	0.428***	0.340***	0.337***	0.125***	0.127***	0.0957***	0.0992***	1.900***	1.913***	1.662***	1.128***	0.505***	0.509***	0.432**	0.641***
	(0.205)	(0.205)	(0.201)	(0.201)	(0.0497)	(0.0497)	(0.0487)	(0.0487)	(0.552)	(0.552)	(0.538)	(0.538)	(0.352)	(0.355)	(0.352)	(0.352)	(0.107)	(0.108)	(0.107)	(0.125)	(0.0334)	(0.0337)	(0.0333)	(0.0383)	(0.322)	(0.325)	(0.333)	(0.370)	(0.180)	(0.181)	(0.186)	(0.209)
_mother_edu1			0.948	0.948			-0.911*	-0.911*			-6.443	-6.443			3.621	3.621			0.290	0.289			-0.250	-0.248			-1.461	-1.673			2.982	3.077
			(2.350)	(2.350)			(0.528)	(0.528)			(6.049)	(6.049)			(2.846)	(2.846)			(2.011)	(2.015)			(0.554)	(0.556)			(5.259)	(5.249)			(2.766)	(2.753)
_mother_edu2			1.140	1.140			-0.327	-0.327			-1.106	-1.106			4.994**	4.994**			1.862	1.860			0.0836	0.0867			1.373	0.929			7.600***	7.785***
			(2.240)	(2.240)			(0.475)	(0.475)			(5.564)	(5.564)			(2.519)	(2.519)			(1.902)	(1.909)			(0.468)	(0.471)			(4.750)	(4.740)			(2.415)	(2.389)
_mother_edu3			2.492	2.492			0.0848	0.0848			3.107	3.107			7.971***	7.971***			3.343*	3.339*			0.255	0.258			4.285	3.829			8.985***	9.182***
			(2.272)	(2.272)			(0.482)	(0.482)			(5.622)	(5.622)			(2.607)	(2.607)			(1.975)	(1.984)			(0.468)	(0.471)			(4.977)	(4.943)			(2.646)	(2.626)
_mother_edu4			3.342	3.342			0.178	0.178			5.564	5.564			9.258***	9.258***			3.543*	3.537*			0.915**	0.922**			8.338*	7.399			9.598***	9.975***
			(2.226)	(2.226)			(0.464)	(0.464)			(5.498)	(5.498)			(2.526)	(2.526)			(1.930)	(1.948)			(0.455)	(0.460)			(4.715)	(4.711)			(2.364)	(2.341)
_mother_edu5			6.330***	6.330***			0.884*	0.884*			9.361	9.361			12.05***	12.05***			6.588***	6.582***			1.617***	1.625***			13.28**	12.18**			12.09***	12.54***
			(2.356)	(2.356)			(0.514)	(0.514)			(5.908)	(5.908)			(2.809)	(2.809)			(2.186)	(2.213)			(0.518)	(0.526)			(5.639)	(5.674)			(2.983)	(2.955)
height		-1.789	-1.823	-1.823		0.436	0.560	0.560		1.532	2.473	2.473		-7.292	-7.336	-7.336		-2.564	-2.877	-2.887		-1.697	-1.714	-1.706		-10.14	-10.01	-11.28		-2.728	-2.651	-2.149
		(3.477)	(3.437)	(3.437)		(1.102)	(1.073)	(1.073)		(9.530)	(9.326)	(9.326)		(6.402)	(6.306)	(6.306)		(4.290)	(4.278)	(4.283)		(1.355)	(1.317)	(1.318)		(12.41)	(12.32)	(12.30)		(7.545)	(7.342)	(7.321)
