	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
_mother_edu1			-6.952***	-6.952***			-2.442***	-2.442***			-24.21***	-24.21***			-15.17***	-15.17***			-7.766***	-7.781***			-2.004***	-1.996***			-18.89***	-18.85***			-13.14***	-13.08***
			(0.927)	(0.927)			(0.301)	(0.301)			(3.216)	(3.216)			(1.773)	(1.773)			(1.081)	(1.076)			(0.389)	(0.390)			(3.769)	(3.766)			(1.971)	(1.962)
_mother_edu2			-6.942***	-6.942***			-1.999***	-1.999***			-19.33***	-19.33***			-9.491***	-9.491***			-6.879***	-6.878***			-1.882***	-1.881***			-20.08***	-20.08***			-9.324***	-9.325***
			(0.866)	(0.866)			(0.297)	(0.297)			(3.160)	(3.160)			(1.683)	(1.683)			(1.041)	(1.039)			(0.403)	(0.404)			(3.856)	(3.844)			(2.056)	(2.051)
_mother_edu3			-4.919***	-4.919***			-1.185***	-1.185***			-12.23***	-12.23***			-6.646***	-6.646***			-4.589***	-4.581***			-0.973***	-0.974***			-13.03***	-13.05***			-5.405***	-5.421***
			(0.681)	(0.681)			(0.239)	(0.239)			(2.536)	(2.536)			(1.411)	(1.411)			(0.884)	(0.881)			(0.347)	(0.348)			(3.282)	(3.273)			(1.731)	(1.726)
_mother_edu4			-3.548***	-3.548***			-1.216***	-1.216***			-10.70***	-10.70***			-5.641***	-5.641***			-3.050***	-3.036***			-1.056***	-1.063***			-12.05***	-12.11***			-5.740***	-5.811***
			(0.723)	(0.723)			(0.251)	(0.251)			(2.615)	(2.615)			(1.479)	(1.479)			(0.930)	(0.927)			(0.357)	(0.358)			(3.364)	(3.359)			(1.874)	(1.873)
_mother_edu5			-2.282***	-2.282***			-0.578**	-0.578**			-4.559*	-4.559*			-3.586***	-3.586***			-1.608*	-1.600*			-0.333	-0.333			-4.233	-4.243			-2.333	-2.342
			(0.637)	(0.637)			(0.226)	(0.226)			(2.381)	(2.381)			(1.334)	(1.334)			(0.826)	(0.823)			(0.324)	(0.325)			(3.063)	(3.055)			(1.630)	(1.627)
_mother_edu7			-6.087***	-6.087***			-1.159***	-1.159***			-15.78***	-15.78***			-12.13***	-12.13***			-6.546***	-6.473***			-1.372***	-1.385***			-18.61***	-18.70***			-12.34***	-12.47***
			(1.476)	(1.476)			(0.353)	(0.353)			(4.415)	(4.415)			(2.293)	(2.293)			(1.354)	(1.360)			(0.457)	(0.459)			(4.426)	(4.418)			(2.432)	(2.427)
height		3.969	2.502	2.502		1.182	0.646	0.646		19.41**	13.54*	13.54*		8.182*	4.208	4.208		6.277**	3.060	3.156		1.719*	0.895	0.862		19.40**	12.43	12.22		16.50***	10.89**	10.59**
