	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
	(0.000637)	(0.000644)	(0.000611)	(0.000710)	(0.000695)	(0.000657)	(0.000640)	(0.000640)	(0.000636)	(0.000667)	(0.000670)	(0.000661)	(0.000674)	(0.000673)	(0.000630)	(0.000644)	(0.000638)	(0.000630)	(0.000950)	(0.000936)	(0.000922)	(0.000580)	(0.000590)	(0.000554)	(0.000750)	(0.000751)	(0.000687)	(0.000795)	(0.000801)	(0.000767)	(0.000733)	(0.000760)	(0.000714)	(0.000798)	(0.000783)	(0.000751)	(0.000666)	(0.000665)	(0.000658)	(0.000862)	(0.000874)	(0.000860)	(0.000704)	(0.000713)	(0.000739)	(0.000973)	(0.000973)	(0.000947)	(0.000927)	(0.000917)	(0.000845)	(0.00102)	(0.00100)	(0.000988)	(0.000948)	(0.000936)	(0.000902)	(0.000902)	(0.000895)	(0.000896)	(0.00126)	(0.00120)	(0.00122)
agefirstbirth	0.0487***	0.0436**	0.0342**	0.0216	0.0174	0.00454	0.0313**	0.0247*	0.0112	0.00595	0.00358	-0.00172	-0.00414	-0.00201	-0.00319	-0.00459	-0.00191	0.000757	0.0220	0.0205	0.0235	0.0178	0.0110	0.00145	0.00239	0.00247	0.00191	0.0270*	0.0150	0.00507	0.0103	0.00307	0.000381	0.0363	0.0272	0.0174	0.0139	0.0101	0.0119	-0.0190	-0.00676	-0.00852	0.0281	0.0258	0.0108	0.0255	0.0194	0.0102	0.0487**	0.0384*	0.0104	0.0363*	0.0321	0.0284	0.00453	-0.000374	-0.00486	-0.000423	0.00249	0.00384	-0.0216	-0.0220*	-0.0218*
	(0.0169)	(0.0170)	(0.0159)	(0.0141)	(0.0145)	(0.0140)	(0.0132)	(0.0138)	(0.0139)	(0.0191)	(0.0193)	(0.0173)	(0.0157)	(0.0162)	(0.0142)	(0.0169)	(0.0177)	(0.0158)	(0.0327)	(0.0335)	(0.0331)	(0.0218)	(0.0208)	(0.0176)	(0.0142)	(0.0142)	(0.0142)	(0.0160)	(0.0168)	(0.0192)	(0.0209)	(0.0206)	(0.0170)	(0.0331)	(0.0290)	(0.0267)	(0.0432)	(0.0378)	(0.0349)	(0.0184)	(0.0170)	(0.0170)	(0.0195)	(0.0195)	(0.0186)	(0.0166)	(0.0179)	(0.0184)	(0.0220)	(0.0220)	(0.0200)	(0.0193)	(0.0200)	(0.0199)	(0.0170)	(0.0175)	(0.0161)	(0.0180)	(0.0181)	(0.0183)	(0.0137)	(0.0131)	(0.0125)
height		1.173**	0.955**		0.451	0.124		0.918*	0.586		1.161**	1.015*		-0.175	-0.168		-0.230	-0.164		1.278**	1.452**		0.641	0.287		-0.0689	-0.258		0.522	0.232		0.418	0.198		1.020*	0.971*		1.033**	1.095**		-0.298	-0.245		1.354*	0.996		1.392*	1.389*		1.538**	1.345**		1.190	1.133		1.144	0.981		0.429	0.389		0.765	0.693
		(0.466)	(0.457)		(0.506)	(0.495)		(0.492)	(0.476)		(0.546)	(0.535)		(0.503)	(0.489)		(0.476)	(0.474)		(0.572)	(0.571)		(0.504)	(0.480)		(0.532)	(0.502)		(0.534)	(0.524)		(0.527)	(0.502)		(0.541)	(0.534)		(0.519)	(0.538)		(0.499)	(0.502)		(0.722)	(0.691)		(0.797)	(0.776)		(0.676)	(0.625)		(0.760)	(0.759)		(0.742)	(0.714)		(0.691)	(0.700)		(0.733)	(0.722)
daily_cig_before_preg		-0.00484	0.00218		-0.00748*	0.000287		-0.0125**	-0.00338		0.00314	0.00724		-0.00575	-0.00654		0.000613	-0.00219		0.00285	0.00327		-0.00130	0.00499		-0.000449	0.00342		-0.0114**	-0.00519		-0.00136	0.000318		-0.000127	0.00168		0.00543	0.00450		0.0127**	0.0137**		0.00476	0.0111*		0.00149	0.00644		-0.00658	0.00140		-0.000165	0.00216		0.000639	0.00372		0.0104	0.00973		0.00187	0.00204
		(0.00451)	(0.00469)		(0.00451)	(0.00454)		(0.00503)	(0.00518)		(0.00512)	(0.00543)		(0.00459)	(0.00480)		(0.00458)	(0.00500)		(0.00574)	(0.00699)		(0.00537)	(0.00519)		(0.00530)	(0.00484)		(0.00553)	(0.00513)		(0.00522)	(0.00512)		(0.00532)	(0.00476)		(0.00541)	(0.00459)		(0.00573)	(0.00577)		(0.00622)	(0.00616)		(0.00659)	(0.00672)		(0.00629)	(0.00641)		(0.00609)	(0.00621)		(0.00628)	(0.00610)		(0.00662)	(0.00670)		(0.00673)	(0.00630)
weekly_alcohol_b_preg		0.00374	0.00505		0.000288	0.00104		0.00545	0.00717		0.000293	0.000417		-0.0129**	-0.0132**		-0.00481	-0.00577		-0.00541	-0.00395		0.00831**	0.00733**		0.000946	-0.000641		0.000106	-0.00102		0.00637	0.00536		-0.00755**	-0.00606*		-0.00431	-0.00432		0.00249	0.00224		0.00108	0.00218		-0.0112*	-0.0126**		-0.0125**	-0.0137**		-0.00662	-0.00715		-0.00922	-0.00613		-0.00367	-0.00329		-0.00711	-0.00556
		(0.00540)	(0.00546)		(0.00559)	(0.00545)		(0.00592)	(0.00584)		(0.00751)	(0.00745)		(0.00560)	(0.00547)		(0.00486)	(0.00489)		(0.00571)	(0.00587)		(0.00362)	(0.00349)		(0.00381)	(0.00374)		(0.00383)	(0.00360)		(0.00403)	(0.00395)		(0.00365)	(0.00331)		(0.00344)	(0.00348)		(0.00570)	(0.00547)		(0.00513)	(0.00485)		(0.00591)	(0.00561)		(0.00635)	(0.00602)		(0.00953)	(0.00944)		(0.00574)	(0.00542)		(0.00453)	(0.00479)		(0.00472)	(0.00472)
complications_during_preg		-0.0148	-0.00668		-0.127**	-0.110*		-0.0252	-0.00237		-0.0369	-0.0325		0.134**	0.129**		0.154**	0.152**		-0.0228	-0.0260		0.00827	0.00222		-0.0114	-0.0109		0.0206	0.0242		-0.0937	-0.103		0.0146	0.0150		0.102	0.103		0.0652	0.0631		-0.175*	-0.167*		-0.0815	-0.0754		-0.0165	-0.0367		0.00150	-0.0132		-0.0379	-0.0174		-0.0807	-0.0940		0.0883	0.0896
