	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																				
_mother_edu3		0.296	0.285		-0.0851	-0.0938		0.267	0.240		0.186	0.171		0.412**	0.397**		0.0130	0.00408		0.136	0.128		0.291	0.264		0.172	0.219		-0.102	-0.0704		0.507	0.478		0.147	0.143
		(0.217)	(0.218)		(0.197)	(0.198)		(0.241)	(0.241)		(0.195)	(0.195)		(0.186)	(0.184)		(0.205)	(0.203)		(0.196)	(0.199)		(0.217)	(0.213)		(0.384)	(0.375)		(0.384)	(0.389)		(0.322)	(0.337)		(0.270)	(0.281)
_mother_edu4		0.289	0.285		0.154	0.152		0.447*	0.426*		0.332*	0.326*		0.642***	0.623***		0.208	0.203		0.415**	0.402**		0.546**	0.513**		0.450	0.487		0.0466	0.0779		0.875***	0.858***		0.387	0.363
		(0.216)	(0.217)		(0.195)	(0.196)		(0.242)	(0.243)		(0.196)	(0.197)		(0.183)	(0.180)		(0.203)	(0.201)		(0.200)	(0.202)		(0.214)	(0.209)		(0.331)	(0.329)		(0.310)	(0.311)		(0.307)	(0.319)		(0.244)	(0.250)
_mother_edu5		0.429*	0.415*		0.267	0.268		0.677***	0.658**		0.720***	0.698***		0.543**	0.519**		0.172	0.164		0.228	0.208		0.760***	0.718***		0.432	0.448		0.127	0.162		1.325**	1.323**		0.0739	0.0585
		(0.231)	(0.231)		(0.233)	(0.234)		(0.256)	(0.256)		(0.229)	(0.230)		(0.218)	(0.215)		(0.248)	(0.247)		(0.252)	(0.254)		(0.257)	(0.253)		(0.459)	(0.432)		(0.520)	(0.521)		(0.523)	(0.547)		(0.345)	(0.358)
_inc1		-0.252**	-0.245*		-0.483***	-0.489***		-0.406**	-0.419**		-0.216*	-0.201		-0.451***	-0.441***		-0.385***	-0.403***		-0.517***	-0.505***		-0.178	-0.160		-0.424**	-0.475**		-0.471*	-0.486*		-0.501**	-0.466*		-0.325	-0.296
		(0.126)	(0.128)		(0.138)	(0.142)		(0.161)	(0.166)		(0.125)	(0.130)		(0.146)	(0.149)		(0.145)	(0.148)		(0.155)	(0.157)		(0.150)	(0.149)		(0.204)	(0.201)		(0.285)	(0.281)		(0.240)	(0.242)		(0.228)	(0.229)
_inc2		-0.257**	-0.259**		-0.352***	-0.365***		-0.332**	-0.358**		-0.129	-0.125		-0.416***	-0.414***		-0.349***	-0.366***		-0.465***	-0.461***		-0.136	-0.123		-0.515***	-0.539***		-0.505**	-0.523**		-0.654***	-0.651***		-0.202	-0.198
		(0.116)	(0.120)		(0.130)	(0.135)		(0.163)	(0.169)		(0.124)	(0.130)		(0.117)	(0.119)		(0.128)	(0.130)		(0.132)	(0.136)		(0.131)	(0.132)		(0.195)	(0.194)		(0.245)	(0.244)		(0.231)	(0.233)		(0.225)	(0.228)
