	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																				
_mother_edu1		-0.458***	-0.467***		-0.684***	-0.702***		-0.688***	-0.690***		-0.887***	-0.892***		-0.485***	-0.480***		-0.405**	-0.402**		-0.243	-0.218		-0.790***	-0.801***		-0.524*	-0.548**		-0.490	-0.491		-0.955***	-0.952***		-0.179	-0.180
		(0.142)	(0.139)		(0.163)	(0.164)		(0.180)	(0.177)		(0.168)	(0.169)		(0.169)	(0.165)		(0.193)	(0.191)		(0.211)	(0.215)		(0.186)	(0.186)		(0.284)	(0.278)		(0.323)	(0.326)		(0.350)	(0.343)		(0.304)	(0.309)
_mother_edu2		-0.578***	-0.593***		-0.630***	-0.643***		-0.560***	-0.560***		-0.557***	-0.576***		-0.333**	-0.346**		-0.258	-0.256		-0.248	-0.228		-0.350*	-0.352*		-0.530*	-0.562*		-0.114	-0.155		-1.107***	-1.066***		0.160	0.134
		(0.132)	(0.132)		(0.172)	(0.175)		(0.180)	(0.180)		(0.170)	(0.172)		(0.166)	(0.163)		(0.204)	(0.201)		(0.219)	(0.221)		(0.194)	(0.193)		(0.305)	(0.305)		(0.340)	(0.345)		(0.364)	(0.360)		(0.326)	(0.327)
_mother_edu3		-0.252**	-0.242**		-0.256*	-0.259*		-0.290**	-0.285**		-0.333**	-0.329**		-0.103	-0.103		0.120	0.117		0.00931	0.0131		-0.220	-0.221		-0.250	-0.275		0.122	0.0896		-0.748**	-0.723**		0.312	0.307
		(0.104)	(0.104)		(0.138)	(0.139)		(0.140)	(0.140)		(0.137)	(0.138)		(0.141)	(0.137)		(0.176)	(0.173)		(0.192)	(0.195)		(0.171)	(0.170)		(0.285)	(0.281)		(0.317)	(0.321)		(0.342)	(0.338)		(0.297)	(0.301)
_mother_edu4		-0.0919	-0.0926		-0.388***	-0.391***		-0.273*	-0.271*		-0.351**	-0.350**		0.00238	0.00819		-0.0426	-0.0369		-0.0325	-0.0226		-0.303*	-0.299*		-0.132	-0.136		0.0846	0.0621		-0.544	-0.521		0.184	0.187
		(0.109)	(0.108)		(0.142)	(0.142)		(0.143)	(0.142)		(0.141)	(0.142)		(0.143)	(0.139)		(0.179)	(0.176)		(0.188)	(0.191)		(0.176)	(0.174)		(0.286)	(0.281)		(0.304)	(0.307)		(0.333)	(0.330)		(0.294)	(0.297)
_mother_edu5		-0.107	-0.0979		-0.119	-0.119		-0.0729	-0.0652		-0.231*	-0.221*		0.107	0.114		0.158	0.163		0.242	0.250		-0.0765	-0.0685		0.0836	0.0606		0.108	0.0678		-0.430	-0.436		0.430	0.422
		(0.0929)	(0.0926)		(0.133)	(0.133)		(0.133)	(0.133)		(0.130)	(0.132)		(0.133)	(0.129)		(0.164)	(0.161)		(0.176)	(0.178)		(0.157)	(0.155)		(0.266)	(0.260)		(0.289)	(0.293)		(0.301)	(0.294)		(0.264)	(0.266)
_mother_edu7		-0.328	-0.335*		-0.318*	-0.327*		-0.617***	-0.615***		-0.617***	-0.629***		-0.486**	-0.464**		-0.136	-0.141		-0.420*	-0.385		-0.587**	-0.599***		-0.385	-0.393		-0.0153	-0.0327		-1.234***	-1.237***		0.0985	0.103
		(0.204)	(0.203)		(0.190)	(0.192)		(0.223)	(0.222)		(0.196)	(0.195)		(0.196)	(0.191)		(0.226)	(0.224)		(0.236)	(0.240)		(0.228)	(0.226)		(0.333)	(0.334)		(0.350)	(0.356)		(0.363)	(0.360)		(0.325)	(0.332)
_inc1		-0.197	-0.209		-0.0442	-0.0725		-0.309	-0.372		0.248	0.243		-0.309	-0.208		-0.0810	0.125		-0.0114	0.0916		-0.0865	-0.0873		-0.167	-0.173		0.440	0.560		0.500	0.455		-0.790	-0.760
		(0.441)	(0.445)		(0.433)	(0.436)		(0.366)	(0.337)		(0.598)	(0.599)		(0.406)	(0.438)		(0.400)	(0.387)		(0.379)	(0.402)		(0.368)	(0.369)		(0.320)	(0.336)		(0.469)	(0.409)		(0.368)	(0.385)		(0.532)	(0.534)
_inc2		-0.222*	-0.219*		-0.230*	-0.230*		-0.211*	-0.190		-0.193*	-0.200*		-0.398***	-0.400***		-0.204	-0.232		-0.290*	-0.253*		-0.116	-0.138		-0.363**	-0.392**		-0.138	-0.158		-0.222	-0.237		0.0404	0.0238
		(0.114)	(0.114)		(0.126)	(0.126)		(0.127)	(0.128)		(0.116)	(0.118)		(0.139)	(0.139)		(0.142)	(0.142)		(0.151)	(0.154)		(0.140)	(0.141)		(0.165)	(0.163)		(0.223)	(0.223)		(0.188)	(0.189)		(0.182)	(0.183)
_inc3		-0.247**	-0.251**		-0.214*	-0.219*		-0.252**	-0.239**		-0.208*	-0.218*		-0.425***	-0.426***		-0.197	-0.215		-0.276**	-0.245*		-0.201	-0.221		-0.189	-0.221		-0.243	-0.266		-0.204	-0.226		-0.0810	-0.0927
		(0.114)	(0.112)		(0.125)	(0.126)		(0.120)	(0.118)		(0.113)	(0.116)		(0.129)	(0.129)		(0.132)	(0.134)		(0.137)	(0.141)		(0.133)	(0.137)		(0.165)	(0.164)		(0.217)	(0.216)		(0.184)	(0.186)		(0.179)	(0.182)
_inc4		-0.0553	-0.0529		-0.0363	-0.0306		0.0252	0.0336		-0.0386	-0.0360		-0.267***	-0.263***		-0.141	-0.147		-0.0929	-0.0878		-0.0740	-0.0800		-0.00871	-0.0138		-0.0213	-0.0426		-0.105	-0.123		0.107	0.0988
		(0.0845)	(0.0834)		(0.0788)	(0.0784)		(0.0783)	(0.0778)		(0.0767)	(0.0762)		(0.103)	(0.101)		(0.104)	(0.103)		(0.0991)	(0.0991)		(0.101)	(0.101)		(0.166)	(0.164)		(0.217)	(0.218)		(0.178)	(0.178)		(0.172)	(0.171)
_inc6		0.202***	0.200***		0.226***	0.222***		0.163**	0.151**		0.0852	0.0807		0.128	0.115		0.288***	0.279***		0.265***	0.250**		0.111	0.0819		0.191	0.194		0.482**	0.476**		0.427**	0.435**		0.282	0.278
		(0.0663)	(0.0664)		(0.0704)	(0.0711)		(0.0722)	(0.0729)		(0.0738)	(0.0746)		(0.0927)	(0.0922)		(0.0935)	(0.0930)		(0.102)	(0.102)		(0.105)	(0.106)		(0.200)	(0.200)		(0.225)	(0.227)		(0.213)	(0.214)		(0.209)	(0.209)
height			0.419			-0.00546			0.894**			0.428			0.686			0.0809			1.066**			0.217			0.717			0.487			1.289**			-0.256
			(0.376)			(0.352)			(0.429)			(0.401)			(0.425)			(0.450)			(0.483)			(0.458)			(0.558)			(0.682)			(0.590)			(0.694)
daily_cig_before_preg			0.00457			0.00259			0.00198			0.00693**			0.00514			0.00491			-0.00132			0.00477			0.0114**			0.00227			0.00337			0.00367
			(0.00346)			(0.00345)			(0.00390)			(0.00351)			(0.00421)			(0.00428)			(0.00448)			(0.00425)			(0.00570)			(0.00596)			(0.00628)			(0.00572)
weekly_alcohol_b_preg			-0.000621			0.00419			-9.44e-05			-0.000723			0.00474			0.00295			-0.000781			0.00167			0.00619			-0.00705			-0.00767			-0.000782
			(0.00375)			(0.00335)			(0.00397)			(0.00498)			(0.00303)			(0.00364)			(0.00361)			(0.00465)			(0.00382)			(0.00531)			(0.00578)			(0.00870)
complications_during_preg			-0.0602			-0.0508			-0.0201			-0.0564			-0.0306			-0.0384			-0.0234			-0.143**			-0.0350			0.0643			0.0145			0.0839
			(0.0511)			(0.0503)			(0.0541)			(0.0516)			(0.0624)			(0.0639)			(0.0663)			(0.0662)			(0.0878)			(0.0940)			(0.0955)			(0.0978)
miss_height			0.607			0.162			1.913**			0.663			0.845			-0.130			1.660**			0.419			1.017			0.294			2.213**			-0.535
			(0.653)			(0.638)			(0.754)			(0.696)			(0.731)			(0.767)			(0.832)			(0.768)			(0.921)			(1.131)			(0.987)			(1.100)
