	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
			(0.129)			(0.141)			(0.113)			(0.147)			(0.157)			(0.159)			(0.187)			(0.180)			(0.207)			(0.181)			(0.222)			(0.235)			(0.239)			(0.257)			(0.361)			(0.366)			(0.335)			(0.353)			(0.340)			(0.291)			(0.318)
_mother_edu2			-0.536***			-0.626***			-0.299**			-0.575***			0.0932			-0.167			-0.225			-0.602***			-0.489***			-0.350**			-0.525***			0.133			0.00374			-0.0377			-0.696**			-0.579			0.0225			-0.859***			-0.157			0.562*			0.567*
			(0.147)			(0.156)			(0.127)			(0.197)			(0.180)			(0.176)			(0.196)			(0.154)			(0.174)			(0.148)			(0.166)			(0.203)			(0.197)			(0.195)			(0.352)			(0.369)			(0.336)			(0.321)			(0.346)			(0.294)			(0.330)
_mother_edu3			-0.513***			-0.431***			-0.200*			-0.525***			0.0365			-0.268*			-0.279			-0.441***			-0.339**			-0.196			-0.180			-0.0724			-0.128			-0.144			-0.488			-0.536			0.00577			-0.816***			-0.298			0.425*			0.406
			(0.123)			(0.132)			(0.104)			(0.175)			(0.154)			(0.145)			(0.187)			(0.133)			(0.137)			(0.124)			(0.138)			(0.179)			(0.160)			(0.174)			(0.345)			(0.350)			(0.324)			(0.307)			(0.326)			(0.259)			(0.314)
_mother_edu4			-0.451***			-0.364**			-0.163			-0.459**			-0.0200			-0.252			-0.250			-0.337**			-0.373***			-0.243*			-0.162			0.126			0.000841			-0.000327			-0.333			-0.510			0.0701			-0.940***			-0.256			0.392			0.450
			(0.135)			(0.145)			(0.116)			(0.205)			(0.168)			(0.156)			(0.196)			(0.137)			(0.134)			(0.131)			(0.138)			(0.180)			(0.163)			(0.184)			(0.349)			(0.336)			(0.318)			(0.307)			(0.324)			(0.257)			(0.315)
_mother_edu5			-0.278***			-0.242**			-0.0602			-0.248*			0.0656			-0.161			-0.119			-0.264**			-0.162			-0.116			-0.109			-0.00621			0.0286			0.0510			-0.0729			-0.432			0.0940			-0.781***			-0.232			0.523**			0.410
			(0.104)			(0.111)			(0.0872)			(0.131)			(0.140)			(0.127)			(0.166)			(0.125)			(0.119)			(0.114)			(0.121)			(0.167)			(0.150)			(0.166)			(0.343)			(0.325)			(0.311)			(0.302)			(0.313)			(0.244)			(0.313)
_mother_edu7			-0.776***			-0.218			-0.162			-0.685***			-0.388*			-0.449*			0.00733			-0.554**			-0.0986			-0.250			-0.605**			0.00431			0.118			0.0253			-0.337			-0.115			0.234			-1.180***			-0.348			0.111			0.828**
			(0.211)			(0.194)			(0.172)			(0.203)			(0.216)			(0.245)			(0.277)			(0.238)			(0.242)			(0.233)			(0.266)			(0.303)			(0.294)			(0.342)			(0.370)			(0.407)			(0.398)			(0.378)			(0.366)			(0.316)			(0.382)
_inc1			0.379			-0.357			-0.0934			0.282			-0.658***			-0.700***			0.569			-0.364			-0.245			0.0761			0.664			-0.887**			-1.048***			0.664			-0.0168			0.514			0.865			-0.316			-1.155**			0.0903			-0.406
			(0.370)			(0.386)			(0.232)			(0.385)			(0.205)			(0.167)			(0.526)			(0.312)			(0.435)			(0.337)			(0.454)			(0.375)			(0.245)			(0.677)			(0.374)			(0.361)			(0.609)			(0.526)			(0.475)			(0.471)			(0.484)
_inc2			-0.333***			-0.120			-0.440***			-0.114			0.0273			0.374***			-0.179			-0.150			-0.00575			-0.338**			-0.377*			0.0177			0.418*			-0.154			-0.0757			-0.371**			-0.129			-0.348			-0.122			0.231			0.00538
			(0.106)			(0.133)			(0.0965)			(0.200)			(0.120)			(0.139)			(0.125)			(0.146)			(0.166)			(0.162)			(0.229)			(0.208)			(0.227)			(0.226)			(0.187)			(0.189)			(0.197)			(0.263)			(0.213)			(0.208)			(0.233)
_inc3			-0.197**			-0.0993			-0.331***			-0.123			-0.0312			0.239**			-0.176			-0.156			-0.0858			-0.230**			-0.284**			0.0694			0.314**			-0.225			-0.0895			-0.153			-0.164			-0.195			0.128			0.243			-0.120
			(0.0935)			(0.107)			(0.0860)			(0.151)			(0.106)			(0.112)			(0.112)			(0.124)			(0.121)			(0.112)			(0.138)			(0.141)			(0.144)			(0.148)			(0.165)			(0.147)			(0.168)			(0.172)			(0.188)			(0.156)			(0.211)
_inc4			-0.0471			-0.149**			-0.168***			-0.0667			0.0891			0.165*			-0.0314			-0.175*			-0.110			-0.106			-0.0913			0.0577			0.219**			-0.178			-0.147			-0.00414			0.109			-0.0503			-0.0962			0.130			-0.120
			(0.0761)			(0.0708)			(0.0620)			(0.0830)			(0.0861)			(0.0903)			(0.0878)			(0.0971)			(0.0967)			(0.0867)			(0.0863)			(0.104)			(0.102)			(0.111)			(0.169)			(0.175)			(0.190)			(0.173)			(0.192)			(0.167)			(0.231)
_inc6			0.0520			-0.0233			-0.0106			-0.109			0.0362			-0.0337			0.0840			0.0120			0.228**			0.167**			0.110			0.0258			0.0267			-0.00285			0.358			0.0851			0.228			0.0570			0.0291			0.0583			0.0805
			(0.0666)			(0.0712)			(0.0610)			(0.0887)			(0.0860)			(0.0862)			(0.0884)			(0.0948)			(0.0960)			(0.0798)			(0.101)			(0.117)			(0.109)			(0.135)			(0.218)			(0.227)			(0.208)			(0.230)			(0.236)			(0.220)			(0.328)
Constant	0.528	1.962	0.815	4.101	4.750	3.436	0.129	0.732	0.140	6.196	7.530	6.313	2.998	2.740	2.236	5.499	4.616	4.352	7.168	8.089	6.068	6.614	8.221	6.919	12.93	13.28	11.11	17.11*	19.53**	17.77*	-10.62	-9.603	-12.34	-0.733	-0.965	-0.169	-8.082	-9.549	-8.142	1.464	2.234	1.946	26.99*	27.35*	30.53*	-3.754**	-4.307*	-2.965	0.714	0.945	1.495	1.616	0.503	2.283	10.15	10.84	10.54	19.27	18.11	15.40	5.413	6.448	9.302
	(6.332)	(6.260)	(6.065)	(6.875)	(6.839)	(6.635)	(5.377)	(5.378)	(5.492)	(7.480)	(7.649)	(7.661)	(6.276)	(6.273)	(6.256)	(7.022)	(7.115)	(7.300)	(6.241)	(6.201)	(5.965)	(9.946)	(9.683)	(9.561)	(14.02)	(13.64)	(13.57)	(9.855)	(9.432)	(9.415)	(12.38)	(11.56)	(11.38)	(11.97)	(12.00)	(12.04)	(13.92)	(13.98)	(13.86)	(14.09)	(13.75)	(14.05)	(15.45)	(15.53)	(16.13)	(1.813)	(2.275)	(2.083)	(1.946)	(2.141)	(1.931)	(3.496)	(4.348)	(3.795)	(20.69)	(20.51)	(20.26)	(19.46)	(19.24)	(19.39)	(25.85)	(25.78)	(25.58)
																																																															
Observations	2,249	2,249	2,249	2,110	2,110	2,110	2,081	2,081	2,081	2,103	2,103	2,103	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	1,677	1,677	1,677	1,559	1,559	1,559	1,538	1,538	1,538	1,553	1,553	1,553	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	779	779	779	697	697	697	685	685	685	691	691	691	707	707	707	707	707	707	707	707	707
R-squared	0.099	0.102	0.146	0.019	0.022	0.064	0.124	0.146	0.195				0.006	0.005	0.010				0.021	0.027	0.035		0.028	0.066				0.154	0.186	0.223	0.050	0.032	0.083							0.008	0.003	0.009	0.100	0.136	0.156	0.139	0.154	0.191	0.004	0.057	0.077	0.019	0.048	0.099				0.087	0.100	0.102	0.045	0.052	0.049
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
