	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
	(0.000269)	(0.000269)	(0.000263)	(0.000288)	(0.000288)	(0.000285)	(0.000237)	(0.000234)	(0.000234)	(0.000324)	(0.000328)	(0.000329)	(0.000285)	(0.000284)	(0.000286)	(0.000316)	(0.000317)	(0.000323)	(0.000273)	(0.000269)	(0.000271)	(0.000469)	(0.000458)	(0.000454)	(0.000644)	(0.000629)	(0.000624)	(0.000446)	(0.000435)	(0.000430)	(0.000522)	(0.000525)	(0.000506)	(0.000508)	(0.000511)	(0.000508)	(0.000570)	(0.000574)	(0.000571)	(0.000554)	(0.000551)	(0.000567)	(0.000747)	(0.000739)	(0.000762)	(0.000523)	(0.000924)	(0.000906)	(0.000507)	(0.000809)	(0.000815)	(0.000497)	(0.000832)	(0.000849)	(0.000997)	(0.000988)	(0.000971)	(0.000873)	(0.000869)	(0.000894)	(0.00114)	(0.00115)	(0.00114)
agefirstbirth	0.0196	0.0137	0.000879	0.00929	0.00483	-0.00521	0.0461***	0.0406***	0.0275**	-0.0213	-0.0242	-0.0345	-0.0311*	-0.0322*	-0.0317**	-0.0505***	-0.0492***	-0.0453***	0.0168	0.0162	0.0117	0.0105	0.00912	-0.00613	-0.00228	-0.00653	-0.0199	0.0426*	0.0387*	0.0186	0.0526**	0.0478*	0.0248	-0.0383*	-0.0372	-0.0335	-0.0517**	-0.0492*	-0.0397*	0.00749	0.00820	-0.00348	0.0140	0.0142	-0.0125	0.0389**	0.0334*	0.0159	0.00536	0.000249	-0.0128	-0.00357	-0.00854	-0.0233	0.0147	0.0120	0.00810	-0.0141	-0.00977	-0.00107	-0.0308*	-0.0366**	-0.0403**
	(0.0144)	(0.0150)	(0.0152)	(0.0194)	(0.0196)	(0.0179)	(0.0139)	(0.0139)	(0.0131)	(0.0351)	(0.0344)	(0.0324)	(0.0166)	(0.0165)	(0.0158)	(0.0177)	(0.0167)	(0.0160)	(0.0207)	(0.0201)	(0.0197)	(0.0163)	(0.0165)	(0.0133)	(0.0197)	(0.0190)	(0.0154)	(0.0235)	(0.0213)	(0.0162)	(0.0236)	(0.0286)	(0.0245)	(0.0215)	(0.0233)	(0.0205)	(0.0255)	(0.0275)	(0.0230)	(0.0295)	(0.0303)	(0.0239)	(0.0207)	(0.0210)	(0.0186)	(0.0180)	(0.0177)	(0.0170)	(0.0189)	(0.0175)	(0.0169)	(0.0313)	(0.0318)	(0.0282)	(0.0181)	(0.0178)	(0.0177)	(0.0242)	(0.0228)	(0.0211)	(0.0162)	(0.0168)	(0.0171)
miss_motherage	-0.209	-1.460	0.513	-3.526	-4.415	-2.523	-2.444	-3.120	-1.102	-1.132	-2.314	-0.256	-0.500	-0.622	0.317	0.420	0.336	0.678	-8.907	-9.634	-7.504	-6.944	-9.168	-7.183	-12.14	-13.76	-10.70	-19.58*	-22.86**	-19.82**	9.556	6.856	11.15	1.981	1.667	1.085	11.55	12.33	10.37	-2.864	-3.442	-2.761													-12.94	-13.99	-12.48	-20.50	-19.15	-17.54	-3.137	-4.093	-6.596
	(6.281)	(6.210)	(5.972)	(6.841)	(6.793)	(6.686)	(5.482)	(5.435)	(5.557)	(7.038)	(7.142)	(7.237)	(6.310)	(6.261)	(6.305)	(7.237)	(7.308)	(7.519)	(5.930)	(5.872)	(5.742)	(10.61)	(10.36)	(10.25)	(15.07)	(14.76)	(14.70)	(10.20)	(9.897)	(9.958)	(11.72)	(11.79)	(11.47)	(11.30)	(11.38)	(11.33)	(12.76)	(12.89)	(12.80)	(12.68)	(12.53)	(12.86)													(20.67)	(20.54)	(20.30)	(19.27)	(19.23)	(19.32)	(25.90)	(25.94)	(25.64)
miss_agefirstbirth	0.492	0.305	-0.0573	0.0233	-0.108	-0.394	1.346***	1.179**	0.779*	-1.020	-1.098	-1.385	-0.955*	-0.989*	-0.980*	-1.692***	-1.655***	-1.515***	0.674	0.650	0.531	0.0630	0.0525	-0.332	-0.368	-0.462	-0.787*	1.063	1.004	0.453	1.336*	1.250	0.592	-0.904	-0.884	-0.760	-1.263*	-1.224	-0.929	0.501	0.528	0.220	0.316	0.416	-0.177	0.785*	0.711	0.344	-0.0681	-0.105	-0.455	-0.167	-0.251	-0.560	0.725	0.658	0.659	0.200	0.261	0.462	-0.574	-0.671	-0.780*
	(0.494)	(0.515)	(0.520)	(0.677)	(0.684)	(0.621)	(0.481)	(0.481)	(0.450)	(1.232)	(1.209)	(1.135)	(0.570)	(0.565)	(0.537)	(0.611)	(0.573)	(0.543)	(0.718)	(0.698)	(0.676)	(0.487)	(0.491)	(0.396)	(0.587)	(0.569)	(0.462)	(0.706)	(0.642)	(0.489)	(0.704)	(0.855)	(0.732)	(0.640)	(0.697)	(0.614)	(0.760)	(0.823)	(0.689)	(0.884)	(0.913)	(0.719)	(0.546)	(0.546)	(0.494)	(0.472)	(0.459)	(0.439)	(0.523)	(0.473)	(0.463)	(0.816)	(0.818)	(0.732)	(0.501)	(0.493)	(0.487)	(0.673)	(0.629)	(0.593)	(0.405)	(0.413)	(0.417)
height		0.229	0.0443		0.402	0.300		0.301	0.0391		0.0628	-0.00141		0.352	0.365		0.515	0.693		-0.0234	-0.114		0.249	0.150		0.846	0.807		0.314	0.126		0.722*	0.507		0.352	0.435		0.443	0.637		-0.202	-0.313		-0.961*	-1.035*		0.289	0.211		-0.322	-0.425		0.784	0.592		0.356	0.304		-0.220	-0.167		0.0358	-0.0184
		(0.320)	(0.323)		(0.364)	(0.356)		(0.290)	(0.276)		(0.383)	(0.407)		(0.380)	(0.384)		(0.415)	(0.421)		(0.356)	(0.358)		(0.434)	(0.452)		(0.526)	(0.530)		(0.384)	(0.399)		(0.437)	(0.488)		(0.521)	(0.572)		(0.554)	(0.605)		(0.505)	(0.554)		(0.572)	(0.569)		(0.618)	(0.583)		(0.623)	(0.615)		(0.699)	(0.628)		(0.696)	(0.662)		(0.677)	(0.658)		(0.692)	(0.723)
daily_cig_before_preg		-0.00722**	-0.00126		-0.00806**	-0.00343		-0.0108***	-0.00342		-0.00865**	-0.00446		0.00148	0.00131		0.00877**	0.00525		0.000276	0.00358		-0.00921**	-0.00575		-0.00849*	-0.00656		-0.0162***	-0.0103***		-0.0163***	-0.00858**		0.00539	0.00446		0.00959*	0.00584		-0.00264	0.000821		-0.0141**	-0.0102		-0.0139**	-0.00874		-0.0140**	-0.00883		-0.0108*	-0.00654		-0.00144	-0.00144		0.00842	0.00632		-0.00668	-0.00592
		(0.00325)	(0.00321)		(0.00351)	(0.00353)		(0.00313)	(0.00312)		(0.00401)	(0.00390)		(0.00382)	(0.00397)		(0.00430)	(0.00441)		(0.00389)	(0.00392)		(0.00425)	(0.00412)		(0.00497)	(0.00473)		(0.00410)	(0.00356)		(0.00476)	(0.00430)		(0.00504)	(0.00476)		(0.00543)	(0.00508)		(0.00540)	(0.00451)		(0.00600)	(0.00625)		(0.00579)	(0.00563)		(0.00577)	(0.00580)		(0.00558)	(0.00573)		(0.00639)	(0.00623)		(0.00582)	(0.00608)		(0.00605)	(0.00655)
weekly_alcohol_b_preg		-0.00746**	-0.00749**		-0.00563	-0.00449		-0.00277	-0.00217		-0.00779*	-0.00741*		-0.00159	-0.00186		-0.00240	-0.00309		-0.00475	-0.00466		-0.000337	-0.000459		-0.000186	-0.000489		-0.00366	-0.00415		-0.00258	-0.00247		0.00166	0.00189		0.000199	0.000876		-0.00222	-0.00255		0.00137	0.00330		-0.00747	-0.00891*		0.00389	0.00301		-0.00507	-0.00643		-0.00237	-0.00310		-0.00420	-0.00393		0.00928	0.00862
