	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																				
_mother_edu1		-0.520***	-0.505***		-0.702***	-0.700***		-0.646***	-0.636***		-0.755***	-0.751***		-0.634***	-0.613***		-0.469***	-0.464***		-0.401***	-0.377***		-0.648***	-0.642***		-0.661***	-0.642***		-0.584**	-0.546**		-0.779***	-0.767***		-0.570**	-0.531**
		(0.0969)	(0.0966)		(0.109)	(0.110)		(0.112)	(0.111)		(0.110)	(0.111)		(0.110)	(0.109)		(0.135)	(0.137)		(0.130)	(0.130)		(0.123)	(0.124)		(0.227)	(0.226)		(0.232)	(0.236)		(0.280)	(0.280)		(0.239)	(0.242)
_mother_edu2		-0.502***	-0.506***		-0.598***	-0.599***		-0.456***	-0.458***		-0.509***	-0.509***		-0.514***	-0.507***		-0.493***	-0.488***		-0.370***	-0.352***		-0.432***	-0.432***		-0.722***	-0.734***		-0.493**	-0.470*		-0.804***	-0.794***		-0.414	-0.387
		(0.0892)	(0.0898)		(0.109)	(0.109)		(0.107)	(0.107)		(0.108)	(0.108)		(0.106)	(0.107)		(0.137)	(0.137)		(0.131)	(0.130)		(0.126)	(0.125)		(0.238)	(0.238)		(0.247)	(0.251)		(0.293)	(0.294)		(0.254)	(0.256)
_mother_edu3		-0.323***	-0.315***		-0.335***	-0.330***		-0.261***	-0.258***		-0.390***	-0.387***		-0.307***	-0.300***		-0.182	-0.186		-0.170	-0.161		-0.209*	-0.208*		-0.474**	-0.470**		-0.284	-0.274		-0.646**	-0.648**		-0.216	-0.202
		(0.0730)	(0.0730)		(0.0916)	(0.0918)		(0.0889)	(0.0888)		(0.0966)	(0.0964)		(0.0897)	(0.0895)		(0.116)	(0.116)		(0.113)	(0.113)		(0.109)	(0.108)		(0.225)	(0.223)		(0.230)	(0.234)		(0.280)	(0.280)		(0.244)	(0.246)
_mother_edu4		-0.211***	-0.211***		-0.373***	-0.371***		-0.247***	-0.246***		-0.368***	-0.365***		-0.170*	-0.168*		-0.224*	-0.226*		-0.191*	-0.190*		-0.244**	-0.243**		-0.355	-0.348		-0.242	-0.248		-0.451	-0.458*		-0.305	-0.298
		(0.0781)	(0.0781)		(0.0961)	(0.0961)		(0.0925)	(0.0923)		(0.109)	(0.108)		(0.0933)	(0.0930)		(0.118)	(0.119)		(0.114)	(0.114)		(0.113)	(0.112)		(0.227)	(0.225)		(0.228)	(0.231)		(0.278)	(0.278)		(0.241)	(0.242)
_mother_edu5		-0.151**	-0.144**		-0.173**	-0.168**		-0.0951	-0.0906		-0.207**	-0.201**		-0.0857	-0.0852		-0.0265	-0.0310		0.00599	0.00515		-0.103	-0.103		-0.0906	-0.0852		-0.177	-0.181		-0.366	-0.369		-0.109	-0.104
		(0.0640)	(0.0641)		(0.0825)	(0.0829)		(0.0812)	(0.0813)		(0.0825)	(0.0829)		(0.0838)	(0.0833)		(0.106)	(0.107)		(0.104)	(0.104)		(0.0988)	(0.0979)		(0.219)	(0.217)		(0.218)	(0.221)		(0.265)	(0.264)		(0.226)	(0.227)
_mother_edu7		-0.480***	-0.482***		-0.272**	-0.270**		-0.440***	-0.439***		-0.628***	-0.632***		-0.544***	-0.528***		-0.198	-0.198		-0.445***	-0.428***		-0.605***	-0.601***		-0.460*	-0.447*		-0.147	-0.111		-0.726**	-0.716**		-0.530**	-0.491*
