	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
	(0.000589)	(0.000588)	(0.000590)	(0.000548)	(0.000546)	(0.000552)	(0.000469)	(0.000467)	(0.000469)	(0.000601)	(0.000596)	(0.000602)	(0.000605)	(0.000603)	(0.000603)	(0.000585)	(0.000580)	(0.000593)	(0.000560)	(0.000563)	(0.000551)	(0.000762)	(0.000739)	(0.000747)	(0.00102)	(0.00100)	(0.000995)	(0.000660)	(0.000646)	(0.000652)	(0.000664)	(0.000639)	(0.000645)	(0.000872)	(0.000873)	(0.000840)	(0.000781)	(0.000780)	(0.000774)	(0.000816)	(0.000819)	(0.000819)	(0.00112)	(0.00118)	(0.00113)	(0.00124)	(0.00122)	(0.00116)	(0.000873)	(0.000907)	(0.000839)	(0.00139)	(0.00153)	(0.00161)	(0.00140)	(0.00145)	(0.00148)	(0.00105)	(0.00104)	(0.00114)	(0.00170)	(0.00174)	(0.00178)
agefirstbirth	-0.00154	-0.000906	-0.00683	0.0234	0.0223	0.0197	0.0175	0.0160	0.0118	0.0159	0.0145	0.0144	0.00682	0.00490	0.00991	-0.0226	-0.0227	-0.0176	-0.0250*	-0.0243	-0.0321*	0.0348***	0.0305***	0.0215*	0.0408***	0.0377***	0.0277**	0.0567***	0.0521***	0.0360***	0.0332***	0.0271***	0.0168	0.0170	0.0162	0.0116	0.00268	0.00398	0.00182	0.00273	0.00367	-0.00706	0.0378**	0.0329*	0.0136	0.0440***	0.0403***	0.0331**	0.0326*	0.0282	0.0247	-0.00277	-0.0112	-0.00845	-0.00646	-0.00287	-0.000154	-0.0280**	-0.0290**	-0.0202	0.00825	0.00617	0.000435
	(0.0197)	(0.0199)	(0.0196)	(0.0191)	(0.0187)	(0.0185)	(0.0185)	(0.0183)	(0.0178)	(0.0226)	(0.0218)	(0.0217)	(0.0263)	(0.0268)	(0.0263)	(0.0275)	(0.0272)	(0.0274)	(0.0148)	(0.0149)	(0.0164)	(0.0116)	(0.0118)	(0.0116)	(0.0132)	(0.0136)	(0.0131)	(0.0110)	(0.0112)	(0.0109)	(0.0104)	(0.0104)	(0.0104)	(0.0132)	(0.0133)	(0.0136)	(0.0124)	(0.0127)	(0.0129)	(0.0123)	(0.0125)	(0.0125)	(0.0173)	(0.0180)	(0.0161)	(0.0150)	(0.0153)	(0.0161)	(0.0168)	(0.0182)	(0.0176)	(0.0192)	(0.0211)	(0.0223)	(0.0143)	(0.0155)	(0.0161)	(0.0134)	(0.0145)	(0.0156)	(0.0186)	(0.0193)	(0.0207)
height		0.220	0.142		0.367	0.348		0.123	0.0772		-0.305	-0.337		0.894*	0.916**		0.905*	0.940**		5.56e-05	-0.112		0.107	0.0924		-0.417	-0.429		-0.246	-0.333		-0.261	-0.285		0.530	0.558		-0.0241	-0.0245		-0.357	-0.456		-0.0117	-0.150		0.0535	-0.146		0.116	-0.0932		1.653	1.828		-0.655	-0.297		0.702	0.904		-0.140	-0.176
		(0.382)	(0.364)		(0.413)	(0.399)		(0.333)	(0.324)		(0.399)	(0.397)		(0.472)	(0.465)		(0.467)	(0.465)		(0.490)	(0.485)		(0.481)	(0.478)		(0.563)	(0.550)		(0.453)	(0.449)		(0.444)	(0.440)		(0.559)	(0.549)		(0.524)	(0.519)		(0.605)	(0.605)		(0.726)	(0.726)		(0.801)	(0.797)		(0.864)	(0.877)		(1.137)	(1.215)		(0.860)	(0.862)		(0.874)	(0.885)		(1.136)	(1.136)
daily_cig_before_preg		-0.000504	0.00509		-0.00591	-0.00187		-0.00742**	-0.00211		-0.00858**	-0.00295		-0.000879	-0.000529		0.00594	0.00442		-0.00134	0.00288		-0.0125**	-0.0105**		-0.0119**	-0.0103*		-0.0161***	-0.0103**		-0.0213***	-0.0174***		0.000215	0.00400		0.00384	0.00474		-0.00142	0.00186		-0.0198**	-0.0121		-0.0300***	-0.0217***		-0.0266***	-0.0159*		-0.0210*	-0.0229*		0.00139	-0.00144		0.00810	-0.000385		-0.00290	-0.00308
		(0.00438)	(0.00431)		(0.00430)	(0.00447)		(0.00367)	(0.00376)		(0.00430)	(0.00450)		(0.00492)	(0.00505)		(0.00534)	(0.00545)		(0.00419)	(0.00421)		(0.00518)	(0.00512)		(0.00532)	(0.00534)		(0.00481)	(0.00472)		(0.00438)	(0.00448)		(0.00574)	(0.00566)		(0.00583)	(0.00601)		(0.00572)	(0.00569)		(0.00855)	(0.00923)		(0.00751)	(0.00840)		(0.00761)	(0.00887)		(0.0118)	(0.0138)		(0.00987)	(0.00955)		(0.00977)	(0.0100)		(0.00911)	(0.0102)
weekly_alcohol_b_preg		-0.00777**	-0.00703*		-0.00556	-0.00472		-0.00261	-0.00141		-0.00456	-0.00360		0.00338	0.00297		0.00503	0.00417		-0.00498	-0.00396		0.00318	0.00255		0.00392	0.00307		-0.0121**	-0.0125***		-0.00215	-0.00222		0.00276	0.00269		0.00435	0.00427		-0.00355	-0.00411		0.00741	0.0120*		-0.00329	-0.00624		-0.000404	-0.00178		0.00917	0.00738		-0.00968	-0.0101		0.00372	0.00463		0.00987	0.00967
		(0.00390)	(0.00411)		(0.00426)	(0.00407)		(0.00350)	(0.00343)		(0.00422)	(0.00399)		(0.00387)	(0.00391)		(0.00510)	(0.00506)		(0.00345)	(0.00346)		(0.00613)	(0.00607)		(0.00629)	(0.00655)		(0.00473)	(0.00441)		(0.00428)	(0.00402)		(0.00599)	(0.00565)		(0.00578)	(0.00598)		(0.00785)	(0.00782)		(0.00677)	(0.00694)		(0.00648)	(0.00694)		(0.00729)	(0.00784)		(0.0138)	(0.0151)		(0.00944)	(0.00888)		(0.0124)	(0.0135)		(0.0114)	(0.0111)
complications_during_preg		0.0503	0.0472		-0.0511	-0.0399		-0.0123	-0.00541		-0.0554	-0.0472		-0.121*	-0.129**		0.000709	0.00333		0.0540	0.0566		-0.00158	-0.0173		0.0347	0.0560		-0.130**	-0.141**		-0.000860	-0.0172		0.0668	0.0574		0.0510	0.0619		0.0259	0.0308		-0.0109	-0.0413		0.0740	0.0574		-0.135	-0.149		0.125	0.128		0.0586	0.0502		-0.0235	-0.0167		-0.0720	-0.0235
