	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
	(0.000374)	(0.000374)	(0.000366)	(0.000363)	(0.000363)	(0.000356)	(0.000340)	(0.000339)	(0.000348)	(0.000355)	(0.000354)	(0.000350)	(0.000416)	(0.000417)	(0.000417)	(0.000414)	(0.000411)	(0.000412)	(0.000390)	(0.000391)	(0.000388)	(0.000491)	(0.000489)	(0.000492)	(0.000631)	(0.000630)	(0.000616)	(0.000530)	(0.000526)	(0.000534)	(0.000490)	(0.000488)	(0.000479)	(0.000580)	(0.000581)	(0.000567)	(0.000503)	(0.000505)	(0.000506)	(0.000577)	(0.000581)	(0.000572)	(0.000848)	(0.000838)	(0.000807)	(0.00123)	(0.00122)	(0.00116)	(0.00101)	(0.00101)	(0.000954)	(0.00131)	(0.00135)	(0.00132)	(0.00103)	(0.00103)	(0.00104)	(0.000797)	(0.000797)	(0.000769)	(0.00105)	(0.00106)	(0.00107)
agefirstbirth	-0.0101	-0.0104	-0.0146	0.0227**	0.0217**	0.0172	0.00898	0.00826	0.00219	0.0329**	0.0318**	0.0285**	0.0132	0.0118	0.00976	0.00470	0.00513	0.00582	-0.0141	-0.0148	-0.0194	0.0296***	0.0251***	0.00786	0.0345***	0.0329***	0.0206**	0.0476***	0.0423***	0.0251***	0.0232***	0.0185**	0.00836	0.0147	0.0137	0.0120	0.0145	0.0150	0.0154	0.00620	0.00770	0.00112	0.0291**	0.0266**	0.00556	0.0271*	0.0251*	0.0111	0.0332**	0.0267	0.00964	0.00934	0.00144	-0.00567	-0.00508	-0.00543	-0.000537	-0.0224**	-0.0210*	-0.0179	-0.00768	-0.00793	-0.0123
	(0.0168)	(0.0166)	(0.0153)	(0.0111)	(0.0110)	(0.0105)	(0.0140)	(0.0139)	(0.0136)	(0.0133)	(0.0131)	(0.0134)	(0.0163)	(0.0164)	(0.0163)	(0.0152)	(0.0151)	(0.0152)	(0.0208)	(0.0207)	(0.0209)	(0.00855)	(0.00862)	(0.00867)	(0.00858)	(0.00869)	(0.00844)	(0.00830)	(0.00838)	(0.00862)	(0.00802)	(0.00787)	(0.00777)	(0.00939)	(0.00944)	(0.00960)	(0.00911)	(0.00919)	(0.00939)	(0.0110)	(0.0110)	(0.0109)	(0.0126)	(0.0127)	(0.0121)	(0.0140)	(0.0150)	(0.0151)	(0.0159)	(0.0171)	(0.0162)	(0.0161)	(0.0175)	(0.0164)	(0.0139)	(0.0144)	(0.0139)	(0.0106)	(0.0111)	(0.0112)	(0.0138)	(0.0141)	(0.0141)
height		0.428	0.280		0.314	0.168		0.461*	0.314		0.425	0.298		0.0406	0.0857		0.188	0.241		-0.0582	-0.127		0.340	0.110		-0.163	-0.305		0.343	0.148		0.305	0.189		0.478	0.422		0.310	0.314		-0.332	-0.371		-0.265	-0.623		-0.196	-0.366		0.253	0.0361		1.085*	1.024		0.423	0.528		0.524	0.544		-0.0340	-0.151
		(0.276)	(0.268)		(0.287)	(0.280)		(0.266)	(0.260)		(0.292)	(0.289)		(0.329)	(0.326)		(0.315)	(0.314)		(0.347)	(0.346)		(0.328)	(0.324)		(0.396)	(0.393)		(0.340)	(0.345)		(0.337)	(0.334)		(0.373)	(0.372)		(0.346)	(0.341)		(0.395)	(0.396)		(0.509)	(0.494)		(0.591)	(0.586)		(0.592)	(0.575)		(0.644)	(0.632)		(0.554)	(0.552)		(0.530)	(0.524)		(0.737)	(0.735)
daily_cig_before_preg		-0.00187	0.00277		-0.00343	0.00110		-0.00311	0.00212		-0.00364	0.000666		-0.00446	-0.00460		0.00208	0.000320		-0.000678	0.00148		-0.00847**	-0.00337		-0.00492	-0.00148		-0.0109***	-0.00506		-0.00977***	-0.00615*		-0.000973	0.000683		0.00164	0.000987		0.00103	0.00374		-0.00615	0.000686		-0.00909	-0.00429		-0.0160***	-0.00902		-0.0110*	-0.00933		0.00169	-0.000302		0.00928	0.00602		-0.00181	-0.000249
		(0.00304)	(0.00307)		(0.00306)	(0.00310)		(0.00295)	(0.00298)		(0.00307)	(0.00317)		(0.00351)	(0.00361)		(0.00355)	(0.00366)		(0.00335)	(0.00346)		(0.00362)	(0.00370)		(0.00421)	(0.00420)		(0.00364)	(0.00367)		(0.00353)	(0.00357)		(0.00398)	(0.00408)		(0.00385)	(0.00398)		(0.00420)	(0.00432)		(0.00551)	(0.00557)		(0.00571)	(0.00583)		(0.00595)	(0.00610)		(0.00610)	(0.00621)		(0.00561)	(0.00574)		(0.00574)	(0.00593)		(0.00556)	(0.00541)
weekly_alcohol_b_preg		-0.00355	-0.00346		-0.00186	-0.00161		0.00149	0.00210		-0.00338	-0.00298		-0.00285	-0.00263		0.000340	0.000143		-0.00552*	-0.00471		0.00527	0.00435		0.00219	0.00127		-0.00306	-0.00394		0.00345	0.00279		-0.00229	-0.00167		-0.000157	-7.91e-05		0.000684	0.000753		0.00763	0.00843		-0.00609	-0.00572		-0.00418	-0.00480		0.00189	0.00161		-0.00398	-0.00299		0.00371	0.00347		-0.00153	-0.00158
		(0.00307)	(0.00312)		(0.00291)	(0.00285)		(0.00290)	(0.00293)		(0.00334)	(0.00333)		(0.00317)	(0.00318)		(0.00313)	(0.00316)		(0.00286)	(0.00287)		(0.00327)	(0.00324)		(0.00361)	(0.00349)		(0.00347)	(0.00345)		(0.00290)	(0.00284)		(0.00336)	(0.00335)		(0.00341)	(0.00347)		(0.00509)	(0.00501)		(0.00562)	(0.00537)		(0.00674)	(0.00652)		(0.00619)	(0.00580)		(0.00920)	(0.00889)		(0.00619)	(0.00589)		(0.00532)	(0.00527)		(0.00647)	(0.00612)
complications_during_preg		-0.0117	-0.00731		-0.0512	-0.0448		0.0113	0.0147		-0.0429	-0.0421		0.0264	0.0179		0.110**	0.106**		0.0928*	0.0997**		-0.0172	-0.0283		-0.00458	0.00551		-0.0636	-0.0623		-0.0382	-0.0401		0.0578	0.0508		0.0938*	0.100**		0.0715	0.0662		-0.0818	-0.100		0.0358	0.0282		-0.0113	-0.0296		0.138	0.113		0.0306	0.0165		-0.0293	-0.0384		0.0703	0.0727
