	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.196	-0.278	-0.0947	-0.0947	-0.187	-0.193	-0.135	-0.135	-1.389	-1.430	-0.778	-0.778	-0.644	-0.675	-0.216	-0.216	-0.0269	-0.0239	-0.0193	-0.0193	-0.0923	-0.0866	-0.0802	-0.0802	0.0149	0.0155	0.0124	0.0124	-1.046**	-1.025**	-0.710	-0.508	0.139	0.132	0.243	0.217	-1.622	-1.604	-0.0307	0.360	0.137	0.148	0.667	0.558	-0.111	-0.113	-0.145	-0.142	0.0279	0.0179	-0.0274	-0.00173	-0.0181	-0.0200	-0.0123	-0.00739
	(0.395)	(0.398)	(0.394)	(0.394)	(0.121)	(0.121)	(0.120)	(0.120)	(1.397)	(1.397)	(1.368)	(1.368)	(0.709)	(0.713)	(0.702)	(0.702)	(0.0867)	(0.0861)	(0.0871)	(0.0871)	(0.0741)	(0.0742)	(0.0760)	(0.0760)	(0.0144)	(0.0145)	(0.0151)	(0.0151)	(0.493)	(0.487)	(0.496)	(0.493)	(0.154)	(0.154)	(0.157)	(0.157)	(1.599)	(1.616)	(1.657)	(1.668)	(0.902)	(0.899)	(0.870)	(0.887)	(0.0991)	(0.0999)	(0.101)	(0.103)	(0.0865)	(0.0878)	(0.0917)	(0.0931)	(0.0136)	(0.0137)	(0.0138)	(0.0141)
motherage	-23.16*	-23.47*	-21.96*	-21.96*	-9.714***	-9.804***	-8.812***	-8.812***	-59.53	-61.84	-52.49	-52.49	-28.66*	-28.72*	-21.56	-21.56	-0.710	-0.417	0.0834	0.0834	-0.0765	0.00996	0.0318	0.0318	-0.204	-0.196	-0.246	-0.246	-21.31	-20.83	-16.83	-16.88	-3.568	-3.478	-2.106	-2.085	-9.451	-10.84	2.187	1.931	-8.306	-6.597	-0.345	-0.246	-6.516**	-6.398**	-6.128**	-6.133**	0.347	0.276	0.196	0.162	-0.344	-0.338	-0.395	-0.402
	(12.84)	(12.23)	(11.63)	(11.63)	(3.158)	(3.137)	(3.027)	(3.027)	(39.31)	(38.35)	(38.69)	(38.69)	(17.13)	(17.13)	(16.14)	(16.14)	(2.427)	(2.467)	(2.487)	(2.487)	(1.991)	(1.993)	(2.007)	(2.007)	(0.353)	(0.355)	(0.363)	(0.363)	(17.48)	(16.21)	(15.75)	(15.67)	(4.661)	(4.592)	(4.469)	(4.467)	(51.10)	(50.12)	(50.66)	(50.64)	(26.17)	(25.99)	(25.44)	(25.46)	(2.991)	(2.988)	(2.990)	(2.991)	(2.478)	(2.508)	(2.519)	(2.503)	(0.503)	(0.497)	(0.495)	(0.491)
motheragesq	0.681	0.688	0.643	0.643	0.368***	0.371***	0.340***	0.340***	2.216	2.295	1.995	1.995	1.014	1.011	0.774	0.774	0.0525	0.0416	0.0214	0.0214	0.0283	0.0244	0.0231	0.0231	0.00288	0.00244	0.00423	0.00423	0.642	0.623	0.465	0.480	0.162	0.156	0.105	0.103	0.319	0.343	-0.161	-0.131	0.331	0.256	0.0182	0.00868	0.224**	0.220*	0.210*	0.210*	-0.0255	-0.0232	-0.0193	-0.0165	0.00854	0.00817	0.0100	0.0106
	(0.472)	(0.451)	(0.429)	(0.429)	(0.118)	(0.117)	(0.113)	(0.113)	(1.443)	(1.412)	(1.427)	(1.427)	(0.655)	(0.654)	(0.620)	(0.620)	(0.0934)	(0.0945)	(0.0956)	(0.0956)	(0.0757)	(0.0755)	(0.0759)	(0.0759)	(0.0136)	(0.0137)	(0.0140)	(0.0140)	(0.645)	(0.600)	(0.584)	(0.581)	(0.171)	(0.168)	(0.164)	(0.164)	(1.908)	(1.876)	(1.901)	(1.901)	(0.987)	(0.979)	(0.957)	(0.958)	(0.113)	(0.113)	(0.112)	(0.112)	(0.0920)	(0.0928)	(0.0933)	(0.0926)	(0.0192)	(0.0190)	(0.0189)	(0.0187)
motheragecub	-0.00622	-0.00629	-0.00583	-0.00583	-0.00437***	-0.00443***	-0.00408***	-0.00408***	-0.0267	-0.0277	-0.0244	-0.0244	-0.0115	-0.0115	-0.00888	-0.00888	-0.000906	-0.000768	-0.000504	-0.000504	-0.000635	-0.000578	-0.000554	-0.000554	3.18e-06	8.91e-06	-1.18e-05	-1.18e-05	-0.00629	-0.00604	-0.00398	-0.00419	-0.00228	-0.00216	-0.00155	-0.00151	-0.00402	-0.00404	0.00232	0.00186	-0.00419	-0.00313	-0.000184	-4.18e-05	-0.00249*	-0.00245*	-0.00232*	-0.00233*	0.000470	0.000442	0.000387	0.000346	-6.89e-05	-6.20e-05	-8.28e-05	-9.07e-05
