	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
	(0.00643)	(0.00655)	(0.00623)	(0.00623)	(0.00203)	(0.00199)	(0.00189)	(0.00189)	(0.0195)	(0.0195)	(0.0193)	(0.0193)	(0.0101)	(0.0102)	(0.0103)	(0.0103)	(0.00134)	(0.00136)	(0.00128)	(0.00128)	(0.00110)	(0.00110)	(0.00109)	(0.00109)	(0.000242)	(0.000241)	(0.000238)	(0.000238)	(0.00597)	(0.00605)	(0.00570)	(0.00570)	(0.00205)	(0.00205)	(0.00195)	(0.00194)	(0.0239)	(0.0238)	(0.0231)	(0.0232)	(0.0118)	(0.0120)	(0.0117)	(0.0118)	(0.00139)	(0.00141)	(0.00141)	(0.00140)	(0.00110)	(0.00111)	(0.00111)	(0.00108)	(0.000247)	(0.000254)	(0.000252)	(0.000253)
agefirstbirth	0.415***	0.360***	0.226***	0.226***	0.0627***	0.0467*	0.0105	0.0105	1.235***	0.974***	0.515*	0.515*	0.544***	0.556***	0.395***	0.395***	0.0121	0.00767	0.00292	0.00292	0.00315	0.00603	0.00927	0.00927	-0.000505	-0.000983	-0.000609	-0.000609	0.402***	0.376***	0.194**	0.182**	0.0784***	0.0728***	0.0370	0.0428	1.646***	1.392***	0.816***	0.854***	0.481***	0.419**	0.246	0.304*	0.00536	0.00526	0.000797	-0.00604	-0.00947	-0.00403	-0.00112	-0.0111	0.000250	0.00219	0.00228	0.000911
	(0.0643)	(0.0707)	(0.0764)	(0.0764)	(0.0223)	(0.0242)	(0.0240)	(0.0240)	(0.279)	(0.296)	(0.294)	(0.294)	(0.133)	(0.148)	(0.142)	(0.142)	(0.0153)	(0.0165)	(0.0173)	(0.0173)	(0.0127)	(0.0136)	(0.0143)	(0.0143)	(0.00259)	(0.00251)	(0.00263)	(0.00263)	(0.0756)	(0.0828)	(0.0870)	(0.0885)	(0.0236)	(0.0255)	(0.0268)	(0.0277)	(0.277)	(0.291)	(0.300)	(0.307)	(0.159)	(0.170)	(0.165)	(0.170)	(0.0166)	(0.0173)	(0.0183)	(0.0184)	(0.0145)	(0.0151)	(0.0161)	(0.0162)	(0.00290)	(0.00281)	(0.00286)	(0.00286)
_mother_edu1			-2.305	-2.305			-0.982	-0.982			-1.091	-1.091			1.160	1.160			0.233	0.233			0.256	0.256			0.0300	0.0300			-0.331	-0.370			0.0526	0.0609			8.620	8.689			4.507	4.589			-0.660*	-0.671*			-0.372	-0.388			0.110**	0.108**
			(2.337)	(2.337)			(0.608)	(0.608)			(8.664)	(8.664)			(3.617)	(3.617)			(0.439)	(0.439)			(0.397)	(0.397)			(0.0772)	(0.0772)			(1.846)	(1.860)			(0.617)	(0.617)			(6.274)	(6.255)			(4.015)	(4.042)			(0.357)	(0.356)			(0.380)	(0.377)			(0.0450)	(0.0453)
_mother_edu2			0.606	0.606			0.183	0.183			7.089	7.089			3.786	3.786			-0.495	-0.495			-0.275	-0.275			0.00687	0.00687			3.199**	3.156*			1.011*	1.023*			12.18**	12.26**			4.340	4.463			-0.646**	-0.662**			-0.528	-0.552			0.0962***	0.0930***
			(2.119)	(2.119)			(0.511)	(0.511)			(7.540)	(7.540)			(3.056)	(3.056)			(0.402)	(0.402)			(0.357)	(0.357)			(0.0693)	(0.0693)			(1.621)	(1.635)			(0.546)	(0.547)			(5.473)	(5.458)			(3.746)	(3.780)			(0.321)	(0.322)			(0.350)	(0.348)			(0.0340)	(0.0340)
_mother_edu3			2.700	2.700			-0.127	-0.127			8.778	8.778			6.773**	6.773**			-0.420	-0.420			-0.263	-0.263			0.0864	0.0864			5.034***	4.991***			0.735	0.737			12.64**	12.66**			5.341	5.371			-0.177	-0.181			-0.574	-0.580			0.130***	0.129***
			(2.205)	(2.205)			(0.542)	(0.542)			(7.789)	(7.789)			(3.204)	(3.204)			(0.424)	(0.424)			(0.379)	(0.379)			(0.0749)	(0.0749)			(1.728)	(1.742)			(0.561)	(0.561)			(5.585)	(5.565)			(3.839)	(3.864)			(0.350)	(0.351)			(0.368)	(0.365)			(0.0388)	(0.0391)
_mother_edu4			2.454	2.454			0.841	0.841			16.45**	16.45**			6.311**	6.311**			-0.146	-0.146			-0.313	-0.313			-0.00325	-0.00325			5.946***	5.893***			1.277**	1.297**			20.28***	20.42***			9.418**	9.627**			-0.296	-0.322			-0.560	-0.597*			0.0699*	0.0648*
