	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
	(0.00230)	(0.00225)	(0.00217)	(0.00217)	(0.000604)	(0.000604)	(0.000595)	(0.000595)	(0.00644)	(0.00641)	(0.00634)	(0.00634)	(0.00353)	(0.00356)	(0.00354)	(0.00354)	(0.000447)	(0.000447)	(0.000446)	(0.000446)	(0.000392)	(0.000393)	(0.000391)	(0.000391)	(6.38e-05)	(6.35e-05)	(6.32e-05)	(6.32e-05)	(0.00346)	(0.00339)	(0.00317)	(0.00315)	(0.000936)	(0.000930)	(0.000881)	(0.000882)	(0.00964)	(0.00959)	(0.00924)	(0.00923)	(0.00515)	(0.00517)	(0.00488)	(0.00489)	(0.000594)	(0.000598)	(0.000590)	(0.000589)	(0.000498)	(0.000503)	(0.000504)	(0.000502)	(8.89e-05)	(8.89e-05)	(8.91e-05)	(8.90e-05)
agefirstbirth	0.278***	0.248***	0.128***	0.128***	0.0700***	0.0597***	0.0231*	0.0231*	1.030***	0.905***	0.490***	0.490***	0.407***	0.365***	0.138*	0.138*	-0.0186**	-0.0203**	-0.0216**	-0.0216**	-0.0162**	-0.0149*	-0.0118	-0.0118	0.000685	0.000963	0.000105	0.000105	0.368***	0.330***	0.117**	0.105*	0.0977***	0.0853***	0.0310**	0.0326**	1.420***	1.201***	0.608***	0.597***	0.556***	0.467***	0.188*	0.209**	-0.0232**	-0.0216**	-0.0231**	-0.0275**	-0.0285***	-0.0257***	-0.0226**	-0.0278***	-0.000105	0.000396	-0.00143	-0.00153
	(0.0382)	(0.0401)	(0.0419)	(0.0419)	(0.0114)	(0.0118)	(0.0121)	(0.0121)	(0.127)	(0.131)	(0.134)	(0.134)	(0.0713)	(0.0745)	(0.0742)	(0.0742)	(0.00845)	(0.00881)	(0.00916)	(0.00916)	(0.00743)	(0.00775)	(0.00803)	(0.00803)	(0.00125)	(0.00129)	(0.00135)	(0.00135)	(0.0509)	(0.0533)	(0.0560)	(0.0566)	(0.0139)	(0.0146)	(0.0154)	(0.0156)	(0.154)	(0.159)	(0.170)	(0.173)	(0.0929)	(0.0987)	(0.0968)	(0.0974)	(0.0103)	(0.0107)	(0.0112)	(0.0112)	(0.00918)	(0.00961)	(0.00998)	(0.0100)	(0.00159)	(0.00165)	(0.00172)	(0.00173)
miss_motherage	-118.7**	-120.9**	-106.3*	-106.3*	-25.65*	-26.48*	-20.31	-20.31	-222.0	-234.2	-156.4	-156.4	-33.42	-39.57	-7.094	-7.094	5.166	4.533	5.759	5.759	13.08	12.90	12.30	12.30	-2.797*	-2.846**	-2.740*	-2.740*	-179.5**	-191.9**	-176.1**	-172.6**	-0.0114	-3.335	2.725	2.563	-227.4	-272.6	-207.8	-206.5	100.9	85.89	112.6	110.4	-26.18*	-26.13*	-26.40*	-25.77*	11.54	11.93	10.71	11.45	-2.898	-2.892	-3.011	-2.997
	(60.05)	(58.15)	(55.52)	(55.52)	(14.28)	(14.28)	(14.09)	(14.09)	(153.7)	(152.5)	(152.5)	(152.5)	(77.99)	(78.99)	(80.03)	(80.03)	(9.648)	(9.643)	(9.605)	(9.605)	(8.718)	(8.768)	(8.724)	(8.724)	(1.450)	(1.428)	(1.413)	(1.413)	(82.96)	(81.23)	(76.90)	(76.49)	(22.67)	(22.63)	(21.46)	(21.47)	(227.8)	(226.1)	(220.8)	(220.6)	(122.4)	(122.6)	(116.3)	(116.4)	(13.92)	(14.04)	(13.89)	(13.81)	(12.11)	(12.25)	(12.26)	(12.21)	(2.131)	(2.131)	(2.144)	(2.142)
miss_agefirstbirth	7.599***	6.802***	3.164**	3.164**	1.942***	1.652***	0.516	0.516	30.02***	26.51***	13.52***	13.52***	10.34***	9.141***	2.094	2.094	-0.513**	-0.564**	-0.594**	-0.594**	-0.429**	-0.397*	-0.288	-0.288	0.0318	0.0393	0.0135	0.0135	9.081***	8.214***	2.330	1.773	2.324***	2.032***	0.459	0.536	38.21***	33.15***	16.06***	15.50***	13.40***	11.35***	3.221	4.289	-0.401	-0.377	-0.403	-0.626**	-0.517**	-0.472*	-0.365	-0.625**	0.0327	0.0433	-0.00867	-0.0136
	(1.117)	(1.169)	(1.235)	(1.235)	(0.342)	(0.353)	(0.364)	(0.364)	(3.782)	(3.932)	(4.031)	(4.031)	(2.066)	(2.148)	(2.159)	(2.159)	(0.243)	(0.254)	(0.266)	(0.266)	(0.217)	(0.226)	(0.236)	(0.236)	(0.0361)	(0.0374)	(0.0389)	(0.0389)	(1.369)	(1.430)	(1.518)	(1.577)	(0.382)	(0.400)	(0.426)	(0.443)	(4.215)	(4.361)	(4.710)	(4.892)	(2.497)	(2.612)	(2.592)	(2.677)	(0.272)	(0.282)	(0.301)	(0.306)	(0.243)	(0.253)	(0.267)	(0.274)	(0.0427)	(0.0440)	(0.0457)	(0.0467)
_mother_edu1			-5.055***	-5.055***			-2.001***	-2.001***			-18.42***	-18.42***			-12.71***	-12.71***			0.352	0.352			0.115	0.115			-0.0182	-0.0182			-6.153***	-6.143***			-1.428***	-1.429***			-11.52***	-11.51***			-10.22***	-10.23***			0.246	0.246			0.0412	0.0409			-0.0322	-0.0322
			(0.979)	(0.979)			(0.307)	(0.307)			(3.132)	(3.132)			(1.810)	(1.810)			(0.217)	(0.217)			(0.191)	(0.191)			(0.0336)	(0.0336)			(1.093)	(1.089)			(0.356)	(0.356)			(3.886)	(3.890)			(2.081)	(2.078)			(0.260)	(0.259)			(0.214)	(0.212)			(0.0386)	(0.0387)
_mother_edu2			-5.102***	-5.102***			-1.681***	-1.681***			-14.58***	-14.58***			-8.490***	-8.490***			0.409*	0.409*			0.168	0.168			-0.0121	-0.0121			-5.117***	-5.070***			-1.315***	-1.322***			-10.97***	-10.92***			-7.571***	-7.680***			0.156	0.177			0.0634	0.0877			0.0195	0.0200
