	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
		(1.638)	(1.192)	(1.192)		(0.315)	(0.324)	(0.324)		(2.748)	(2.769)	(2.769)		(3.337)	(3.487)	(3.487)		(1.174)	(1.259)	(1.259)		(1.232)	(1.264)	(1.264)		(0.0414)	(0.0482)	(0.0482)		(1.956)	(2.217)	(2.251)		(1.081)	(1.118)	(1.124)		(7.418)	(6.757)	(6.732)		(8.495)	(8.346)	(8.340)		(0.886)	(0.858)	(0.886)		(0.629)	(0.594)	(0.624)		(0.0412)	(0.0459)	(0.0458)
miss_weekly_alcohol_b_preg		2.686	4.049	4.049		0.00714	0.504	0.504		-27.38***	-21.20**	-21.20**		-2.475	0.923	0.923		1.032	0.899	0.899		0.108	-0.0833	-0.0833		0.210***	0.243***	0.243***		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(2.929)	(2.675)	(2.675)		(1.039)	(1.038)	(1.038)		(9.269)	(8.530)	(8.530)		(6.394)	(6.644)	(6.644)		(1.335)	(1.421)	(1.421)		(1.342)	(1.379)	(1.379)		(0.0591)	(0.0668)	(0.0668)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	169.3***	165.4***	163.7***	163.7***	28.86**	28.25**	27.04**	27.04**	278.1*	261.0*	227.0	227.0	152.9**	150.2**	146.2*	146.2*	0.947	1.107	-0.218	-0.218	-8.250	-9.127	-8.656	-8.656	3.065**	3.007**	2.913**	2.913**	238.5***	240.4***	240.8***	237.0***	6.226	7.315	5.942	6.098	291.9	301.8	289.1	288.4	28.83	12.82	6.723	9.580	26.01**	25.52*	25.98**	25.23**	-7.277	-7.541	-6.659	-7.538	2.372	2.346	2.567	2.550
	(53.92)	(51.66)	(49.68)	(49.68)	(13.02)	(13.04)	(12.87)	(12.87)	(151.7)	(150.4)	(150.9)	(150.9)	(72.88)	(74.32)	(74.58)	(74.58)	(9.633)	(9.651)	(9.603)	(9.603)	(8.611)	(8.672)	(8.630)	(8.630)	(1.415)	(1.395)	(1.378)	(1.378)	(82.10)	(79.07)	(75.47)	(75.06)	(20.70)	(20.67)	(19.64)	(19.65)	(211.8)	(209.5)	(204.6)	(204.4)	(120.8)	(121.3)	(115.2)	(115.3)	(12.91)	(13.05)	(12.91)	(12.85)	(11.19)	(11.30)	(11.28)	(11.20)	(1.967)	(1.976)	(1.994)	(1.993)
																																																								
Observations	4,579	4,579	4,579	4,579	4,247	4,247	4,247	4,247	4,190	4,190	4,190	4,190	4,233	4,233	4,233	4,233	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	3,437	3,437	3,437	3,437	3,157	3,157	3,157	3,157	3,110	3,110	3,110	3,110	3,141	3,141	3,141	3,141	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217
R-squared	0.102	0.109	0.144	0.144	0.087	0.091	0.134	0.134	0.124	0.130	0.175	0.175	0.088	0.091	0.131	0.131	0.024	0.026	0.031	0.031	0.040	0.043	0.045	0.045	0.024	0.027	0.033	0.033	0.103	0.112	0.159	0.160	0.096	0.102	0.146	0.146	0.150	0.162	0.205	0.205	0.099	0.105	0.139	0.140	0.033	0.034	0.043	0.047	0.052	0.055	0.060	0.066	0.028	0.029	0.036	0.036
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
