	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
miss_agefirstbirth	8.299***	7.738***	4.403**	4.403**	2.190***	1.905***	0.680	0.680	30.15***	25.73***	11.99	11.99	12.40***	11.60***	4.069	4.069	10.05***	9.296***	3.188	1.708	2.395***	2.155***	0.796	1.068	38.15***	32.28***	16.47**	16.95**	12.17***	10.64***	2.644	4.923
	(1.614)	(1.716)	(1.792)	(1.792)	(0.521)	(0.539)	(0.552)	(0.552)	(6.892)	(7.317)	(7.546)	(7.546)	(3.252)	(3.392)	(3.276)	(3.276)	(1.942)	(2.073)	(2.138)	(2.258)	(0.584)	(0.613)	(0.646)	(0.669)	(6.947)	(7.272)	(7.809)	(8.181)	(3.659)	(3.771)	(3.638)	(3.837)
_mother_edu1			-4.781***	-4.781***			-1.978***	-1.978***			-20.98***	-20.98***			-15.19***	-15.19***			-5.233***	-5.189***			-1.156**	-1.158**			-5.533	-5.545			-14.08***	-14.11***
			(1.383)	(1.383)			(0.464)	(0.464)			(5.613)	(5.613)			(2.927)	(2.927)			(1.625)	(1.598)			(0.554)	(0.556)			(6.465)	(6.457)			(3.179)	(3.204)
_mother_edu2			-5.593***	-5.593***			-1.728***	-1.728***			-16.60***	-16.60***			-9.828***	-9.828***			-3.869**	-3.819**			-0.781	-0.787			-5.792	-5.808			-6.676**	-6.750**
			(1.274)	(1.274)			(0.475)	(0.475)			(5.451)	(5.451)			(2.939)	(2.939)			(1.580)	(1.565)			(0.586)	(0.587)			(6.590)	(6.585)			(3.299)	(3.326)
_mother_edu3			-2.355**	-2.355**			-0.671*	-0.671*			-8.038*	-8.038*			-5.292**	-5.292**			-1.179	-1.171			0.298	0.306			1.568	1.573			-4.224	-4.183
			(1.017)	(1.017)			(0.391)	(0.391)			(4.343)	(4.343)			(2.395)	(2.395)			(1.335)	(1.315)			(0.500)	(0.503)			(5.777)	(5.774)			(2.881)	(2.917)
_mother_edu4			-1.112	-1.112			-1.097***	-1.097***			-8.135*	-8.135*			-5.718**	-5.718**			0.153	0.167			-0.0742	-0.0791			0.0949	0.0771			-5.056*	-5.122*
			(1.058)	(1.058)			(0.400)	(0.400)			(4.382)	(4.382)			(2.458)	(2.458)			(1.356)	(1.337)			(0.516)	(0.519)			(5.753)	(5.744)			(3.020)	(3.057)
_mother_edu5			-0.803	-0.803			-0.263	-0.263			-1.479	-1.479			-3.817*	-3.817*			1.489	1.465			0.490	0.507			7.775	7.798			-1.053	-0.930
			(0.899)	(0.899)			(0.364)	(0.364)			(4.066)	(4.066)			(2.248)	(2.248)			(1.246)	(1.224)			(0.466)	(0.469)			(5.340)	(5.341)			(2.692)	(2.731)
_mother_edu7			-3.697*	-3.697*			-0.858	-0.858			-18.25***	-18.25***			-10.71***	-10.71***			-4.550**	-4.320**			-0.361	-0.388			-12.54*	-12.60*			-10.12**	-10.37***
			(1.928)	(1.928)			(0.532)	(0.532)			(6.818)	(6.818)			(3.460)	(3.460)			(1.893)	(1.905)			(0.647)	(0.648)			(7.112)	(7.094)			(3.965)	(3.993)
_inc1			0.660	0.660			0.151	0.151			-11.87	-11.87			3.692	3.692			0.0894	0.257			0.103	0.0575			-6.944	-7.027			-1.561	-1.929
			(3.237)	(3.237)			(1.242)	(1.242)			(9.649)	(9.649)			(10.00)	(10.00)			(3.194)	(3.193)			(1.173)	(1.182)			(11.56)	(11.56)			(6.730)	(6.856)
_inc2			-1.265	-1.265			-0.492*	-0.492*			-5.041	-5.041			-3.573**	-3.573**			-2.870***	-3.022***			-0.464	-0.430			-8.864**	-8.805**			-0.674	-0.392
