	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	0.124	0.0987	0.137	0.137	-0.0582	-0.0681	-0.0760	-0.0760	0.374	0.278	0.274	0.274	-0.433	-0.492	-0.511	-0.511	-0.0474	-0.0491	-0.0441	-0.0441	-0.100*	-0.0962	-0.0955	-0.0955	0.0201*	0.0203*	0.0199*	0.0199*	-1.205***	-1.227***	-0.954**	-0.844**	0.0214	0.0307	0.104	0.0949	-2.895**	-2.674**	-1.446	-0.986	-0.461	-0.453	-0.0933	-0.229	-0.0509	-0.0525	-0.0314	-0.00871	-0.0591	-0.0657	-0.0898	-0.0556	-0.00505	-0.00560	-0.000253	0.00196
	(0.316)	(0.316)	(0.313)	(0.313)	(0.0871)	(0.0879)	(0.0861)	(0.0861)	(0.984)	(0.987)	(0.977)	(0.977)	(0.547)	(0.549)	(0.545)	(0.545)	(0.0679)	(0.0680)	(0.0693)	(0.0693)	(0.0599)	(0.0600)	(0.0607)	(0.0607)	(0.0110)	(0.0110)	(0.0112)	(0.0112)	(0.400)	(0.401)	(0.396)	(0.397)	(0.119)	(0.118)	(0.119)	(0.120)	(1.211)	(1.205)	(1.219)	(1.227)	(0.690)	(0.689)	(0.686)	(0.696)	(0.0848)	(0.0847)	(0.0859)	(0.0865)	(0.0742)	(0.0742)	(0.0747)	(0.0754)	(0.0120)	(0.0121)	(0.0124)	(0.0127)
motherage	-11.53	-11.41	-9.630	-9.630	-4.713*	-4.728*	-4.309*	-4.309*	-17.06	-17.78	-13.54	-13.54	-12.56	-12.53	-10.83	-10.83	-0.489	-0.440	-0.416	-0.416	-1.615	-1.588	-1.647	-1.647	-0.0340	-0.0191	0.0266	0.0266	-7.905	-8.371	-5.678	-6.457	-5.713	-5.894	-4.637	-4.572	-62.50*	-65.12*	-56.00	-59.13	-18.27	-19.57	-16.43	-15.44	-2.204	-2.166	-2.073	-2.217	2.481	2.534	2.695	2.478	0.0666	0.0640	0.00126	-0.0128
	(8.295)	(8.302)	(8.201)	(8.201)	(2.462)	(2.463)	(2.427)	(2.427)	(22.99)	(22.93)	(23.38)	(23.38)	(13.13)	(13.13)	(12.98)	(12.98)	(1.806)	(1.808)	(1.807)	(1.807)	(1.598)	(1.598)	(1.604)	(1.604)	(0.223)	(0.223)	(0.217)	(0.217)	(10.74)	(10.75)	(10.83)	(10.80)	(3.717)	(3.727)	(3.672)	(3.682)	(36.23)	(36.07)	(36.55)	(36.39)	(18.73)	(18.74)	(18.45)	(18.46)	(2.620)	(2.636)	(2.586)	(2.594)	(2.035)	(2.051)	(2.059)	(2.051)	(0.378)	(0.382)	(0.378)	(0.378)
motheragesq	0.375	0.369	0.301	0.301	0.175**	0.175**	0.160*	0.160*	0.773	0.803	0.637	0.637	0.464	0.461	0.393	0.393	0.0209	0.0188	0.0176	0.0176	0.0672	0.0664	0.0682	0.0682	-0.000178	-0.000795	-0.00259	-0.00259	0.243	0.259	0.146	0.177	0.223*	0.229*	0.182	0.179	2.324*	2.420*	2.047	2.182	0.684	0.733	0.610	0.568	0.0718	0.0708	0.0679	0.0742	-0.0987	-0.100	-0.106	-0.0966	-0.00497	-0.00489	-0.00274	-0.00213
	(0.310)	(0.310)	(0.305)	(0.305)	(0.0887)	(0.0887)	(0.0874)	(0.0874)	(0.835)	(0.833)	(0.848)	(0.848)	(0.491)	(0.491)	(0.485)	(0.485)	(0.0681)	(0.0682)	(0.0682)	(0.0682)	(0.0600)	(0.0599)	(0.0600)	(0.0600)	(0.00849)	(0.00850)	(0.00829)	(0.00829)	(0.402)	(0.401)	(0.406)	(0.405)	(0.134)	(0.135)	(0.133)	(0.133)	(1.346)	(1.339)	(1.358)	(1.353)	(0.701)	(0.701)	(0.690)	(0.689)	(0.0971)	(0.0976)	(0.0956)	(0.0958)	(0.0749)	(0.0754)	(0.0757)	(0.0752)	(0.0140)	(0.0141)	(0.0139)	(0.0139)
motheragecub	-0.00399	-0.00390	-0.00306	-0.00306	-0.00205*	-0.00205*	-0.00187*	-0.00187*	-0.0106	-0.0110	-0.00895	-0.00895	-0.00538	-0.00531	-0.00447	-0.00447	-0.000320	-0.000290	-0.000272	-0.000272	-0.000924	-0.000915	-0.000934	-0.000934	1.14e-05	1.96e-05	4.20e-05	4.20e-05	-0.00269	-0.00287	-0.00133	-0.00168	-0.00279*	-0.00286*	-0.00226	-0.00223	-0.0280*	-0.0291*	-0.0241	-0.0257	-0.00837	-0.00891	-0.00731	-0.00681	-0.000802	-0.000793	-0.000768	-0.000843	0.00118	0.00120	0.00126	0.00115	7.79e-05	7.68e-05	5.28e-05	4.55e-05
