	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
	(0.00343)	(0.00330)	(0.00315)	(0.00315)	(0.000891)	(0.000890)	(0.000864)	(0.000864)	(0.0109)	(0.0108)	(0.0106)	(0.0106)	(0.00509)	(0.00511)	(0.00486)	(0.00486)	(0.000639)	(0.000645)	(0.000642)	(0.000642)	(0.000552)	(0.000551)	(0.000551)	(0.000551)	(0.000101)	(0.000101)	(0.000102)	(0.000102)	(0.00472)	(0.00452)	(0.00416)	(0.00410)	(0.00122)	(0.00119)	(0.00114)	(0.00114)	(0.0131)	(0.0129)	(0.0122)	(0.0123)	(0.00684)	(0.00687)	(0.00660)	(0.00664)	(0.000732)	(0.000736)	(0.000737)	(0.000734)	(0.000631)	(0.000633)	(0.000629)	(0.000624)	(0.000117)	(0.000118)	(0.000119)	(0.000118)
agefirstbirth	0.301***	0.278***	0.170***	0.170***	0.0616***	0.0520***	0.0119	0.0119	0.963***	0.834***	0.397*	0.397*	0.448***	0.430***	0.195*	0.195*	-0.00536	-0.00929	-0.0133	-0.0133	-0.0113	-0.0122	-0.0103	-0.0103	6.80e-05	0.000381	-0.000233	-0.000233	0.386***	0.356***	0.148*	0.115	0.0901***	0.0839***	0.0379*	0.0433*	1.424***	1.232***	0.679**	0.694**	0.539***	0.504***	0.231*	0.279**	-0.0197	-0.0195	-0.0215	-0.0258	-0.0210	-0.0187	-0.0159	-0.0234*	0.00128	0.00241	0.00108	0.000284
	(0.0545)	(0.0584)	(0.0600)	(0.0600)	(0.0170)	(0.0179)	(0.0183)	(0.0183)	(0.208)	(0.221)	(0.229)	(0.229)	(0.106)	(0.112)	(0.109)	(0.109)	(0.0119)	(0.0125)	(0.0129)	(0.0129)	(0.0102)	(0.0107)	(0.0111)	(0.0111)	(0.00192)	(0.00196)	(0.00206)	(0.00206)	(0.0727)	(0.0778)	(0.0790)	(0.0802)	(0.0209)	(0.0223)	(0.0229)	(0.0233)	(0.244)	(0.257)	(0.269)	(0.274)	(0.136)	(0.144)	(0.137)	(0.140)	(0.0149)	(0.0154)	(0.0160)	(0.0159)	(0.0128)	(0.0133)	(0.0138)	(0.0138)	(0.00235)	(0.00237)	(0.00245)	(0.00244)
miss_motherage	-228.4**	-229.4***	-209.8**	-209.8**	-37.88*	-37.95*	-26.62	-26.62	-324.6	-320.4	-211.1	-211.1	-29.93	-27.70	36.19	36.19	9.487	9.223	11.04	11.04	25.01*	24.44*	23.77*	23.77*	-3.914*	-3.898*	-4.180*	-4.180*	-237.9**	-233.6**	-211.7**	-196.3*	16.16	13.50	23.16	21.56	-4.013	-33.63	21.29	16.59	91.27	90.99	135.4	121.4	-57.16***	-56.97***	-56.80***	-55.39***	-0.747	-1.493	-1.922	0.542	-5.844**	-5.896**	-5.869**	-5.611*
	(88.72)	(85.00)	(81.44)	(81.44)	(22.16)	(22.04)	(21.69)	(21.69)	(276.0)	(269.9)	(270.0)	(270.0)	(117.9)	(117.9)	(111.6)	(111.6)	(15.55)	(15.79)	(15.72)	(15.72)	(13.35)	(13.43)	(13.48)	(13.48)	(2.267)	(2.272)	(2.318)	(2.318)	(115.6)	(111.0)	(104.2)	(102.6)	(31.83)	(31.57)	(30.39)	(30.45)	(332.6)	(328.5)	(318.9)	(318.8)	(172.8)	(174.0)	(169.4)	(170.0)	(18.51)	(18.67)	(18.89)	(18.82)	(16.33)	(16.47)	(16.31)	(16.17)	(2.888)	(2.878)	(2.916)	(2.905)
miss_agefirstbirth	8.135***	7.562***	4.181**	4.181**	1.932***	1.667***	0.383	0.383	29.68***	26.01***	12.26*	12.26*	12.15***	11.66***	4.061	4.061	-0.155	-0.279	-0.370	-0.370	-0.270	-0.308	-0.244	-0.244	-0.00480	0.00246	-0.0164	-0.0164	9.982***	9.392***	3.339	1.901	2.330***	2.193***	0.725	0.970	41.03***	36.67***	19.79***	20.48***	13.25***	12.67***	4.452	6.593*	-0.463	-0.479	-0.525	-0.720*	-0.495	-0.472	-0.390	-0.730*	0.0368	0.0595	0.0201	-0.0156
	(1.607)	(1.715)	(1.774)	(1.774)	(0.500)	(0.524)	(0.537)	(0.537)	(6.191)	(6.599)	(6.860)	(6.860)	(3.085)	(3.214)	(3.170)	(3.170)	(0.343)	(0.361)	(0.376)	(0.376)	(0.298)	(0.309)	(0.324)	(0.324)	(0.0556)	(0.0570)	(0.0599)	(0.0599)	(1.929)	(2.054)	(2.112)	(2.222)	(0.565)	(0.595)	(0.625)	(0.650)	(6.549)	(6.901)	(7.448)	(7.780)	(3.601)	(3.731)	(3.646)	(3.845)	(0.388)	(0.402)	(0.424)	(0.432)	(0.333)	(0.342)	(0.364)	(0.374)	(0.0625)	(0.0625)	(0.0645)	(0.0658)
_mother_edu1			-4.654***	-4.654***			-1.965***	-1.965***			-19.29***	-19.29***			-14.60***	-14.60***			0.398	0.398			0.183	0.183			-0.00509	-0.00509			-5.131***	-5.087***			-1.206**	-1.205**			-5.945	-5.953			-13.61***	-13.62***			0.367	0.363			0.186	0.179			-0.0538	-0.0545
			(1.368)	(1.368)			(0.457)	(0.457)			(5.099)	(5.099)			(2.882)	(2.882)			(0.307)	(0.307)			(0.268)	(0.268)			(0.0414)	(0.0414)			(1.600)	(1.578)			(0.541)	(0.542)			(6.433)	(6.426)			(3.221)	(3.244)			(0.368)	(0.370)			(0.295)	(0.294)			(0.0562)	(0.0566)
_mother_edu2			-5.471***	-5.471***			-1.732***	-1.732***			-17.58***	-17.58***			-10.06***	-10.06***			0.501	0.501			0.255	0.255			0.0576	0.0576			-3.801**	-3.752**			-0.746	-0.752			-6.680	-6.707			-6.560**	-6.641**			0.0853	0.0886			0.200	0.206			0.0153	0.0159
