	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
miss_agefirstbirth	7.114***	7.066***	4.784***	4.784***	1.661***	1.600***	0.750	0.750	27.36***	26.28***	15.35***	15.35***	10.80***	10.35***	4.924*	4.924*	7.096***	6.429***	2.254	1.784	1.745***	1.427***	0.418	0.542	32.29***	28.83***	17.08***	15.90**	14.65***	12.34***	5.892	7.216*
	(1.444)	(1.481)	(1.549)	(1.549)	(0.464)	(0.472)	(0.476)	(0.476)	(4.809)	(4.946)	(5.076)	(5.076)	(2.980)	(3.018)	(2.971)	(2.971)	(1.810)	(1.874)	(1.973)	(2.032)	(0.512)	(0.524)	(0.558)	(0.583)	(5.695)	(5.797)	(6.270)	(6.408)	(3.574)	(3.694)	(3.620)	(3.699)
_mother_edu1			-5.067***	-5.067***			-2.113***	-2.113***			-20.36***	-20.36***			-13.03***	-13.03***			-5.786***	-5.743***			-1.450***	-1.456***			-10.34*	-10.30*			-11.34***	-11.40***
			(1.587)	(1.587)			(0.529)	(0.529)			(5.873)	(5.873)			(3.379)	(3.379)			(1.643)	(1.633)			(0.471)	(0.470)			(5.669)	(5.670)			(3.162)	(3.187)
_mother_edu2			-6.474***	-6.474***			-2.278***	-2.278***			-13.05**	-13.05**			-8.860***	-8.860***			-4.758***	-4.714***			-1.165**	-1.174**			-3.826	-3.757			-5.641*	-5.740*
			(1.493)	(1.493)			(0.515)	(0.515)			(5.763)	(5.763)			(3.212)	(3.212)			(1.664)	(1.663)			(0.464)	(0.463)			(5.548)	(5.555)			(3.049)	(3.069)
_mother_edu3			-3.083**	-3.083**			-1.100**	-1.100**			-6.310	-6.310			-6.245**	-6.245**			-3.158**	-3.114**			-0.356	-0.364			-0.359	-0.287			-2.968	-3.052
			(1.276)	(1.276)			(0.464)	(0.464)			(5.255)	(5.255)			(2.979)	(2.979)			(1.421)	(1.413)			(0.392)	(0.391)			(4.972)	(4.970)			(2.622)	(2.653)
_mother_edu4			-2.176*	-2.176*			-1.284***	-1.284***			-5.857	-5.857			-5.770*	-5.770*			-1.664	-1.646			-0.497	-0.502			-1.509	-1.466			-2.970	-3.027
			(1.297)	(1.297)			(0.471)	(0.471)			(5.296)	(5.296)			(3.046)	(3.046)			(1.442)	(1.434)			(0.398)	(0.398)			(5.037)	(5.034)			(2.714)	(2.743)
_mother_edu5			-1.902	-1.902			-0.720	-0.720			-1.169	-1.169			-4.384	-4.384			-1.365	-1.361			-0.0464	-0.0433			3.300	3.266			-1.126	-1.094
			(1.244)	(1.244)			(0.457)	(0.457)			(5.191)	(5.191)			(2.971)	(2.971)			(1.368)	(1.360)			(0.374)	(0.373)			(4.729)	(4.724)			(2.526)	(2.552)
_mother_edu7			-3.180*	-3.180*			-1.158**	-1.158**			-6.345	-6.345			-12.70***	-12.70***			-3.785*	-3.714*			-0.619	-0.630			-4.757	-4.657			-7.418**	-7.537**
			(1.881)	(1.881)			(0.580)	(0.580)			(6.449)	(6.449)			(3.755)	(3.755)			(2.056)	(2.056)			(0.551)	(0.551)			(6.566)	(6.578)			(3.506)	(3.494)
_inc1			0	0			0	0			0	0			0	0			0	0			0	0			0	0			0	0
			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)
_inc2			0	0			0	0			0	0			0	0			0	0			0	0			0	0			0	0
			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)
_inc3			-1.729***	-1.729***			-0.458**	-0.458**			-7.766***	-7.766***			-4.252***	-4.252***			-2.564***	-2.590***			-0.497**	-0.488**			-8.676***	-8.753***			-2.606*	-2.515*
			(0.620)	(0.620)			(0.181)	(0.181)			(1.876)	(1.876)			(1.161)	(1.161)			(0.700)	(0.702)			(0.222)	(0.223)			(2.310)	(2.308)			(1.371)	(1.375)
_inc4			-0.382	-0.382			-0.232	-0.232			-2.022	-2.022			-1.082	-1.082			-2.036***	-2.074***			-0.391**	-0.382*			-3.346	-3.427			-1.278	-1.179
