	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
	(0.00274)	(0.00271)	(0.00268)	(0.00268)	(0.000784)	(0.000783)	(0.000774)	(0.000774)	(0.00781)	(0.00780)	(0.00766)	(0.00766)	(0.00510)	(0.00519)	(0.00506)	(0.00506)	(0.000614)	(0.000614)	(0.000621)	(0.000621)	(0.000545)	(0.000551)	(0.000551)	(0.000551)	(8.23e-05)	(8.09e-05)	(8.15e-05)	(8.15e-05)	(0.00588)	(0.00588)	(0.00608)	(0.00607)	(0.00184)	(0.00185)	(0.00186)	(0.00186)	(0.0180)	(0.0179)	(0.0180)	(0.0182)	(0.0114)	(0.0113)	(0.0111)	(0.0110)	(0.00146)	(0.00146)	(0.00145)	(0.00144)	(0.00120)	(0.00120)	(0.00121)	(0.00119)	(0.000196)	(0.000195)	(0.000194)	(0.000194)
agefirstbirth	-0.0764	-0.0569	-0.0574	-0.0574	-0.0533	-0.0511	-0.0293	-0.0293	0.0315	0.0538	0.187	0.187	-0.356	-0.344	-0.208	-0.208	0.0243	0.0213	0.0266	0.0266	-0.00715	-0.00915	-0.00914	-0.00914	-0.00356	-0.00329	-0.00467	-0.00467	0.317***	0.300***	0.154	0.181	0.0878***	0.0802**	0.0328	0.0313	1.550***	1.409***	0.872***	0.467	0.485***	0.389**	0.170	0.254	0.0175	0.0167	0.0104	-0.0185	-0.0163	-0.0140	-0.0140	-0.0526**	-0.00124	-0.000691	-0.00333	-0.00341
	(0.167)	(0.163)	(0.161)	(0.161)	(0.0470)	(0.0456)	(0.0445)	(0.0445)	(0.462)	(0.442)	(0.442)	(0.442)	(0.300)	(0.292)	(0.296)	(0.296)	(0.0389)	(0.0392)	(0.0385)	(0.0385)	(0.0339)	(0.0333)	(0.0328)	(0.0328)	(0.00338)	(0.00343)	(0.00332)	(0.00332)	(0.0992)	(0.0988)	(0.0994)	(0.116)	(0.0316)	(0.0323)	(0.0317)	(0.0362)	(0.323)	(0.323)	(0.309)	(0.358)	(0.158)	(0.160)	(0.163)	(0.187)	(0.0231)	(0.0233)	(0.0241)	(0.0280)	(0.0206)	(0.0209)	(0.0212)	(0.0234)	(0.00294)	(0.00301)	(0.00304)	(0.00345)
miss_motherage	47.32	34.88	50.39	50.39	-9.926	-12.46	-12.83	-12.83	11.43	-10.84	21.48	21.48	-29.03	-45.73	-29.74	-29.74	-3.687	-3.452	-0.816	-0.816	2.413	3.934	5.298	5.298	-2.238	-2.631	-2.001	-2.001	-142.4	-159.5	-139.1	-141.2	-62.11	-65.05*	-53.08	-53.07	-739.5**	-807.0**	-697.1*	-695.7*	26.91	1.822	32.29	32.39	-0.749	-2.218	-2.629	-1.982	5.597	6.155	1.394	2.258	-2.490	-2.464	-3.124	-3.122
	(62.96)	(61.95)	(61.75)	(61.75)	(18.64)	(18.58)	(18.29)	(18.29)	(183.9)	(185.0)	(184.5)	(184.5)	(112.7)	(116.3)	(115.2)	(115.2)	(13.94)	(13.82)	(13.93)	(13.93)	(11.80)	(12.13)	(12.16)	(12.16)	(1.786)	(1.754)	(1.722)	(1.722)	(110.3)	(110.8)	(113.0)	(113.3)	(38.12)	(38.22)	(38.36)	(38.37)	(357.8)	(356.8)	(360.4)	(364.1)	(231.1)	(230.5)	(225.0)	(224.3)	(26.91)	(27.09)	(26.87)	(26.82)	(23.27)	(23.45)	(23.34)	(23.11)	(4.109)	(4.108)	(4.080)	(4.085)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-5.022***	-5.022***			-2.096***	-2.096***			-16.67***	-16.67***			-11.31***	-11.31***			0.424	0.424			0.228	0.228			-0.0411	-0.0411			-5.950***	-6.008***			-1.507***	-1.503***			-12.13**	-11.21**			-6.121**	-6.318**			0.0601	0.126			-0.201	-0.113			-0.0521	-0.0519
			(1.518)	(1.518)			(0.428)	(0.428)			(4.060)	(4.060)			(2.733)	(2.733)			(0.346)	(0.346)			(0.321)	(0.321)			(0.0555)	(0.0555)			(1.500)	(1.522)			(0.452)	(0.454)			(4.764)	(4.797)			(3.075)	(3.077)			(0.381)	(0.379)			(0.322)	(0.320)			(0.0564)	(0.0566)
_mother_edu2			-4.171***	-4.171***			-1.656***	-1.656***			-12.72***	-12.72***			-7.682***	-7.682***			0.556	0.556			0.193	0.193			-0.0921*	-0.0921*			-5.853***	-5.910***			-1.535***	-1.531***			-12.06**	-11.05**			-6.849**	-7.063**			0.355	0.431			0.178	0.279			-0.0194	-0.0191
