	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
	(0.00599)	(0.00604)	(0.00609)	(0.00609)	(0.00178)	(0.00179)	(0.00186)	(0.00186)	(0.0153)	(0.0153)	(0.0151)	(0.0151)	(0.0109)	(0.0109)	(0.0111)	(0.0111)	(0.00150)	(0.00150)	(0.00154)	(0.00154)	(0.00123)	(0.00123)	(0.00124)	(0.00124)	(0.000165)	(0.000165)	(0.000169)	(0.000169)	(0.00651)	(0.00646)	(0.00644)	(0.00644)	(0.00201)	(0.00201)	(0.00199)	(0.00199)	(0.0204)	(0.0202)	(0.0193)	(0.0193)	(0.0126)	(0.0124)	(0.0123)	(0.0123)	(0.00153)	(0.00154)	(0.00149)	(0.00150)	(0.00133)	(0.00133)	(0.00129)	(0.00129)	(0.000251)	(0.000252)	(0.000246)	(0.000248)
agefirstbirth	0.300***	0.252***	0.0918	0.0918	0.0816***	0.0757***	0.0451**	0.0451**	1.134***	1.031***	0.643***	0.643***	0.331***	0.249**	0.0707	0.0707	-0.0270*	-0.0327**	-0.0254	-0.0254	-0.0262*	-0.0207	-0.0164	-0.0164	0.00289*	0.00314*	0.000867	0.000867	0.277***	0.209**	0.0622	0.0608	0.118***	0.106***	0.0543**	0.0516**	1.345***	1.207***	0.731***	0.642***	0.634***	0.491***	0.264	0.261	-0.00834	-0.00703	-0.0118	-0.0164	-0.0286*	-0.0204	-0.0210	-0.0259	0.000347	0.000217	-0.00212	-0.00127
	(0.0623)	(0.0640)	(0.0689)	(0.0689)	(0.0187)	(0.0194)	(0.0211)	(0.0211)	(0.180)	(0.182)	(0.190)	(0.190)	(0.112)	(0.116)	(0.126)	(0.126)	(0.0156)	(0.0164)	(0.0175)	(0.0175)	(0.0139)	(0.0148)	(0.0156)	(0.0156)	(0.00164)	(0.00182)	(0.00196)	(0.00196)	(0.0752)	(0.0809)	(0.0829)	(0.0829)	(0.0205)	(0.0223)	(0.0234)	(0.0236)	(0.205)	(0.212)	(0.226)	(0.225)	(0.155)	(0.173)	(0.162)	(0.161)	(0.0168)	(0.0179)	(0.0194)	(0.0196)	(0.0151)	(0.0163)	(0.0168)	(0.0170)	(0.00243)	(0.00259)	(0.00261)	(0.00263)
_mother_edu1			4.059*	4.059*			-1.163	-1.163			-7.993	-7.993			4.066	4.066			1.076**	1.076**			0.138	0.138			-0.159*	-0.159*			0.508	0.502			-1.085*	-1.096*			-2.002	-2.350			-0.00776	-0.0203			0.880**	0.861**			0.112	0.0920			-0.0488	-0.0453
			(2.278)	(2.278)			(0.711)	(0.711)			(5.611)	(5.611)			(3.224)	(3.224)			(0.519)	(0.519)			(0.445)	(0.445)			(0.0881)	(0.0881)			(1.863)	(1.868)			(0.605)	(0.603)			(6.080)	(5.910)			(3.035)	(3.049)			(0.395)	(0.394)			(0.402)	(0.402)			(0.0779)	(0.0783)
_mother_edu2			4.334**	4.334**			-0.648	-0.648			-6.665	-6.665			6.349**	6.349**			1.057**	1.057**			-0.0118	-0.0118			-0.167*	-0.167*			0.696	0.692			-0.648	-0.651			0.762	0.675			6.289***	6.285***			0.581*	0.577*			-0.0915	-0.0963			-0.104	-0.103
			(2.124)	(2.124)			(0.665)	(0.665)			(4.885)	(4.885)			(3.026)	(3.026)			(0.462)	(0.462)			(0.388)	(0.388)			(0.0867)	(0.0867)			(1.695)	(1.696)			(0.552)	(0.549)			(5.610)	(5.439)			(2.427)	(2.429)			(0.345)	(0.342)			(0.357)	(0.357)			(0.0731)	(0.0735)
_mother_edu3			5.176**	5.176**			-0.124	-0.124			-4.463	-4.463			7.788**	7.788**			1.003**	1.003**			0.284	0.284			-0.155*	-0.155*			2.486	2.481			-0.568	-0.571			-0.935	-1.049			5.752**	5.747**			0.938***	0.930***			0.129	0.121			-0.0425	-0.0412
			(2.210)	(2.210)			(0.662)	(0.662)			(5.129)	(5.129)			(3.164)	(3.164)			(0.481)	(0.481)			(0.408)	(0.408)			(0.0876)	(0.0876)			(1.754)	(1.755)			(0.543)	(0.539)			(5.764)	(5.592)			(2.557)	(2.559)			(0.359)	(0.357)			(0.376)	(0.375)			(0.0741)	(0.0745)
_mother_edu4			6.843***	6.843***			-0.00142	-0.00142			-1.937	-1.937			10.43***	10.43***			0.962**	0.962**			0.210	0.210			-0.127	-0.127			2.856	2.851			-0.0305	-0.0365			2.728	2.536			7.274***	7.267***			0.567	0.556			0.201	0.190			-0.0560	-0.0541
